,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-RXW9VRLHE569R,Piyush,"Good speaker for 2000 rs , but don't expect too much bass",paotronics drum speaker pros 1 amazing sound 2 looks feels good hand 3 water proof 4 usb port aux 5 fm also cons 1 bass good 10 watt speaker 2 clip jack put cable handle easily like speakers 3 battery backup arounbd 5 hrs 80 volume also anker sound core mini easily last 10 12 hrs 80,2018-07-30,4.0
1,customer_review-R2NK8JD9LJH2R1,Neeraj joshi,READ THIS review For some TIPS,bought much research knew would loud still surprised sound sound clear loud expectations must buy product every one better every speaker 2500 reason best 1 use pendrive speaker 2 play music 35 mm cable 3 ofc play music bluetooth 4 sd card supporteduse card reader plug enjoy sd card songs 5 use powerbank plus usb cable thn use speaker powerbank 6 supports fm radio 7 superb bass 8 loud expectation imagination 9 long battery life 10 solid build quality 11 soundrum heavy feels like premium product hand 12 clear crisp sound 13 u use ur earphones listen fm radio night idont fm galaxy note 5 listen fm earphone night 14 powerfull 10 watt speaker compact size speaker booooom 15 water resistant splash proof certified dust proof 16 value money bang buck 17clear sound even fm radio cons usb port hard feels like usb stuck port unplugging usb cable pendrive go blindly,2018-09-02,5.0
2,customer_review-R2TS4QJYBKLZJQ,SK Dwivedi,Best in the price class,pros 1 premium look feel 2 10 watt loud fits even large room 3 aggressive pricing 4 360 sound coverage 5 beautifully integrated buttons concealed ports 6 splash proof 7 sound doesnt distort full volume 8 usb aux cons 1 battery life,2018-11-22,5.0
3,customer_review-RU84KKQBGSF3,Nishant,"Really LOUD stereo volume and big BASS,splash proof, it has FM, 8 HOURS battery BACKUP and has mic.",fm good turn fm keep window capture fm channels save memory next time switch channels buttons speaker splash proof 10 watt speaker 5w right side speaker 5w left complete charging speaker take 2 hours battery backup seen 10 hours moderately high volume connect phone use bluetooth talk mic pressing triangle twice u invoke google assistant con buttons misconfigured press change fm channel fm mode bluetooth mode wont anything turn volume keep pressing similarly lowering volume thats annoying like press volume increases one unit press hold,2018-11-21,5.0
4,customer_review-R28R7M1HLIN8H8,Arif,Awesome Bluetooth speaker at such an affordable price.,start awesome portronics sounddrum bluetooth speaker produce loud clear sound im damn impressed sound solid build quality top bottom metal black matte finish rubberised grill around body gives good grip protects speaker well compact fits palm easily bluetooth pairing instant inbuilt voice feedback notifying onoff bluetooth pairing etc front theres onoff button also used select modesbouetooth fm etc volume updown buttons playpause key back covered rubber flap usb port pen drive aux port microusb port charging led indicator charging battery life also superb got 5 hours playback charging sometime first time also fm built mic fm recption upto mark ignore fm feature playback usb good also connected phone aux cable found volume slightly low compared bluetooth mode ive made call voice loud clear sides also claims water dust resistant thats tested time rs2000 must appreciate portronics packaging good box usb microusb cable warranty card user manual included speaker got rs1749 sale amazon also received rs49 cashback amazonpay would say worth would recommend hope review helps,2018-11-07,5.0
5,customer_review-RWRBVCF79F1FP,KALPANA Kashyap,COMPLETELY WASTED MY MONEY,giving review 2 months usage thing heigher volumes quality sound gets much distorted unpleasant hear u r person buy listen song heigher vol u replaced speaker one also problem little less distortion still would suggest one go speaker,2018-10-27,1.0
6,customer_review-R2H0TINK80ZMCC,Saurabh Sharma,Phenomenal,initial impressions 1 day great built quality good form factor good sound quality best still good distortion even highest volume theres crackling sound songs 100 doable battery life solid 10 hours 80 volume loud expected still pretty satisfactory easily fill medium sized room google assistant also works charge phone well take decline calls kudos amazon delivering within 2 days edit 14th november also purchased boat stone 600 using feel sound quality bass better stone 600 features louder,2018-11-06,5.0
7,customer_review-R284I9ORVFY86G,Atul D. Pitroda,very decent product and very good performance against its size!!!,amazing product size fits looking fir reviews around sony xb21 jbl flip4 minnd hiwecer lisened one shop incidently liked price loint beats others spend 7k still buy jbl product good audio quality good 15 10 room bass little compromised mid high high quality battery something drawned cud use 2 hiurs high volumes also fm flawless douvt whether b crystal clear also usb conn aux charging point mini usb issue flap see thus connections flap keepz hanging whatever u plug overall good product price point,2018-11-18,4.0
8,customer_review-R3PT8IGZSEQCXL,anuj,Value For Money,best speaker price range treble good battery good bass boom loved range average good loudness awesome best speaker 3500 buy bought around 1900 value money,2018-07-28,5.0
9,customer_review-R19U4B4GD3E2P3,Sachin Dahiya,"Go for it.. supports Bluetooth, FM, Aux USB..",bluetooth speaker really good sturdy little bit heavy makes sturdy stable listening full volume battery life pretty good promised protronics look feel good sound quality also good fm also good songs played usb also warranty card included box register product online get 2 months extended warranty without extra fees thus total warranty 122 14 months good product protronics go,2018-10-13,5.0
