,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1PT0ES8WRHL4N,shreya,"Small size, big impact",fantastic product like lionel messi much awesomeness small package family love product soft touch finish provides nice grip helps sound quality overall product good weight battery life longer youll ever need charges quickly sound quality volume pretty much studio speaker sans woofer around 3k buy eyes closed,2018-12-29,5.0
1,customer_review-R3F1HHYU3BRDR3,Sanjib Bose,"Received defective and, seems like used item. Replacement requested.",received item seems like used one package seal placed side product taken without tearing seal also hanging wire prethreaded device suggesting might used earlier lastly using noticed times flickering sound requested replacement let see replacement new fine,2018-08-21,2.0
2,customer_review-R2IOTUD7LJPN42,Vinay Hosadurga,Worthy and Happy,speaker goodthe voice clarity loud volume well preservedthe bass adequatethe make olive green amazingi charge regular samsung mobile charger takes 3 hoursand bluetooth coverage beyond 10mtsto get better sound quality adjust volume speaker gadgeti would definitely recommend friends,2018-04-06,5.0
3,customer_review-R3I44FZ3B8W64I,Samuel,SICK BASS & REVIEW REVISITED FOR APRIL 2019,lookin punchy quality bass cornered economics quality bass sound battery life amazin premium rubber quality soft grippy buttons responsive minimum finger pressure sturdy latch nfc works like breeze call audio quality good duh ldac allows enjoy high quality wireless audio via bluetooth big deal though super sensitive mic takin call pressin volume buttons calls sounds like flippin page person line useful tips issues bass shadowin vocals download sony music app playstore sony music app two features 1clearaudio makes vocals clear 2dynamic normalizer minimise volume difference songs video highly useful youtube,2018-11-02,5.0
4,customer_review-R7ZHEUP0FR3OL,Sumit,Not a good speaker,good speaker mine stopped working exactly 12 months took service center refused repair befor buying speaker consider condition wont get repair service center life speaker less sound quality good limited time year less year show quality chinese products,2018-10-24,1.0
5,customer_review-R3VX3QF7FOBW24,Huzefa Hasan,Overall a good speaker,bought speakers 3100 additional 300 cashback using last 2 months dont known complaintsdefects till pros sound quality quite good clear full volume also good enough house party etc size handy carry anywhere looks finish good battery life awesome takes around 4 hours fully charge use around 2 weeks daily around 2 hours med sound full sound last 1213 hours cons base good decent enough get size please note cannot connect speakers 1 device time speaker starts moving little due vibration base songs full volume nextprev buttons,2019-01-01,4.0
6,customer_review-RVXJWDVC0XAAG,K,Great speaker - really amplifies the bass,speaker really good convenient super portable need expect sound heavy bass amplification thats advertised thats,2018-07-05,5.0
7,customer_review-R1IV1NJ0YHZWIP,Sajith,Not good for wireless phone calls,primary requirement buying bluetooth speaker make wireless phone calls laptop speaker sound low used take office calls home sony srsxb10 totally disappointed hardly hear anything side call person side complained voice echoing highly distorted manner tried calls multiple people changed phone well results music streaming works well good clarity bass complaints sony made wireless call option show one additional feature well tested since requirement met returned want speaker music streaming go worth,2018-10-02,3.0
8,customer_review-R3M3WPB81BR1KZ,zicoM,EMPTY BOX !!!,good speaker got empty box first go lot stuff get paid return package mail wait call threaten mail threaten call give hope suddenly one day recieve speaker approx 45 days,2018-12-13,1.0
9,customer_review-R31X53G73LDLJ7,Shivam,Portable and powerful,pros sound quality bass battery backup portability ipx5 nfc build quality sony brand cons buttons good extra bass cant turned supported sony music center songpal app battery percentage shown phone tested tagg sonic angle 1 found tagg lacking bass low volume whereas sony able produce good bass low volume sound quality better sony vocals clear tagg also compact comparasion tagg frequency response sony 20hz 20khz whereas tagg 50hz 15khz opinion sony xb10 vfm product rs 3000,2019-03-18,4.0
10,customer_review-R1PT0ES8WRHL4N,shreya,"Small size, big impact",fantastic product like lionel messi much awesomeness small package family love product soft touch finish provides nice grip helps sound quality overall product good weight battery life longer youll ever need charges quickly sound quality volume pretty much studio speaker sans woofer around 3k buy eyes closed,2018-12-29,5.0
11,customer_review-R3F1HHYU3BRDR3,Sanjib Bose,"Received defective and, seems like used item. Replacement requested.",received item seems like used one package seal placed side product taken without tearing seal also hanging wire prethreaded device suggesting might used earlier lastly using noticed times flickering sound requested replacement let see replacement new fine,2018-08-21,2.0
12,customer_review-R2IOTUD7LJPN42,Vinay Hosadurga,Worthy and Happy,speaker goodthe voice clarity loud volume well preservedthe bass adequatethe make olive green amazingi charge regular samsung mobile charger takes 3 hoursand bluetooth coverage beyond 10mtsto get better sound quality adjust volume speaker gadgeti would definitely recommend friends,2018-04-06,5.0
13,customer_review-R3I44FZ3B8W64I,Samuel,SICK BASS & REVIEW REVISITED FOR APRIL 2019,lookin punchy quality bass cornered economics quality bass sound battery life amazin premium rubber quality soft grippy buttons responsive minimum finger pressure sturdy latch nfc works like breeze call audio quality good duh ldac allows enjoy high quality wireless audio via bluetooth big deal though super sensitive mic takin call pressin volume buttons calls sounds like flippin page person line useful tips issues bass shadowin vocals download sony music app playstore sony music app two features 1clearaudio makes vocals clear 2dynamic normalizer minimise volume difference songs video highly useful youtube,2018-11-02,5.0
14,customer_review-R7ZHEUP0FR3OL,Sumit,Not a good speaker,good speaker mine stopped working exactly 12 months took service center refused repair befor buying speaker consider condition wont get repair service center life speaker less sound quality good limited time year less year show quality chinese products,2018-10-24,1.0
15,customer_review-R3VX3QF7FOBW24,Huzefa Hasan,Overall a good speaker,bought speakers 3100 additional 300 cashback using last 2 months dont known complaintsdefects till pros sound quality quite good clear full volume also good enough house party etc size handy carry anywhere looks finish good battery life awesome takes around 4 hours fully charge use around 2 weeks daily around 2 hours med sound full sound last 1213 hours cons base good decent enough get size please note cannot connect speakers 1 device time speaker starts moving little due vibration base songs full volume nextprev buttons,2019-01-01,4.0
16,customer_review-RVXJWDVC0XAAG,K,Great speaker - really amplifies the bass,speaker really good convenient super portable need expect sound heavy bass amplification thats advertised thats,2018-07-05,5.0
17,customer_review-R1IV1NJ0YHZWIP,Sajith,Not good for wireless phone calls,primary requirement buying bluetooth speaker make wireless phone calls laptop speaker sound low used take office calls home sony srsxb10 totally disappointed hardly hear anything side call person side complained voice echoing highly distorted manner tried calls multiple people changed phone well results music streaming works well good clarity bass complaints sony made wireless call option show one additional feature well tested since requirement met returned want speaker music streaming go worth,2018-10-02,3.0
18,customer_review-R3M3WPB81BR1KZ,zicoM,EMPTY BOX !!!,good speaker got empty box first go lot stuff get paid return package mail wait call threaten mail threaten call give hope suddenly one day recieve speaker approx 45 days,2018-12-13,1.0
19,customer_review-R31X53G73LDLJ7,Shivam,Portable and powerful,pros sound quality bass battery backup portability ipx5 nfc build quality sony brand cons buttons good extra bass cant turned supported sony music center songpal app battery percentage shown phone tested tagg sonic angle 1 found tagg lacking bass low volume whereas sony able produce good bass low volume sound quality better sony vocals clear tagg also compact comparasion tagg frequency response sony 20hz 20khz whereas tagg 50hz 15khz opinion sony xb10 vfm product rs 3000,2019-03-18,4.0
20,customer_review-RLB57FZPX3PLA,Niladri Datta,Major disappointments.,nice looking quiet small light weight bluetooth speaker pros 1 sound quality good loudness equivalent 3w sounds equal times quieter logitech x50x50 3w 2 feel premium think may last long 3 mic answer calls 4 bass radiator works well nice bass output 5 bought rs2874 cons 1 sound quality good logitech x50 previously owned lasted 25yrs sound started cracking 2 loudness also x50 many times 7 10 songs less loud x50 3 walk away phone little bit wall even body comes speaker smartphone connection drops music gets interrupted happens within large room stay 1000sqft house imagine big large room whats point giving 1200rs extra greatest disappointment loudness low trust exaggerating best part cannot return speaker back stuck update 14th april 2019 bluetooth range increased dont know works well big room 15ftx15ft,2019-03-01,1.0
21,customer_review-RKUBO4QAOAMA0,Aman Dudawat,Worse experience...worse product,20 days stops workingworse product peoplei hate itthe volume automatically came downand speaker totally workingthe base working level volume lownot worth buyworsedont buy,2018-10-01,1.0
22,customer_review-R1DZGVBU3LW587,Amazon Customer,Whoo!,dam loud punch bass good clarity sound 70 volume loud fill hall room cracking sound even highest volume sound best listen music reflecting solid surfacejust experimental listening easily connect bluetooth 42 bluetooth 5 version tried overall goodbut extra bass awesome,2018-08-15,4.0
23,customer_review-R1EJQ8QISXSTAY,Satya Kanchumarthi,Worst Service by Amazon! Poor Battery Backup!! Sound Quality is not stable!!!,product might manufacturing defect happens worst service amazon mentioned 16hr battery backup even lasts 2hrs even contacting customer care multiple times theyre responding properly suggesting troubleshoot reach sony service centre even though option returnreplace last day returnreplace option repeated required buy brand new product amazon roam around service centres get olx 69 months warranty 1500 theyre dying accept returnreplace item need contribute money pockets last product amazon wont suggest amazon ill suggest ecommerce sites rather amazon,2019-01-24,1.0
24,customer_review-RWCMZ46QNO66L,Utpal Kalita,After 2 months of usage,writing review 2 months usage sound quality excellent better jbl go bass also perfect single room usage battery life 10 12 hours 70 volume though never measured properly bought rs 3100,2019-01-24,5.0
25,customer_review-RGXDVOI93D21Z,Surya,Good sound quality but behaviour of charge indicator needs to be improved,awesome sound build quality behaviour charge indicator needs improved able use laptop bluetooth yet need use phone battery life good although indicator dispalys orange show charging mode also green indicator display charged enough full recharge currently dont know much charging left displays orange indicator indicator indicator dont know whether battery fully charged issue charge connectivity price 3000 hence expecting improved behavoir charge indicator,2018-08-26,4.0
26,customer_review-R3P3OG105LLZEH,Arun R Prasad,Better in Bass,really loved product first time experiencing sony quality jbl user still gave 4 star product battery backup comparatively better available speaker range gives 16 hours battery backup used 70 percent volume body quality built strong enough easy handle,2018-06-23,4.0
27,customer_review-RXYBD0NKNQB4G,vandevan,It doesn't get much better for the size,small size rubberised body base single 18 driver firing upward passive bass radiator bottom deliver generally good enough bass size ordered another one use stereo yeswith add button one pair two speakers play left right channels nice feature solid overall audio experience crisp highs rich lows price size theres little complain lanyard rubberised loop also act stand place speakers horizontally make front firing con felt controls flush cylindrical surface makes difficult operate darkness bedside moved speakers computer table marshall kilburn traditional onoff switch easily felt switched adores bedside,2018-10-16,4.0
28,customer_review-R2LMCWA1ML25MM,Rahul Shukla,Five stars.,awesome awesome cute little bt speaker produces monstrous sound crystal clarity bass mind blowing small speaker really expect good would recommend every music lover play soothing piano track let music take wonder land,2018-09-06,5.0
29,customer_review-R2BPXX854ZO98O,SAMEER AWATHARE,DISAPPOINTED WITH SONY SRS-XB10 PRODUCT,product sony srsxb10 extra bass portable splashproof wireless speaker bluetooth nfc red sent markthe battery life poor playing 10 15 minutes automatically decreases volume manually increase volume sometimes bluetooth automatic turn offi much disappointed producti want full refund product early possiblekindly needful earliest,2018-11-14,1.0
30,customer_review-R3CVCD4W4PJ0YY,Gokul Raj,Good Quality Speaker(extra bass)👍 but with a Small Bluetooth Ranger,good quality speakers little bass mini jbl speakerssuper voice clarity toobut problem noticed thatbluetooth connection perfect speaker phone roombut starts produce delay distance increases even u leave room thaatit got good battery life speaker worked perfectly fine last 4 months splash proof sister accidentally spilled water bt still works perfectly fine right,2018-09-09,4.0
31,customer_review-R2VP4AB0CEK3Q7,Osman Ali,Seal of the product was cut and it was wrapped with cello-tape,product seems pretty good till yet package got hand expectable sony seal broken box wrap cellotape,2018-10-01,3.0
32,customer_review-R3IB23Q3UIO8PA,Sushant saxena,Super,bass perfect clarity good easy carry anywhere best part connect two xb10 time power backup almost 1314hrs dan sufficient higher bluetooth speaker dis range sony sonyno comparison,2018-07-09,5.0
33,customer_review-R3Q8X6W9WH2YD8,Amazon Customer,"High quality, value for money speaker",appearance looks far better reality pictures got soft touch material exterior gives premium feel sound pretty good size cant expect bluetooth speaker give sound quality home theatre near speaker disappoint sure good bass mid zone sound digital unlike many bluetooth speakers looking secondary music system travel adhoc play small party gathering go better jbl price,2018-09-06,5.0
34,customer_review-R3E8Z4N4QTBO9V,Siddhartha,Here r some facts about this product.,best performance connected iphone n sony phones connected pclaptop bass awesome voice diminished overall go battery powerful perfect phones n compact devices,2018-07-23,4.0
35,customer_review-R3GQEKNMLWQCZW,Amazon Customer,Amazing product. I loved this speaker,amazing product loved speaker extra bass facility speaker makes best bluetooth speaker price confused jbl clip 2 sony xb10 im proud choice light weight handy,2017-08-20,5.0
36,customer_review-R2FTEOVEO8N2R7,Ayan,Value for money,using month pros cons pros 1 sound good clarity detailed sound 2 bass deep mid bassgood softpop musics 3 build water resistant shockproof 4 battery run 2 days cons 1 volume could louderat 80 volumevoice starts crack 2 connectivity often blocked walls even someone stands phone speaker grip speaker tends move lot high volume overall decent product price,2019-07-22,4.0
37,customer_review-RJBGB4779HU0L,online purchaser,Expected more out of the product,certain level expectation product sony willing pay compared brands bit disappointed quality sound bass effect good cannot raise volume quality sound lost expected better sony price range,2018-12-28,3.0
38,customer_review-R1BGAUK77LOXCE,Rohit Akela,Mighty mite,great little bluetooth speaker skeptical really extra bass feel thumping table counter playing music amazing small portable speaker addition full base also clear muddy get distorted high volume carrying strap used suspendhang speaker also doubles cradlestand aim speaker horizontally keep rolling around time listen directed way also stand end pointing straight rechargeable battery lasts long time claim 16 hours reason doubt using 24 hours day 5 days still going strong bluetooth connection maintained even side condo good range easy pair android phone nfc even easier builtin auxiliary minijack input music source support bluetooth includes usb cable charging little light turns charging turns charging complete happy design great color blind people hard tell difference lights change color great design feature speaker water resistant want submerge use might get splashed water worry ipx5 means rated survive water jets water projected nozzle 63 mm enclosure direction shall harmful effects speaker builtin microphone used handsfree speakerphone paired phone test feature works well think use often listening music phone someone calls would convenient answer quick call speaker get right back music call done would never set place call using device already listening music speakerphones annoy another great feature unable try point look forward connecting 2nd speaker true stereo sound two little guys synced one becomes left channel one right channel would provide better quality sound one already assume would also quite bit louder maybe twice loud really complaints speaker look forward picking second one sale day portable sounds great lasts long time singe charge even looks good win,2019-04-02,5.0
39,customer_review-R3JR7KHCLOZUAW,Sid,Bluetooth bomb,used 1 month found satisfied good product sony absolute one nice finish like satin touch feel looks good handy durable shock proofsound quality great compared boat jbl low volume level heard pump upto 40 low sound music experience bass great feel like small subwoofer effect downside may get distorted sometime songs need play equalizer nullify volume level rms 10 good flip3 level reaches potential past 50 sound level surround sound experience absolute boom 360 experience directional one battery also last days regular usage family find versatile addition purchased lightning deal get around 2900 sony xb 10 emerges recommendable one per,2019-02-28,4.0
40,customer_review-R1MUR300HSGW89,Gowtham Prabakaran,100% you love the bass from the the small device,amazing product buy amazon great product sony 100 love bass small device,2017-08-18,5.0
41,customer_review-R3J8KNGGAQMSVD,axi tak,"non returnable,sound quality sucks plus not compatible with Alexa echo dot",first let say alexa echo dot dont go speaker worse sound alexa echo dot plus compatible alexa devices small speaker enough study table close bed like mini speaker sought thing plus worse say eligible return u cant return play fool wanted return go better louder sony speaker taking return even satisfied sound quality lets say spend 4000 go sonys advance bluetooth speakers,2019-08-05,1.0
42,customer_review-R2FCF9UY9DAFX6,Sathya Dev,Not for experienced,hey guys brought lot stuffs amazon dont give product review usually one experienced person used lot speakers one honest word speaker really disappointed called amazon agent return refused return writing review speaker beginner never used speaker dont know may also get disappoint,2019-05-21,3.0
43,customer_review-R88A34KWFW8C2,Moirangthem,Worst Experience!,multiple factors 1 loose connection sound often went higher volume 2 bass pathetic loud volume 3 wrong product dimensions info provided 38 x 61 x 38 inches actual around 3 x 4 x 3 much smaller expected refer attached one 4 couldnt connect bluetooth ipad neither macbook worse case tried replacement day delivery theres option replacement allows call back concern experts repairfixation throw app manufacturers site lengthy process im frequent online shopper love gadgets never bad experience didnt expect thing amazon ebay snapdeal part joke,2019-05-14,2.0
44,customer_review-R33BCHKAI5YPZ1,puneet vikram singh,Have no doubt Go for it,mind blowing didnt expect powerful sound tiny speaker sound clarity top notch speaker perfect enjoying music solitude watching movies tablet lying bed earlier fd bluetooth speaker costing around inr 2200 sound clarity bass low may noted party speaker people complaining less intensity sound meaningless infact tiny speaker loud enough enjoy party songs people expecting loud party speaker go higher models got deal 2300 inr sale thank amazon,2019-10-09,5.0
45,customer_review-RO6PU1WG8VVA5,Asha Seth IG@badbookthief,Absolutely in love with this speaker.,travel lot needed portable speaker weighing many options settled sony srsxb10 extra bass portable splashproof wireless speaker bluetooth nfc regret nothing sound quality super great deal plus price get cheap luck must buy,2018-11-13,5.0
46,customer_review-R2LW5HJFY1UHS,"Penny Wise, Pound Wise Too ;)",Sound output not that great,speakers good base promised compromises overall sound output guess function adding 2 speakers rather mandatory one sound output single speaker like halfway actual output price range best product available far going price range purchase blindly else shell couple grands get one jbl flip series,2019-07-19,3.0
47,customer_review-RHSN25EIVU8O3,Selvarajan,Worst product,expected quality sound quality bad duplicate product pair google nexus,2018-06-19,1.0
48,customer_review-R3OIBE3F82625S,mayank,Best bassy sound and battery life in budget speakers,purely looking quality bass budget speaker loud enough fill room option pair another perfect party pros awesome battery life 1215 hours 6080 volumes literally buy speaker battery life good bass oriented sound connectivity good nfc plus option pair another xb10 splash proof perfect loud casual listening perfectly portable especially considering bass quality durability cons mids highs well produced bass doesnt sound bad genres music suffer others detail music often suffers cant pair models common issue many speakers though ps youre looking durable speaker go jbl clip 2 3 water proof ipx7 sound isnt bass oriented rather focused clarity awesome terms case extend budget buy jbl flip 34 good battery life great sound loads bass,2018-12-27,4.0
49,customer_review-R3CD1SSJWTYYY2,Sourav T,The actual truth about the speaker....,love product sound quality really good bought 3058 rupees money dont think ill get anything better extra bass name joke really really extra bass disadvantage fully waterproof outer cover rubber getting dirty easily apart really nice speaker everybody wish get good speaker go product,2018-12-12,5.0
50,customer_review-R2KW4IWT7XVEWS,Santosh,Worth every penny,lot research scrutinizing bought speaker far experience awesome hassle connecting speaker sound quality good crisp loudness well balanced battery life close 16hrs jbl go clocks around 5hrs quite improvement thing bothers skin speaker attracts dust particle time notice deposition bang buck,2019-01-01,5.0
