,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3T27LVOWUG1V8,Amazon Customer,Interesting Experiment with photography,purchased 50918 rs 3999 lightning deal colour cobalt blue delivered 110918 camera used first time 170918 vishwakarma puja films camera case purchased separately market cheaper online rate camera made thailand camera functioned well far however battery cover become loose within 3days novice normal photogaphy ie use point shoot cameras mobile phones reviewers described fuji instax mini toy agree like experimenting photography try like something fun try instant camera means one chance photo may good bad depending handle itbut process immensely satisfying strive improve camera comes good instruction sheet read carefully also watch online instruction videos google fuji instax mini 9 come across several show detail load battery films start taking photos watched films took first photo came quite nicely camera suggests lightning strongly recommend follow become expert instant photography charm see photos develop instantly pleasure taking autograph spot take photo someone admire presenting photo someone load film cartridge exactly given instructions open foil preferably dimly lighted room slip cartridge insidesee videos press shutter film cover pop camera show 10 films loaded ready use take photos camera indicate many films left photo takes 3 minutes develop fully shake photo put gently flat surface away strong light 3 mins show everyone store photos albums use closeup lens get good photos distance 35 50cm without lens 60cm 25m instant photography people hurry films expensive patient take photos times better results come photographer sit take instant photo took first photo sitting bench yet taken selfie cant comment aspect photos small size like atm cardso plan photos take eg take full figure person photographed look tiny childhood days black white photography nondigital film cameras box camera called small square photos used developed photos instax mini type though square old black white photos home give idea size subject photos initially wanted camera colours followed amazon pricing one year plunged lightning deal took decision buy recentlyafter someone took instant photo expensive camera presented fuji instax mini cheapest among instant cameras try get addicted,2018-10-04,4.0
1,customer_review-R1SUE68HQW0Z9H,arushi,Instax mini 9 bad performance,dont lyk dis product ol complete waste money guys buy bad pictures,2018-11-08,1.0
2,customer_review-R2MBXZ7C10TEMR,Hem Sadan,Detailed hands-on review after using Instax Mini 9,instax mini 8 one favourite fun camera instant photo lovers keeping popularity mind fujifilm launched new instax mini 9 minor upgrades unlike countries instax mini 8 indian market successful attempt due less popularity instant cameras turn tables fujifilm come updated version equipped selfie mirror minor upgrades let get details box 1 camera 2 two aa non rechargeable batteries 3 strap 4 closeup lens 5 manuals sticker warranty card design unique retro design attractive pastel shades one major reason people love camera instant camera fujifilm keeping retro look intact renewed colour range cool colours like cobalt blue lime green ice blue flamingo pink smokey white weighs around 350 grams battery measures 456 x 466 x 269 inch also built plastic thats make look like toy camera improvements design includes tiny selfie mirror front camera lure selfie lovers close lens attachment help capture macro shots precisely hardware camera features 60 mm lens f127 aperture flash always light whether indoor outdoor also houses light sensor helps automatically adjust exposure per lighting condition need turn dial per indicator dedicated high key mode addition model maximize brightness comes set two aa batteries instead would recommend use rechargeable batteries need buy separately save bucks also photo count analogue meter back counts number shots remaining performance camera fun meant click ultra hd pictures like dslr better compare instant camera expect kind connectivity device want fun camera buy else regret press power button located near lens turn camera lens pop adjust exposure using rotating dial desired position suggested light sensor ready click retro looking pics clicking photo camera extract photo print top camera 23 seconds get shocked viewing blank picture photo take minute two get fully developed use first buy photo cartridge available market separately pocket friendly price putting cartridge camera able click 10 pictures inserting new cartridge verdict overall look feel camera like toy sharp edges eye soothing colour also process clicking photos really simple cost per photo economical per opinion everyone seeks buy camera since fun good budget spend instant camera many options better clarity larger photo capabilities ps review products amazon help fellow customers taking wise decisions try ensure everyones hard earned money get full worth always makes day know people find reviews helpful feel free comment queries,2017-10-13,4.0
3,customer_review-R260DY0QNGL958,Amazon Customer,Worth the money!!,happy purchase picture quality amazing selfie mirror great add useful,2019-05-08,5.0
4,customer_review-R3TBLFU0955NPB,Duarah.,Perfect.,reached full packaging tested first shot films perfect also expiry date 2 years im fully satisfied,2018-10-23,5.0
5,customer_review-R1T7D2BF0R1QMM,suwedh l.,High altitude,dont use high altitudes film capture air able print,2019-08-17,5.0
6,customer_review-R13LRRVPDV5H92,Uncanny pote,Loved it,great product little problem roll getting stuck using duracell battery works using nearly 9 months still works like charm picture quality better take pics outside indoors results tend bit dark,2018-09-09,4.0
7,customer_review-R386T7UHF91C1E,Sreerag,Good camera for Instant memories,pros easy use good colours options selfie mirror actually useful decent quality pictures cons digital version photograph available thats right considering price cam expensive film catridge 1000rs 20 pictures 50rs per photo,2019-06-12,5.0
8,customer_review-R1IEYSON193TFQ,Ishika Jain,DOESN'T WORK DON'T BUY,ordered camera around 2 weeks ago first photo worked stopped working films started come blank kept trying hardly 5 films worked 20 films wasted opinion would buy camera waste time money strictly safe buy,2018-10-27,1.0
9,customer_review-R3KL3SWO45B7DO,Swathi D B,Most desired product,wanted take camera long time got film need take seperately quite expensive better thing collect memories people wants create memory book helps alot,2019-04-08,5.0
10,customer_review-R37IPQJM14GP37,Raunak Hajela,Fake Product. I received an unsealed product twice,buy first time thought maybe happens repeated twice product box folded lines plus replacement delayed 2 days planning gift someone useless,2018-11-05,1.0
11,customer_review-R128IOAWW48ZI4,YS,Bought for a reasonable price,colour classy body sturdy photos square thought small vertical rectangle bought 3400rs bought emi hdfc amazon gave discount interest emi finally got 3100 rs wait track days see get best deal,2018-11-06,5.0
12,customer_review-R3MDBUTH6YHWPS,Divya,Amazing Buy,loved camera loved color still getting hold click good pictures far noticed pictures comes best duskdawn time,2018-03-15,4.0
13,customer_review-R3OTHYEZDD18DQ,Lakshmi P.,Don't buy it,poor quality camera seen customer service response poor completely trick us illogical return option benefit customers worth even free,2018-11-07,1.0
14,customer_review-RW852BZNU8HEZ,ContentMonk,Good until the horror of expensive underexposed photos gets to you,pictures always gonna darker side unless youre super bright environment size camera makes tad cumbersome use novelty getting pic developed right front eyes though thing works favour dont know long thatll sustain though given expensive buy cartridge underexposed photos,2018-10-20,3.0
15,customer_review-R3GYMZYT4ZFHH1,Prerana Keshav,This was a scam.,5 films supposed come pack 3 far duds first two camera able take photos despite batteries newly replaced film correctly loaded third pack wont eject cover shoot photos film making 10 shots useless cant even return open use film check disappointed,2019-02-11,1.0
16,customer_review-RPMHJWV7SLD5J,Rohan Dawar,Excellent,good investment capture memories print image instantly careful surrounding taking image sometimes images printed dark due low light surrounding print selfies best per,2018-12-06,5.0
17,customer_review-R18HN3Q1ZDY7LY,Bhargavi Priyanka,Excited!,candid loved feel,2019-05-06,5.0
18,customer_review-R3BWJS3EY83DZY,Jatin Hatwal,Shoot and obtain pictures in seconds.,instax mini 9 instant camera comes brightness adjustment dialthe camera automatically determines best brightness taking picture lights suitable setting based surroundingsturn brightness adjustment dial lit settings take bright photos selfie mirror check framing selfie mirror next lens hikey mode take photo easily highkey modesetting brightness adjustment dial highkey mode allows take pictures softer impression closeup lens attachment closeup shooting upto 35cm away possible instax mini9 instant camera specifications shutter shutter speed 160 sec auto power time 5 min power supply two aasize 15v alkaline batteries capacity 100 shots approximately 10 instax mini film packs new aa batteries others exposure counter number unexposed films film pack confirmation window dimensions weight 116mm x 1183mm x 682mm 307g without batteries strap film pack,2019-11-04,5.0
19,customer_review-R7FTXNTX3IX0P,Debjyoti Sikdar,Wonderful quality,surprised see cheap camera good picture quality however though might sound simple one perfectly follow instructions become pretty easy use also made plastic im unsure durability,2018-12-29,5.0
