,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R29QDIOTY05J5M,uma mandal,Nice point and shoot 📷,honestly one good cameras budget 10k bought sale read reviews good bad firstly point shoot camera image quality according pretty good anyone looking decent shots one goodi put images everyones reference sunset pic taken moving bus work bit features getting perfect pic learn great images,2018-12-17,4.0
1,customer_review-R1WWF3DBE2Y7H6,Amazon Customer,Defect product/Duplicate product,unable register online seems product shipped china somewhere brought india onlineit support registration bt supporting unable connect wifi device send photos mobile desktop looks like defect product delivered,2018-07-25,1.0
2,customer_review-R14JI8FEE63OCG,Abhishek Roy,"Poor night performance, but breath taking daylight images.",headline says night pic hit miss depending selected iso iso greater 200 image quality degrades smartphone level higher iso means gonna worse smartphone images daylight images far superior smartphone pics especially processing done bionz processor,2019-03-31,5.0
3,customer_review-R1E1AFWTMIVKZ0,NVSIVAKUMAR,picture quality,product used taking superior auto picture high clarity highly useful dislike sharing microsoft outlook mail default changed g mail yahoomail would better easy sharing photos friends relatives,2019-02-26,5.0
4,customer_review-RX1BUL4V0JCJG,ganesh,cannot connect to mobile and LG 55inch 4k smart tv,good camera picture quality also full hd cannot connect wifi cannot connect mobile cannot connect new lg 55inch 4k smart tv disappointed,2019-05-22,5.0
5,customer_review-RL9G0KDHA6MT2,Azhar,Not worth for this cost...it should be below or Rs 8000 price.,quality worth price build premium many time delays clicking photos moving object images cleartime delays also getting connected windows 10 need visit sony care cost wise rs 8000,2019-10-13,3.0
6,customer_review-R2NF5OV3Y5DHE7,Sagar Patel,Worst camera for cloudy weather photography,camera us unable take pictures cloudy weather manually change mode hdr able take picture substandard quality mobile camera able take better pictures sony camera bright lighting condition able take nice photos,2018-09-07,3.0
7,customer_review-RWLH9T1K4KXZB,Pankaj,Easy to use camera,ordered travel purpose picture quality little bit better pictures taken using smartphones zoom okay expecting crystal clear hd pics feel missing operating easy understand functionsmodes operating hours happy price,2018-11-14,4.0
8,customer_review-R351UBB3VEMWM6,khode p.,Very beautiful and nice camera,long wanted beau tilgul camera searching lot camera review finally got expecting decided purchase camera picture quality say sony battery life handy easy use software everything despite portrait sony needs updated last thanks amazon team without possible,2018-11-19,5.0
9,customer_review-RSA2O0UG4J0ZC,Naveen khantwal,Mind blowing camera,brought camera yesterday love camera nice delivery camera quality good images comes ossm price segment fully loaded awsm features video quality also amazing smooth want ideal camera less price segment recommend sony cybershot dsc wx220,2018-02-15,5.0
