,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R6N6MZ85MLKJ0,Online Chashka,True JBL Sound in pocket friendly price but use carefully,loved listen music earphones already used jbl c100si c200si bought one gift someone used jbl c50hi 34 days points helpful decide buy build earbuds housing made plastic looks basic wire length 12mtr thin twin wire wire tangle free feel strong durable one good thing l shape 35mm jack put pocket sitting without worries overall build quality average sound sound quality well balanced bass goodvocals acoustics clear even 100 volume said sound output well balanced loud clear much loud listen music full volume feel true jbl sound earphones used oneplus 3t earphones comes inline remote single multifunctional button mic mic works good calls overall sound output good feel true jbl sound output build quality good look premium durable suggestion want listen good quality music go need use carefully want use earphones roughly go realme buds boat earphones need compromise sound quality check earphones videos youtube channel link profile,2019-02-03,4.0
1,customer_review-R3MJBQVUAWT8JF,"Honest, Dil Se - Seedhi Baat","Good sound, affordable price - Value for money",lots request floating watt reviews reviewing entry level headphones jbl got headphones colleague thought time post detailed review week constant usage tried plenty entry level cheap headphones time realizing one thing bitterness poor quality remains long sweetness low prices forgotten summary review 1 specifications mic 1button remote 2 reasons buy great fit multiple right sleeves perfect bass response b amazing bass 3 reasons buy many options available one budget 100 rupees jbl brands detailed review packaging one startling thing notice receiving product amazon lies beneath packaging amazon great package jbl jbl compromised values provide great packaging great sound compare mi boat pretty evident significant compromise packaging order probably provide good product compromise product department also clear one starts discovering aspects say mi boat rating 55 designcomfort choice great sound also great aesthetics probably want carry awful product earbody enjoy great music jbl disappoint design even entry level wired headphone wire long sometimes feels long use 23 days find quite manageable twin cable back jbl special engineering design good old twin cable high fidelity twin cable rating 355 sound nutshell audio crisp loud time believe jbl got voice customer packed great sound great price beauty headphones screw ear one sleeve fit perfectly indian ear matters experiencing bass properly bad fit certainly delivering experience good bass shape headphone tubecanal rightly angled honestly seen good design little way typical jbl design welcome change reflects sound positively low frequency 55 midhigh frequency 455 voice clarity 45 sound go side give headphones 455 rating durability ran exhaustive test headphones especially electrical jointsabused held connections really long infact lifted 2kg load cables test strength break specially designed test labs call quality noise cancellation microphone indeed treat ears call one button remote certainly value money price give 55 microphone call quality remote great usage smart one button remote microphone housing wonderful single press mutestart music double click next song overall rating looking budget good sounding product value brand get associated jbl c50hi rate 45 many entry level headphones get past 35 rating test lab reviewers go headphones pick color 3 available used almost 3 months updating rating 55 amazing durability,2019-01-15,5.0
2,customer_review-R1G7PPZJM95VWX,Muthukumaran S,Amazing Product,bass response earphones amazing sound distinctively clear song like smoke water imagine impressed would design great especially helps noise isolation call fits perfectly got tiny ears ear canal fit amazing also one small trick one twist buds fit canal thank later think great price pay comparison products within price range got sale also works great laptop absolute worth buy according,2019-02-14,5.0
3,customer_review-ROSL6YUDK3BAW,LAKSHMI KUMAR PALLA,Bad delivery,product goodjbl mark worst delivery amazon,2019-01-17,1.0
4,customer_review-R4GRVAL37PLZC,Kindle Customer,Good value for money,recently bought earphones enjoy listening music times one great fit primarilythe buds ideal ear size canal design makes stay ear times like fact came 3 sizes ear piece share earphone brother large size fits perfectly well another issue used face 35mm connector compatible mobile phone mobile case easy fits perfectly compared products available price range think best one attention details credible especially connectors ear buds,2019-02-05,5.0
5,customer_review-R1CF89622I0YW4,Varunkoushik,"Best compared to ""mi basic"" earphones",great music excellent treble good base best price bracket,2019-01-22,5.0
6,customer_review-R2RTWR4204TAYW,Sanjana,Great Experience!,three things impressed quality music clarity durability product cable thin looks pretty sturdy got ideal cable size comfortable user experience give 55 output highs mids lows price genuinely remarkable maybe safe say much better cheap chinese counterparts similar price range market,2019-02-12,5.0
7,customer_review-R1KKFP9UNMRLW3,Amazon Customer,Best product for best price,bought earphones couple weeks back sale picked without much research simply beause jbl product truly impressed received simple great package encased product ive using ever since may say butter fingers dropped phone plenty times cable didnt rip shred due sudden drop anything giving 65 make durability offers somethings worth mention sound quality light weight bass student fits perfectly budget definitely offers music experience beyond product range,2019-02-14,5.0
8,customer_review-R2N7WFD8M6BHNC,Amazon Customer,Amazing earphone,jbl always favourite right first flip used speakers beforei admit become preferred brand earphones product amazing sound output quality easily better boat skullcandy sony simple tangle free neat whole lot bells whistles performs intended really well browsing similar products price clear definitely one strangely enough called times mic sound distinct even picked calls airport fact watched plenty videos pausing much easier precise remote button earphones obviously wasnt expecting clarity product priced low end things fits budget exceeds performance sure fact im impressed jbl introduced product price range another thing really glad see sound quality distorted even laptop,2019-02-12,5.0
9,customer_review-R35M2WP5P61MB8,Ashray Hebbar,"Great sound quality, light and comfortable.",perfectly balanced linear sound neither bassy much treble overall quality good price think sounds almost similar sennheiser cx180 costlier also light one comfortable earphones ive used,2019-01-18,5.0
10,customer_review-RP823I736NKS4,zankhana,No Bass,bought one reading good reviews misleading jbl known good sound n bass one complete disappointing sound ordinary n bass didnt enjoy music experience plz dont give false reviews becoz jbl buying happens reading reviews product return electronics ones bought n exchange one doesnt really help,2019-03-17,1.0
11,customer_review-R151Y41R5VC3CC,Ashutosh Nirmal,Good sound but average build,angular eartips fit ears feels light comfortable use hours wont problems mic provide clear sound calling even noisy environments earphone fit comfortably ears provides good noise cancellation give clean noiseless sound comes sound quality comes 86mm drivers sound good clear vocals bass earphone balanced well high low olus points earphone dont like earphone wire quality thin rubbery wire tangled easily second volume buttons want light weight cheap earphone good balanced sound go one want better build quality bass go realme buds,2019-02-05,3.0
