,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1BZBEFYMKM2Y2,Sai K.,BAD EARPHONES.,completely unreliable twenty days right speaker stopped working since return window closed im unable return cheap product buy,2017-09-05,1.0
1,customer_review-R3IR3LAW8YRDU5,Pradeep Yadav,Bad review,left side earphone working also issue arisen within 5 month use buying branded product could last even 1 year else amazon selling product clearance old stocks really disappointed product,2016-10-28,1.0
2,customer_review-R3H3CA6QGDNOUM,akshaya,i would give 0 star to it,stopped working 5 months use,2017-08-27,1.0
3,customer_review-RZEEOQNBP8U2J,Prabhakaran A,Left side headphone is not working. I want a new & same headphones immediately.,durability satisfied brought item 1 month back working left side headphone working 1 happened dont know physical damage end even didnt used roughly give correct answer want new headphones,2018-11-14,1.0
4,customer_review-R3JD955FCP03Y8,Sourav,Don't buy this Headphone,6th time bought headphone everytime headphone stopped working 23 months month ago ordered headphone 3 days headphone stopped working didnt choice return make replacement request stopped working lost much money headphone one buy headphone even worth 100rs,2019-01-26,1.0
5,customer_review-R2R34YK3HLIBEE,sachin,Issue with Hearphone,worst headphone reason saying able use 2 months left bud hearphone working later check warranty tried get support scullcandy email sent mail till response regarding replacement possible give warranty need mention warranty 2 year hope get good response feedback,2018-10-27,1.0
6,customer_review-R3JO4R8SPOZD93,Ankur,Worth purchase in this range of price,prosthe sound quality nice bass treble also good range priceits worth buying material quality wire fantastic cons 1 mic available though mentioned somewhere mic 2 wire may get tangle messy time rate 45 5 also service amazon awesome kept promise delivered product timely,2018-09-11,5.0
7,customer_review-R27FKLRO0L63RP,anjan dev,DO NOT BUY THIS HEADPHONE,using headphone 5 months sound quality good second product brand disappointed left ear pic working bad thing product 56 months ear piz stop working would quit brand try new one guys beware cons buying product,2019-04-01,1.0
8,customer_review-R1OY4XE89WGFF6,Aarush Gosain,Worst headphones ever,worst headphones ever ordered left side give sound got destroyed 1020 days used listen medium high volume would recommend everyone buy bad product waste money instead buy jbl company headphones give excellent sound quality nice durability also get nice material quality worst product amazon,2018-11-09,2.0
9,customer_review-R3CZWO1K3DXBSX,RAHULJangra,MI is better than this,third earphone skull candy baught price range one good earphones price range sound quality good one comparing mi lower side would recommend 400 rs range buy mi earphones better quality,2019-08-19,4.0
10,customer_review-R1XNX5RAFRWMX8,Deepak Sarkar,Sounds good but is not very durable,product good sound quality per price however compared ear buds available price brackets philips ear buds costing 600 others ranging 600 900 product durable using weeks one buds stopped producing sounds overall earphone created little rough use given tiny product get accidentally pulled use used philips earphones year man amazing,2016-07-12,2.0
11,customer_review-RQ9ROIRB7VUMN,babu yadav,"honest review6 months use review, dont take it",dont take say warranty saying reply skullcandy scammers earphone stop working 6 months use think let 6 months chala na atleast company ghatitathey donot replace dont want hear otherwise sound quality everything goodgood say best price dont believe warranty go jbl boat,2019-06-05,5.0
12,customer_review-R1BQYWE551CTX,kamden,Build Quality Has Gone Low,skull candy brand would last year despite used roughly days sound quality gone also durability two months left earphone stopped working sure used carefully skull candy,2019-01-14,4.0
13,customer_review-R2A1UK2J08QJV2,shailesh,Useless product from the third class company,purchased two time time result remain first one damage two week second one three month use stop working skullcandy gives us 2 year warranty useless coz one service center noida mean travelling expenses product cost im disappointed skullcandy,2019-07-17,1.0
14,customer_review-R2YX04FK4CLZB9,Ankit U.,It's really sound nice...,dont think earphone good thought may want earphone last two years cant afford buy since bought sound really amazing didnt offers mic though sounds good also costly phillips earphones 360rs really sound awesome mic auto cancelling noise think buy,2019-02-21,4.0
