,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R133I83VW4UIFI,Vandana,Expected better than this from a Skull candy product,unfortunately stopped working 2 months expected better skull candy product refused replacement wrong entry part plz dont buy skullcandy sony senheiser better,2018-01-10,1.0
1,customer_review-R3PVNTWC2WFXER,Debarati Nandan,Pros and Cons,pros 1 good sound quality 2 proper noise cancellation 3 get entangled carrying around 4 easy carry cons 1 replacement guaranteed service centres would repair defective product would never replace new one 2 limited service centres service centres noida new delhi mumbai chennai bangalore 3 poor built quality sound isolating eartips falls sometimes 4 stops working within 45 days use purchaserepair atleast case,2019-01-07,2.0
2,customer_review-R3JO9I1BAFOYSV,Atharva C.,Worth it !,headphones worth cost superb bass sound quality great best suite name sound isolating go,2017-08-24,5.0
3,customer_review-R2DURT3ZF8YPMJ,Kevin,Superbb Headphone Worth Buying,excellent headphone advantages worth buying worth price paid cool bass cool ambient voice clarity nice voice isolation disadvantage plastic build use carefully sound quality superbb overall 45 5,2017-07-06,4.0
4,customer_review-R1YK6JO4JE6QGD,Pranesh,One side of the headset is not working,second time buying skull candy secong time facing issue one side headsets working really frustating 500 bucks jus 2 months really upset quality skullcandy providing,2018-02-15,2.0
5,customer_review-RS8950G8WCXKW,KARTIK KALRA,CHINA QUALITY - Earphone for 1 week,want earphones week two awesome stop working 1 week enough one earpieces second earpiece last day longer get right amount time mourn yes friends using 2 months earphone similar one giving problems gamble getting replaced new piece also met fate 2 months skullcandy service centre postponing replacement month saying give information availability next week try one time monday say unavailable curse themburn earphones move,2016-05-07,1.0
6,customer_review-R3975J1HPBSQ2C,Jamie Dsilva,"Muddy sound, lacks fidelity",quality sound reproduced upto mark better earphones price sound mid range heavy muddy eqing phone improves sound bit overall disappointment plenty better options lesser price u want colour options sound quality go,2018-09-22,3.0
7,customer_review-RM294LEGO0ILA,R3-FleX,Amazing sound isolation,build 45 jack round cable might break due wear tear overall durablity good sound 45 good base overall sound quality bonus feature amazing sound isolation difficult outside noise enter hearing,2018-01-03,4.0
8,customer_review-R2453N6L2L6ZQX,Sachin Kolte,Value for money!!,good sound quality great durability order last product sep 2018 earphones lot december went washing machine shirt found 2 days first hours sounded like robot low power within 56 hours continuous playing music worked fine like nothing happened streched many times local trains still working condition great value money,2019-05-15,5.0
9,customer_review-RNLBBY2PG5VP7,joynel c.,No brand can replace SKULLCANDY❤,love skullcandy brand love pure qaulity products premium style deliver amazing price worth price also bonus point got discount amazonin skullcandy earphones perfect meditation binaural beats listning per experience till date didnt find better brand skullcandy price replace use earphones day long satisfying experience also 6th earphones dont last 6 7 month max im still satisfied keep buying thank skullcandy beautiful deep bass rich sound experience plus sexy stylist look,2019-04-20,5.0
10,customer_review-R23XJA5TXLYBUS,Kranthi kumar,Loose connection,much disappointed headset first worked well facing loose connection problems one side headset portion working,2017-11-26,1.0
11,customer_review-R1ZHZUFOGEGHJJ,Koushik gunda,Skullcandy,average quality sound good mic,2017-07-28,4.0
12,customer_review-R1RMMDYXSR7FD9,Pritish,Most important review,amazing earphone bass 1010 clarity 910 first make sure earphone original visit warrantyintersectionin enter uic number removing plastic scratching shows original good get earphone replaced inform amazon fake products,2015-12-16,5.0
13,customer_review-R1CKSRF4OQYW7B,smeet,Overall a good product,missing 1 shirt clip holder 2 one extra ear buds diff size 3 comparatively short wire tall person 4 straight pin l shape 1 fantastic sound quality price 2 fantastic noise cancellation earbud fits correctly hardly hear outside noise mumbai local train 40 percent volume,2015-06-13,4.0
14,customer_review-RXNBY2P6W3LPX,Tushar,Very delicate and bad warranty policy,read warranty policy buy thank later bought 6 months ago sound decent price earphones lasted 5 months 5 months one speaker working month speakers failed contacted customer support warranty said send earphones service center noida cost like 200 rupees didnt get response customer care team 4 days delivery finally messaged said oh received product take 14 days replace almost month replace product update stopped responding emails didnt received product,2019-05-15,1.0
15,customer_review-R3OTDYWQ6PQY49,Pranay K,Awesome sounds quality in budget,good sound quality bass good cristal clear beatsnot hurt ears go,2018-05-03,4.0
16,customer_review-R3FLNRALT8M5FR,Aarti Parmar Rahul,Care,used 3 years good perfect working nice specially u use carefully carelessly,2018-06-16,5.0
17,customer_review-R2LJZXWHJYCT86,VIPIN KUMAR SINGH,"Bad product, stopped working in 2 months",bad product stopped working 2 months also understand repair headphone,2017-11-20,1.0
18,customer_review-R1XPB5C5UFDU6N,Amet,fake product,dont buy worked month perfectly sudden one stopped working days second one got dumb worth money fake,2017-12-27,1.0
19,customer_review-R2KQ4GGUARS41A,Akash Purandare,The perfect earphones for the price point.,earphones extremely durable longlasting nature also good volume want listen music bass good volume high also earphones dont mic sound quality compensates wanna use mobile use earphones inbuilt microphone mobile,2018-08-15,5.0
20,customer_review-R11P888E5QDUUI,Anne Mathias - Wandering Dreamcatcher,Good sound but only works for a few months,third pair skull candy works best sound bass stop working months use experience three times loved sound quality thats kept repurchasing third pair ill start buying different brands,2019-05-22,3.0
21,customer_review-R25Q2ORMA9EP1I,Shivansh,The best in its range.,best price range ive used skullcandy uproar currently using crusher wireless wanted cheap wired pair excessive use use much use crusher im hell lot satisfied loud clear sound highs arent clear good headphones wont feel difference much time breaking sound true hard bass noise isolation excellent thing missing volume control also would love got flat cable,2019-01-09,5.0
22,customer_review-R2LIX46FIA11AH,vijay kumar,best ever in this price segment,worth buying skull candy better jbl bought jbl t100a amazon though got best price 679 completely satisfied bass treble loud cant hear 2 songs continuously returned using amazon return policy bought product 499 gives price compared jblsatisfied completely say go without hesitation earphone working depends maintenance like use works perfect many daysskull candy better quality thoi highly recommend product go happy customer,2016-03-27,5.0
23,customer_review-R1J4FQVQORMJD2,Amazon Customer,Waste of money,according wastei bought november 2017 rye right one audible sometimes even left one stops workingit depends movement wireand return window close week purchase warranty cover 1 yearpls team amazon take care quality,2018-03-27,1.0
24,customer_review-R2G45XHWFJ68XC,Piyush,"Go with it if you like skullcandy products, but better options available at comparable price",verdict didnt even last full year long worked sound acceptable looked trendy pros 1 sound acceptable price 2 looks trendy 3 comes 3 different sized silicone ear gels cons 1 mic boat earphones available comparable price mic 2 dont last long cable starts cracking,2019-02-02,3.0
25,customer_review-R1FSQKPO4OKB77,Akarsh Rastogi,Sound quality is great. Easily tangles,sound quality great easily tangles flat wire shown pictures button makes worth price small earbuds skullcandy engraving stings ear even got rash also whole thing looks fragile,2018-07-10,3.0
26,customer_review-R23K3BULME0ZZF,Ud bajaj,Good sound,nice genuine product lasted 68 months wire stopped workingsound quality good quality improved,2019-03-04,3.0
27,customer_review-R3RJIZQ7X4TL3T,Suja Thomas,Best Headphones in the market below 1000,always thought philips earphones would best quality buying feels great hear quality bang buck however im bit disappointed theres microphone still amazing product hope buy instead buying boat philips headphones bang buck say,2018-12-14,5.0
28,customer_review-RAIE1S7HDRYTD,Developers@Work,Four Stars,product worked like charm bought almost 9 months usage left bud stopped working still made best seeing reviews came know replacement repairing,2018-08-16,4.0
29,customer_review-R1NC67V1JB6838,Shilpa Taneja,Awesome but repairable,sound quality amazing really heavy bass month 2 earpecies get detected easily repaired home remove black covers black cloth underneath cover remove clean cleaning dont put back put big earpieces back enjoy,2018-10-18,4.0
30,customer_review-R5ED01Z5769IN,Anirban Dutta,Waste of money,one side become mute 2 months sound quality good though value money noise cancellation good,2019-05-20,2.0
31,customer_review-R21DGOBCPEXNX0,Ranabir Ghosh,Good sound with durability issues,head phones delivers good sound proper equalization required genre music got really durability issues last maximum 6 8 months buy new one tried 8 10 different items company several times didnt last thn 8 months,2018-07-13,2.0
32,customer_review-R101YOZU022ZGV,Utkarsh Tiwari,Worth the money !! Just go for it...,awesome headphones first skullcandy performance incredibly impressive looks exactly shown pics wire round doesnt compromise looks attractive powerful bass crisp clear sound surroundbass makes feel like watching movie theatre noise cancellation impeccable fell love little monsters,2014-12-24,5.0
33,customer_review-R2HYQQXAYLY37Z,alekhya,it was a total waste of money for me,appreciate quality earphones product received worked well enough 6 months deadline return date around 56 days one speaker stopped working around 3 days later second speaker also stopped working return date personally believe product faulry earphones undergo rough usage know earphones total waste money,2017-10-22,1.0
34,customer_review-R17SF1X05VK9G2,Pawan,BASS is great (only if you use Graphic Equalizer),bass great use graphic equalizerwire round flat one available india product good except wiring little poor youve extra careful handling amazon awesome received within 24 hrs without paying extra delivery charge total price rs 477 flipkart selling rs 50050delivery charge thanks amazon,2014-12-17,4.0
35,customer_review-R3BCK2L58HEKYY,Vignesh,sounds and base are good. the wires are thin though,received different color luckily taste lime greengrey sounds base good wires thin though cant complain thank sellers review writers product made buy stuff thank guys lightning deal 399 thank amazon product worked properly 3 months later one side ear phone didnt work,2015-10-17,3.0
36,customer_review-R2LEN4BG7C3F9D,Amazon Customer,Unworthy,first go skullcandy india website find service centres around cannot register product product last even 2 months thoroughly dissatisfied,2019-10-15,1.0
37,customer_review-R1V06JKDW8AIRR,Ravi singam,Worst item i have ever seen,worst item ever seen one leg stopped working within 10 days main thing local service centers providing service items purchased online sent main service center get service done,2018-01-25,1.0
38,customer_review-R1BQW7MGNNE3TX,Aditya,"BAD OPTION, DONT GO FOR IT. (T_T)",month left side doesnt work didnt expected would go early anyways bad experiencewould like suggest buyers get sennheisser cx180 better option little like 100 rs morebut worth used 2 years stopped working becoz physical damage happened door slammed earbud else best earphones ever,2017-12-18,1.0
39,customer_review-R3LWZ770F1FODI,Sharmistha Iyer,Not a durable product,giving 2 star lasted six months otherwise negative rating looks stylish one earphone stopped working used much famous brand durability poor,2017-11-01,2.0
40,customer_review-R15FITV8F921ZA,Amazon Customer,Everysingle time one earpiece stops working.,bought pair earphones 3 times every single time one earpieces stopped working says 1 year warranty customer support provided skullcandy pathetic suggest go brand instead earphones worth money since stop working month,2016-10-31,1.0
41,customer_review-R6FYB3Y9JU52C,Rajeswari,"Complete waste of Money , stopped working 15 days - Straight to Dustbin now",got product oct 13 yesterday stopped working completely sure whether duplicate product even one month hands free gone toss bad buy never recommend buy product,2017-10-28,1.0
42,customer_review-R2UI7DYFX49TTM,krishna,Good,good product good life unlike products skullcandy one side headphone fails months product actually worked well,2019-10-21,4.0
43,customer_review-R2ESBTLN2IPW2C,Mansi Bhardwaj,Poor sound quality,poor sound quality doesnt even compare sennheiser even cheapest model sennheiser sounds way way better skullcandy crap,2018-08-23,1.0
44,customer_review-R2M3KVXEFCUMF7,Kaoushik Ramachandran,"Good Earphones - Looks Good, Sound is OK.",bought recently lime color looks pretty good bass decent know durability hope lasts overall feel good buy price point,2017-09-14,4.0
45,customer_review-R1HJ7ZH63XL8Y3,Uttam Sarkar,Four Stars,satisfied price quality,2017-11-27,4.0
46,customer_review-R35GWX98OJ7YR4,Dwireph,How can I claim for warranty period repair?,earphones best nominal price soft noise proof sound output enjoyed lot using product get defected one side earphone stopped working giving output earphones still warranty period claim get repaired replacement device please help online,2018-08-15,4.0
47,customer_review-R2CJIP4CU9WCYQ,sample Vs delivered,Good Quality output,looks original mic volume control pauseplay buttonthe quality sound output awesome would given 5 wires looksfeel pretty cheap good quality better price,2018-01-14,4.0
48,customer_review-R1AIIB19L4RZ1W,Deepak joshi,Superb Bass and clear sound,great quality ear phones quality bass crystal clear music good product range price,2019-09-02,5.0
49,customer_review-R2DY5ZL5MH3CR2,Amazon Customer,service after sale to be provided for atleast 3 months.,product working good first 10 days slowly slowly sound either ear bud getting distorted finally one week sound permanently disappeared one budplease look type faultthank disappointed purchase branded thing quality per name popularity,2018-08-27,1.0
50,customer_review-R36YYDW4E9Y1WM,Raghu Yadav,Good product from skull candy,skull candy ear piece good sound quality noise cancelling bass quality good one year warranty given one dislike thing color good overall design comfortable wear ear price high ok go,2019-07-29,5.0
51,customer_review-R1AMCGXRZER88W,Prashant,worst products of all time,ordered skull candy earphones deliverd 8 days late surprise opened box different ordered noise quality also sucks left side earphone minimal voice quality disappointing experience,2016-06-06,1.0
