,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3G0W9JH7RPRS6,Karan Nagwekar,"IF IT FAILS, YOU'RE SCREWED. EVEN IF YOU DO HAVE WARRANTY",drive failed today 5 months bought 3 years warranty completely zero physical damage anything really decided fail let tell horror story follows go avail warranty wds site youll realize say anywhere repair cant replace thats understandable sure long recover data give new drive right guess dont want recover data pay moreover cheek first make fill form approve youre data recovery directly voids warranty somehow scrounge another completely empty drive backup failed drives data whatever third party go recover data pay service pocket start rma process ship bloody failed drive bangalore pay shipping wait send replacement drive theyll probably take sweet time used really trust brand pathetic ill think 10 times buy wd western digital drive fails save burden kill instead,2018-12-27,1.0
1,customer_review-R1O6WNX3WO8CP6,Karan Mohadkar,Don't forget to perform Extended SMART test,refer cons important thing perform hdd soon receive though test would take 1112 hours sure data safe update emptybrandnew hdd data take 4 hours test complete 1 hour per 1tb hdd completely fulldata would take 1112 hours complete test would suggest run test filling completely also dont move hdd running dropping height damage head could hit platter leading physical bad sectors data loss minor safety measures pros 1 transfer rates 115 mbs reads 90110 mbs write speeds also readswrites depends data hdd fragmented defragmented 2 looks good outside 3 capacity 363 tb usable 4 cheapest option india want store large amount data low pricedont want internal drivesnas drives access anytime factors would prefer nasinternals power outages dont power backupassuming laptop want save 23k inryou buy number 5 3 years warranty date purchase make sure head wd website register product cons wanted give passport hdd 2 star cannot let personal experience affect drive dont know kind unfortunate experience bought two 4tb wd passports amazon span 2 months took 1 month 26 days fill 4tb realized one hdd bad sectors lost 64gb data due creating rma wd website thought lets run smart extended test another healthy passport hdd suprised 2nd hdd bad sectors well perform test checks bad sectorsphyically damaged sectors 1 download western digital data lifeguard diagnostic wd website 2 install connect passport hdd launch program 3 double clickleft click passport drive list drives 4 menu popsup click extended test another popup appear click ok make sure program using passport hdd 5 let run would take 1112 hours complete finds many bad sectors program abort error different error google data lifeguard diagnostics error code list find kind error getting 6 aborts know need return drive need get replaced warranty,2018-02-01,4.0
2,customer_review-R8SQTFCWQTU5Z,Sourav Ghosh,Highly Recommended!,ordered 2 tbblue rs 4500 499949910 instant sbi product eligible free 1 day delivery dankuni warehouse dumdum kolkata product compact lightweight maximum available storage 1863 gb storage manufacturers consider 1000 byte 1 kilobyte 1000 kb 1 mb etc use 1000 multiplier instead 1024 hard disk 1 partition using gpt scheme wd kept 1 mb unallocated beginning end primary partition always perform surface test smart test buying hard disk used lots tools benchmark check health hard disk 1 windows data lifeguard diagnostics 2 crystaldiskmark crystaldiskinfo 3 hd tune 4 hard disk sentinel 5 easeus partition master 6 diskcheckup gsmartcontrol average random seek time 076 ms read speed write speed depends lot factors read speed areas data 7080 mbps read speed empty areas 220250 mbps surface test took 2 hours 10 minutes hard disk empty write speed 8090 mbps temperature 4445 degree celcius heavy readwrite atmosphere 30 degree celcius please see attached images full test results wd preloaded software users hard disk wd discovery wd backup wd drive utilities offline installers outdated need updated later thus internet connection recommend downloading directly official website also download wd security need password protect hard disk wd discovery software doesnt much except helping install software thus skip one need configure wd backup enable automatic backup importexport fromto online storages also disable blinking led light enable idle sleeping etc using software register wd official website check warranty status product manual etc warranty 3 years date invoice date delivery register upthere parent organization western digital get 20 gb free online storage upthere home service discontinued march 3 2020,2018-10-22,5.0
3,customer_review-R2ZRPWDC1ZY5LF,SHIBIN,Never forget ur password,u forgot password way recover carefull passward,2018-10-08,1.0
4,customer_review-R3C37ZZ2R07GGO,Sumiter sharma,Crashed on 2nd tym usage,used twice 1st tym put data around 800 gb 2nd tym connected file system crashed format hdd lost data,2018-12-26,1.0
5,customer_review-R1PAFZK43YADFC,Kushal,Segate is better than WD as compared to data transfer rate,segate 1 tb hdd bought wd 2tb hdd today wd delivered robust bought red color quality wd much better segate think durability point view red colour look great data transfer rate seagate 18mbps wd speed 1213 mbps sort data first review wd let check days update,2018-09-10,4.0
6,customer_review-R2LG1YFST4CMUD,Amazon Customer,"Good space, good looks",good space good looks good connection quick job however sometimes get recognized gotta thing control panel add new device suddenly gets recognized,2018-03-12,3.0
7,customer_review-R3S9R6IL16HLEG,Shubham Dwivedi,Great class/coyping speed | Value for money,pros 1 best class readwrite speed 2 hinges bottom better surface grip 3 preloaded software backup encryption 4 cable quality premium cons 1 600 gb found hangs maybe specific deceives 2 supported sony led tv rest good,2018-12-24,4.0
8,customer_review-R163BH52EMMA56,Suresh V,be careful!!! stopped working with in 24 hour,copied 350 gb data 4tb hard disk next day onwards detecting laptop event logs see bad sector worst product connect device laptop next moment onwards start hanging somehow managed delete mbr 4 hours struggle ran western digital data lifeguard diagnostic windows found bad sectors,2018-10-11,1.0
9,customer_review-R3FHJT8D4ISMB8,Dhruv,Awesome! Colorful! ...and fast too!,hard drive awesome im writing review using 3 days pros 1 write speeds sometimes go 100 mbs usually ranges 25 60 mbs 2 delivered smaller thought would thanks portability 3 price box says 5830 got 3899 amazon good saving cons 1 built quality good press hand itll make squeaky noises like loosely fitted plastics things estimate definitely rough use please try drop 2 hard drive design half bottom matte finish upper half glossy finish wd logo youll soon get slight scratches glossy part touching glossy matte together irritating sometimes comparison seagate wd like everyone buying even confused seagate western digital wd go due following 3 reasons 1 reading reviews wd higher rating better reviews customers 2 wd bunch colors choose side seagate 2 colors 3 seen people use wd seagate also people using wd hdd lasting longer seagate,2018-09-16,4.0
