,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R2ANVSB29LRHH1,Amazon Customer,Not the Laptop I was expecting,although laptop delivered time beware specs displayed hdd actually 5400 rpm official hp website whereas amazon displayed 7200 rpm charged 7200 rpm getting delivered 5400 wasnt expected still struggling actual laptop paid,2018-09-24,1.0
1,customer_review-R2DC2DBOOBTQ98,Yash Gupta,Though a bit costly but absolute worth.,researched lot get laptop almost 15 days didnt want buy gigantic gaming lappys still wanna game came across beauty notebook great powerpacked specs hp back got thumbs using three days impressions build quality absolutely excellent though made plastic great finish prone fingerprints display full hd 1920 1080 panel makes worth consume media stuff loved display viewing angle okaish battery device shines normal usage giving usage time 67 hrs gaming reduced half due heavy nvidia gtx 1050 operations keyboard much tactile solid buttons brilliant backlit coloured green mouse pad average due nonseperated buttons finally great ideal deal student works recommended buy,2018-09-05,5.0
2,customer_review-R1PCIYNZL98I93,priyansh nagar,Go for it..,good laptopdisplay viweing angle good buying thisi also buy m2 ssd installing ssd install os ssd laptop like flying speed,2018-10-17,5.0
3,customer_review-R3ET4UNYHYO10Z,Salil S.,True beast.,belive laptop true beast gtx1050 gives resonable fps aaa games laptop gives best bo sound experience sometimes even loud jbl go need perfect drivers let sound fly best thing battery life gave 5 hrs autocad 6 hrs movievlc time thats comes kind boost chargin takes approx 50 mins get fully charged zero aesthetics pretty neat acid green color stands bold beatiful like cheap red laptop body another plus point clean bold small touch hp logo makes elite basic features really nice keyboard one class really touch pad one dissapoints bad buut price range features worked little bit port select normal get 3 usb 30 hdmi ethernet port hdmi headphine jack atleat given usb type cbut charger recovers thing imortant thing quality screen lover screen good according price range expect taking ps premiere pro go options bcoz screen although bad yeah artists way 60hz fps counter games cause 4max 30fps shadow tomb raiderhigh3745 csgohigh 120s cod iwhigh 55s mortal comat xmax 60 batman arkam knightmax30 far cry 5max 3550 touch 60 medium settings nfs paybackmax30 maintained legacy,2019-01-24,4.0
4,customer_review-R2WFZYKFJCPZKA,J,Serious Issue with the Laptop,specifically bought laptop 1650 gtx playing cause 3 abruptly stopped threw error attached pic restarted laptop still soon game starts giving error still resolved first thought might error specification surprise recommended specifications game way less laptop config worst service ever going take replacement check doesnt work return product specifications game playingjust cause 3 operating system vista sp2 windows 71 sp1 windows 81 64bit operating system required cpuprocessor intel core i73770 34 ghz amd fx8350 40 ghz rammemory 8 gb ram gpugraphics nvidia geforce gtx 780 3gb amd r9 290 4gb storage 54 gb available space,2019-06-23,1.0
5,customer_review-R2T96BNSHKH9NN,Mohit Vaghela,worst service from HP,got new laptop damagedfaulty keyboard contacted hp service worst hp didnt contact issue even 6 months complaint,2018-12-11,1.0
6,customer_review-RF1WYYT7JZD71,Mihir Phatak,Abysmal service by Amazon,operating laptop week started getting battery charging issues hardware issue visible technical troubleshooting ticket closed due battery issues hdd crashed eventually force amazon make replacement request happen time told complaint would stay open till issue resolved issue started replacement model amazon told replacement window well lapsed cant give refund impression complaint window closed soon got refund thing told spent 64000 laptop still go service center even though amazon sold bad products times well within rights request refund laptop,2019-05-19,1.0
7,customer_review-R12L13J2RBX92H,Vaibhao,Item is defective please take return or replace order,im complaining defective piece issue since 1st day delivery action taken yet havent seen return replace order product amazon app charger product stops charging everytime 15 minutes automatically plug socket power done troubleshoot action told support team updated drivers please understand problem place return order product early possible lot work pending issue,,1.0
8,customer_review-R2SE38KRGAMM80,Yash Sharma,No Ips panel. Wrong description,worst display ever wrong info site laptop ips panel color contrast evn worse 7k redmi phone pathetic,2019-05-06,1.0
9,customer_review-R1PNAT3YZNJG7U,Jaidev,Amazing buy from Amazon,spec says fast powerful bliss work mesmarizing way handles challenges throw towards thing personally feel could improved battery back couple hours would better got 5 hours back normal usage would 7 would perfect 16 gb ram coz 40 percent ram already occupied start run anything like eclipse multiple instances chrome time memory usage jumps 60 65 percent guess current world live laptop needs 16gb ram 1tb ssd cope future requirements great buy p would even better wireless mouse laptop bag p ferrari thats much ask,2019-07-01,5.0
