,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3D7HFJV89FB2J,Anil kumar sharma,Superb ...😘,febulas performance redmi note 8 love first time parchase online amazon give full satisfaction product thanks amazon,2019-11-06,5.0
1,customer_review-R5OQFMKJI6VLJ,Mahendrab,moonlight is love,best mobile 10000,2019-11-10,5.0
2,customer_review-R3371M7Y15ML69,Arijit Mandal,SEXY BLUE NOTE 8,best phone 10k 15k camera awesome feel like u use 20k phone phone looks cool,2019-11-06,5.0
3,customer_review-R2Y8CUFNMJJ2M1,Sadhna agrawal,Amazing phone,pros battery camera price look cons delicate handled carefully took 10 days product reach,2019-11-06,5.0
4,customer_review-RLYXS3962Z4P2,Shah Arsalan,18w fast charger is best inside the box.,redmi note 8 best smartphone 10k year 2019,2019-11-06,5.0
5,customer_review-R2Y9GIPBEVOE98,Amazon Customer,Excellent phone under 10K,excellent phone 10000 specialy 18 watt fast chargers budget 10k u must buy without doubt,2019-11-06,5.0
6,customer_review-R35YI0D2OHRC2J,Tabish Momin,Nice product,awesome mobile 10k,2019-11-06,5.0
7,customer_review-RBUC4PXCUBUV,Ashraf,Disappointing,phone hanged many times return replacement get back yetamazon shipping replacement service bad uploaded video,2019-11-08,1.0
8,customer_review-RPFUZMFFAXRA9,Rao,Excellent,excellent phone price point,2019-12-01,5.0
9,customer_review-ROA6JQNOHYRJ7,R.T,Worth the price....A must buy for everyone with budget of around 10k-13k,loving phonepurchased bank discount6gb 128gb blue varianti must sayit looks super awesome gorilla glass protection front backit makes even better would like inform one thing 60fps video recording even mentioned official websiteand also fingerprint gesture featureit may come miui 11 going come within next 10 days phase 2 devices camera really coolgetting decent clicksjust install google camera quality much much better battery backup quite good welljust turn dual 4gdont use volte necessaryturn auto start apps u feel requiredkeep miui battery saver turned better backupkeep gps neededjust small adjustments battery surely last longer performance also great considering chipset gettinginfact u also get 4g even redmi note 7 pro would never come alsoso internet speedcall qualitysignal strengtheverything impressive must sayin price rangethis phone totally deserves praises alli hope tried cover points helped people look phone good option themall best,2019-11-06,5.0
10,customer_review-R26JYL8XLH98F9,VaLLaRaSu V,Wow,nice product indias one brand,2019-11-08,5.0
11,customer_review-R2I1IR4FWJ7IXO,vikash kumar bharti,This product is very very good,product good good quality thank amazon thank much use device 6 day smuthly fast fast charge charging time 1 hour 45,2019-11-06,5.0
12,customer_review-R304XFNWGKAWR7,Arjun,Perfect gadget partner,purchased redmi store performance awesomesuper clarity display good battery backup super loud speaker thunder voice etc u buy without thinking,2019-11-06,5.0
13,customer_review-R2PDPXKFH6QZP1,Anand,Best in budget,king budget phones 3 star annoying adds hell xiaomi thinking didnt given free paid device amazon delivery 55 time camera 45 wide angle good display 55 network 45 charging 355 taking aprox 202 min 3 min mobile data gorilla glass5 35 already got scratch even taking care finger print 45 fast phones face unlock 35 realme u1 double faster ir blaster works great,2019-11-08,3.0
14,customer_review-R7BJXO48H8MRY,Sunil Kumar,Highly recommended for people who doesn't want confusion on buying this price range...,consumers looking decent midrange smartphone today redmi note 8 solid pick ads disable settings though disabling one one worth chipset average since play graphic demand games well day day work dang good transition apps slouch compared level smartphones display looks crispy speakers powerful last highly customisable system brings great experience hard users cameras stock app straight garbage except macro mode install google camera youre good go details flagship like battery good well gaming good experience bad smooth high preferences ultra price bang buck segment highly recommended people doesnt want confusion buying price range,2019-11-19,5.0
15,customer_review-RMX4MLMTMQBGS,Naeem Abbas,A Perfect All Rounder.,took around 9 days get product delivered great phone battery backup awesome fast charger provided box front camera isnt great still good rear camera takes good pictures fingerprint also fast little bit slow compared realme 3 pro still fingerprint fast enough also glass back awesome overall good phone got 8999 also got rs 100 amazon cashback killer deal even 9999 go,2019-11-06,5.0
16,customer_review-R1H9K2WABQ8KMQ,C.Suresh,Magnificent and better than best.,may miss like worthy mobile 13k dont buy awesome product hurry purchase,2019-11-10,5.0
17,customer_review-R2TZCWIKK5N741,Aman Singh,⚠️ Don't buy! Good on paper but too bad in performance ⚠️,redmi prominent smartphone brand given quality product pocketfriendly price range lot expectation xiaomi used almost 4 smartphone last 2 years truely disappointed note 8 wont use complex word would like make review simple point negative things redmi note 8 1 battery drains fast youre using wifi low signal area course gaming like pubg cod needs recharge 68 hours 18w fast charging help charge quickly doesnt solve entire problem 2 cant disable preinstalled apps lots annoying ads cant give phone someone new android smartphone eg parents unnecessary ads need careful handle 4 flashlight poor note 5 pro a3 note 8 pro better flash 5 unnecessarily forces use location apps annoying mi much interested location 6 quad camera works fine zoom doesnt make much difference good normal use justify price segment 7 everyone tries make ui design simple operate xiaomi miui disgusting difficult operate 8 apps crash hope consider upcoming updates 9 heating issue charging phone using even 30 minutes overall nice phone average use youre amazed socalled features think survive highend requirement aware,2019-12-09,2.0
18,customer_review-RAUVT8560FRZ5,Shadab Mithagari,Nice budgeted Phone. Good for daily use,nice budgeted phone points per opinion 5 1 battery backup 55 2 camera 455 micro lense use 3 display 55 4 sound quality 55 5 fingerprint unlock 35 small size fingerprint unlock 6 face unlock 45 little slow 7 performance 55 8 looks 55 premium look 9 weight 45 feel heavy 10 gaming performance 45 5,2019-11-07,4.0
19,customer_review-R1FPF00XC1YY3J,mukesh prasad kar,Best,best smartphone 10k,2019-11-06,5.0
20,customer_review-R1UA9UG7025J2K,Nikita,Not good,camera good bad performance battery charging slow dont like product,2019-12-01,1.0
21,customer_review-R3M4F6MWEKGLMV,anurag,Good not much better,good much better expected heating problem facing fingerprint also work properly sometimes battery also draine fast fast charge charge fast u buy go realme mobiles,2019-11-06,4.0
22,customer_review-RBZL6XF2FYEHK,Jitender kumar,Not a grip phone,heavy wait phone,2019-11-10,4.0
23,customer_review-RZI2J9Y8FT54R,Ashish Shinde,Best Smartphone In This Price,best smartphone price,2019-11-15,5.0
24,customer_review-R90E2NI6BHLW0,Bhavesh assudani,Best phone ever #redmi #mi,far cameras concerned redmi note 8 rumoured pack 64megapixel camera expected sport camera front selfies sensors rumoured accelerometer ambient light sensor compass magnetometer proximity sensorand fingerprint sensor redmi note 8 supports face unlock trend well per expected prise ratio features incredibly awesome android 9 pie face unlock quick charge 4 25mp front facing cam redmi mi,2019-11-06,5.0
25,customer_review-RCAGINUG2AX9A,Amazon Customer,Bad phone,bad camera quality phone hang first day smooth operate,2019-11-06,3.0
26,customer_review-R3UZ2EM5I04OAO,Amazon Customer,Nice,purple good,2019-11-30,5.0
27,customer_review-R3HNRDHTN338X3,Krishna trivedi,Good product,good product camera quality extremely good,2019-11-09,5.0
28,customer_review-R3OONXH72ACGU,Saurabh sharma,Awesome Phone Must be Purchased.,pros 1 super premium design 2 glass 5 back front thats phone looking dashing 3403 ppi density make display good 4fast finger unlock well face unlock 5battery back also awesome 2 days normal using 6fast processor makes phone great navigating 7no words camera take profession picture powered macro lens 8 purchased phone without confusion headache cons cons negative comment phone price range comment provide using galaxy note 8 samsung m30s nokia 61 plus,2019-11-08,5.0
29,customer_review-R2W5N47ET4DPBS,Arvind C Pachegaonkar,"Worst build quality, Don't buy!!!!!!",purchased redmi note 8 25th october within 8 days dust particle accumulated camera lens dont buy,2019-11-12,1.0
30,customer_review-R27M6OT3V7H1BT,Lovejeet singh,Redmi note 8 Review By Lovejeet Singh,purchased redmi note 8 first sale 21st october happy performance build quality really great redmi gave 18w fast charger box happy price key specs processor snapdragon 6654000 mah baterry with18w fast chargingquad cameras 8482213mp selfie cmaera639 inch fhd displayfingerprint sensor face unlock giving picture sample taken redmi note8 u want good phone price 10k take redmi note 8 please like review,2019-11-08,5.0
31,customer_review-R38CRGYBZSSIAA,Abhishek k.,Wifi,u wifi user pls dont buy phone received replacement problem finally returned phone phone wifi issues may everyone didnt notice wifi connectivity time stay full time wifi pls check longer stay connected wifi case 2 3 hr wifi shows unavailable restart phone,2019-11-11,1.0
