,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R12DJ8OA54TW02,Amit Dave,Read my review and choose then,dont fall negative reviews best price people following red mi phones bigger advantage write advantages cons feedback advantage amoled display always display compromised 5000 mah battery runs 2 days fast charging 15w charger box wide angle camera awsum heating lagging face unlock fast mainly look stunning low radiation blue light filter lock screen story stunning pics cons little slippery hand trust 99 rs cover solved straight away online availabilitynow stock splash proof per reviews going test anyway feedback feedback people say camera find good people say speaker one bottom loud clear enough people compare mi forget china model lcd display 09 sar value m30 sar 043 using 1 week well amazing working telcos lost calls phone still 30 batt second day add played game 30 min watched online movie 3 hrs jio cinema along hectic job schedule,2019-03-14,5.0
1,customer_review-R1RM2ODOVM4L9,DINESH,Average product.,last months using mobile performance wise bad download file cant find saveddisplay ok full hdaudio low speed cant play online games slow earphone available camgood totally average product use calls watching movies phone contains fiber body handle carefully,2019-03-11,3.0
2,customer_review-R1R6BTQAAEZVHG,Ritvik Rai,Best battery. Beautiful Specs and Display. Love the phone.,picked amazing phone samsung m30 im happy make right decision talking phone comes great battery life strem favourite songs play games without worrying may go camera good captures great pics doesnt let friends take phone go clicking selfies already 400 plus photos gallery storage capacity worry either thanks 128gb varient display really good everything bright nice heavy gaming performance great im loving,2019-03-11,5.0
3,customer_review-R290UA43FZXTVD,Jitendra,NO EARPHONES,earphone box mobile cover samsung m30 samsung provide earphones 2k mobiles missing want return samsung m30 revert possible,2019-03-11,2.0
4,customer_review-R2HVBAKC6GKK4W,devraj,mobile is ok but one serious problem is running,phone fantastic one problem work google play cant install update apps google play install samsung galaxy app,2019-03-22,2.0
5,customer_review-R1KT5FZAWHSGIA,Aman Darji,Review about the beast!! The Samsung Galaxy M30,samsungs new launched m30 smart phone cool infinity u amoled fhd display looking nice 13 mp ultra wide dual camera triple camera setup capture clearly cool one best photography great selfies one best part battery lasts long since massive 5000 mah battery also 3x fast charge storage also important factor 4gb ram 64gb internal memory expandable 512gb means sufficient space downlod videos movies songs data next dual sim slots dedicated slot memory card samsung m30 exynos 7904 processor 18 ghz octa core processor 4gb ram multitask gaming videos etc,2019-03-14,5.0
6,customer_review-R3NTD2S6RNSX8O,Aidan Dsilva,Awesome Buy,good screen clarity looks neat appealing camera good low light photography excellent fingerprint sensor fast good speed helps switch apps smoothly gaming phone awesome doesnt lag playing games like pubg nfs 5000mah battery helps almost never run charge charger included phone charges phone matter minutes amoled display helps see clearer images lets watch movies high definitionthe dolby digital feature helps listen music high quality sound beautiful infinity v cut display phone looks better anyone love,2019-03-11,5.0
7,customer_review-RAQ741B4BY9QP,Kiran B,Average phone... Not so cool... ok ok kind of,liked battery backup 3days wide camera feature simple ui 3 slots simmmc disliked slippery pie update single speaker bottom,2019-03-11,4.0
8,customer_review-R30MJ2RH7PJF3G,Bittu,An Amazing Device - True Value For Money ! 👌,lucky enough get amazing device first sale 7th march desirable variant delivery also fast thanks amazon phone definitely true value money offers great specs along great features attractive price tag let organise views amazing phone follows looks mobile definitely eyecatcher due premium finish slim body bezel less screen double shaded back panel got gradation blue variant volume power buttons placed rightly easy access camera 16 mp 3 mp 3mp triple camera captures amazing shots 7 different modes choose best one according scene clicked theres button wide angle instantly widens scene captured attached shots ceiling without wide angle mode besides stickers beauty modes work superb get attractive selfie display 64 inch super amoled display brilliant small u shaped notch adds attraction infinity display touch interface super smooth brightness level efficient dont need set full brightness outside even afternoon multi tasking huge 6gb ram 128gb storage easy perform many tasks want without lag phone performs flawlessly without lag heating activate pop window setting make multi tasking lot easy interesting battery battery sure huge one ie5000mah didnt feel sufficient enough last 24 hours even maybe due network issues maybe watch charge cycles though fast charging 15 watt charger type c port indeed capable charging phone really fast extras besides stated would like add bullet points face recognition works great theres lighting animation around front camera tries identity face looks nice fingerprint sensor quick responsive activate setting scroll notification tray sliding finger fingerprint sensor audio quality speaker earpiece good though felt bit low recorded voice star maker app dedicated slots 2 sims 1 memory card packed needed sensors found option assigning sim specific contact back panel plastic kind finger print magnet disturb function doesnt mute phone completely though says instead click speaker icon mute notification tray gorilla glass protection display water resistant doesnt always display slow motion video recording feature runs android 81 dont know get pie update overall feel amazing phone price satisfied overall performance completely justifies price would strongly recommend device everyone looking superb mobile moderate budget go thank later,2019-03-15,5.0
9,customer_review-R2T0HL2ZFIZTQZ,Durga prasad,Not working properly,charging getting done switch mobile within 1 minute charging getting 0 switch switch showing 70 getting switch getting charging mobile,,1.0
