,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R32RONOIG02SMK,Ashutosh Mani,Best phone in this range,ive big fan miui since switched first android phone ios mi phones disappointed later time must say mi a3 phone really great deal amazongreat indian festival got 10 discount great let share review using phone pros 1 amoled display samsung a20 first phone give amoled display range screen replacement cost 6k 2 qualcomm 610 performance really upto expectations 3 inscreen fingerprint sensor 4 8mp ultra wide angle camera 48mp primary big aperture f179 32mp secondary camera 5 ufs 21 ufs used high end smartphones like samsung galaxy s8 oneplus replacement emmc memory 6 splashproof 7 slow motion recording shoots better oneplus 6 indor experienced shoots 720p rate 240fps120fps 1080p rate 120fps 8 4030mah battery gives week contentious music playback 187hrs standby time 20 days 9 supports quickcharge 30 gives ridiculously fast charging four stars xx cons 1 quickcharge 30 supports 18watt charger box get 10w charger default 2 fingerprint sensor relatively slower phones feature tillthe time 3 nfc thing future digital accesories support going basic feature later 4 screen brightness little low compared phones brightness full manually 5 608 inches display seems small youve accustomed using 63 display almost phones days screen resolution ppi also average 6 phones boast name dual camera main camera supported 2mp camera mi series phones different mi a1 12mp12mp mi a2 12mp 20mp mi a3 48mp 2mp along one ultra wide angle camera 8mp aperture f22 7 earlier model mi a2 larger aperture primary cameras f175 final verdict phone use months issues till time photes edited post click give best look theres phone stands even walks near present spend little bucks redmi note 8 pro best option get larger megapixels battery display plus alexa box get mi a3 power adapter usb cable warranty card user guide sim tray ejection tool back cover make decision product reading review hit helpful find helpful keep motivated writing detailed reviews products buy forget follow getting access great deals favorite products amazon storefront,2019-11-17,4.0
1,customer_review-R11IXMRPPFA520,Harmish Waghela,A safe bet!,mi a3 doesnt look like predecessors thats good thing bit stretch access notification panel using phone onehanded great size even though getting amoled panel 720p resolution good enough device segment camera bump back sensor protruding slightly body leads wobble using device flat surface tends get annoying indisplay fingerprint reader slow unreliable worth effort consider lowresolution screen large battery modern soc difficult see mi a3 offers good battery life easily got full day usage phone using mostly browsing social media watching youtube videos mi a3 fantastic job daylight conditions excellent contrast levels wide dynamic range accurate colors wideangle lens doesnt good job resultant images decent enough sharing social media platforms photos taken lowlight conditions arent detailed enough theres lot noise using dedicated night mode fixes issue extent camera overall pretty decent considering much mi a3 costs best part mi a3 undoubtedly software like every android one device mi a3 clean user interface bloat ware positives android one goodness premium design decent camera fantastic battery life 35mm jack back negatives indisplay fingerprint sensor terrible lowresolution display mi a3 decent showing youre looking budget android one device plenty phones market around price point come features added latest photos clicked 15 days use mi a3,2019-08-26,4.0
2,customer_review-R3C2WIB3WYL6DJ,kedar,Awsome....above all,one best phone mii using mi a1 since 2 years far ahead one drawback hd display thanks amoled screen covers gap thanks xiaomi thanks amazon one day delivery,2019-08-28,5.0
3,customer_review-R1WDCMIBW4M06B,User lost in space,Average product,less internal features app space occupied upto 22gb,2019-08-26,3.0
4,customer_review-R3Q7U48P3LO1F3,Soubhagyasahoo,Disgusting mobile pls don't buy,would like request buyer buy mobile worst mobile world display pixel like sand grains size advertising super amoled think tft lcd panel photos awful display able display photos dont want talk finger print scanner awful never seen display even keypad mobile humble request buyer please dont buy mobile dont mad flash sale mi always make fool,2019-08-26,1.0
5,customer_review-R1DPCMBZBQUP3E,Jitendra,Good phone,review days usage pros 1 processor ram rom options nice 2 front camera excellent 3 pretty compact comes handy 4 gorilla glass front back 5 android one best option comes minimum changes original android 6 nice color options white lovely 7 adding 35mm jack available mi a2 8 ir blaster handy option controll many devices home cons 1 display 720p good previous mi a2 2 camera quality upto mark mean 48mp camera one would expect stunning performance lacking decent 3 low light photography options 4 onscreen finger print laggy face unlock fast,2019-08-28,4.0
6,customer_review-R2Q843VRH4N14L,Amazon Customer,Poor Dispaly..,poor display even though xiaomi claiming amoled concerned display buy,2019-08-27,1.0
7,customer_review-R1E9F9ANBJEZH3,vekariya sagar m.,Feature Missing,26th august received mi a3 used one day feel feature missing call recording guys need feature go redmi note 7 pro google never full fell demanded,2019-08-26,2.0
8,customer_review-RDK1AMC2TVDYP,Sougata Mondal,Camera quality,really good,2019-08-26,5.0
9,customer_review-RWIXY0FBZ5H8C,Satya,Straight Review,nice mobile cons nice camera good build quality budget widevine l1 working watching prime videos display fingerprint working night mode,2019-08-26,4.0
10,customer_review-R3CVZQY151OWIE,Akhil Kumar,Lengthy review. Do read before buying,waited long time buy phone didnt dissapoint though pros handy use hand curved back supports one handed usage rectangular shaping comes pure stock android lighter faster easy use captures pictures like pro youll never upset super amoled display punchy colors user experience cons hd display everyone say colors good battery life could even better fixed update nothing verdict specs everything matters go realme 5 pro vivo z1 pro mind isnt important casual user super amoled screen really goodhd screen isnt bothering one see pixelelated screen text redmi user bought satisfy price performance ratio every redmi mobile launching market theyll slow releasing android updates impulsing ads even shut android updates completely quickly compromised bit user experience taught specs isnt thing consider,2019-08-27,4.0
