,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R34CR90W5F1MR7,Amazon Customer,Treat to the eye,detailed review design 45 reduced notch premium glass back camera bump performance 55 latest greatest hardware smart optimisations os 455 smooth android experience oxygen os display 455 butter smooth 90 hz amoled display treat eye battery 355 fastest charging ever seen less capacity camera 45 overall good output 3 cameras amazing macro mode misses details messes colors sometimes audio 45 clear loud quality output,2019-10-05,4.0
1,customer_review-R3LLWXXD1Z1H2V,Praggya,Think and evaluate before you go for it,reading lot geeky reviews youtube portals bought oneplus7t pls note using oneplus last many years expectations clear experience device says reviews unboxing things influenced pls note bought money unlike leading reviewers unboxing video geeks get free pls dont go blindly go users reviews bought money writing 5 days experience phone gamer geek regular user wants office work phone social media blogging vlogging etc last oneplus phone using oneplus 5 quite happy screen got broken replacement cost higher selling price device day arrived amazon opened lot excitement continued till held hands issues 1 weight weighed much felt like holding brick thick hold one hand minutes get deep red pit hand due blood circulation 2 camera go conference tried clicking pictures picture quality come well still thought may light background previous experiences could believe good continued clicking pictures really missed detailing zoom make blurred clicked magazine cover picture oneplus 5 16 mp camera pic quality natural good clicks blur pics may image stabilization 3 battery battery avg time teased iphone samsung series colleagues friends battery life welcome league offers avg battery life never carried charger previous models start 90 even two years carry even average usage wondering would phone battery life year 4 90 hz refresh rate gimmick sell device give fluid experience soon consumes battery always prefer keep 60hz option given display settings always stick desk power source around keep 90hz people move time dont fall 5 sound average phone calls crisp clear times callers voice gets hazy husky voice even audible person person sitting next even lower volumes speakers volume loud sound quality good 6 premiumfeeling anymore multiple variants joined league samsung mi oppo vivo launching 7t pro oct 10 disappointment bought 7t day 1 maybe rd trials problem every two months launching new device update previous faults like oneplus 7 voice receiver one side right take calls hear phone left wont get clear voice volume added receivers side device still getting spent rs 40000 camera quality battery life sound quality calls getting wounds holding long always recommended oneplus devices everyone around high hopes trust brand bought day launch experience wont recommend oneplus 7t colleagues friends planning upgrade devices,2019-10-06,3.0
2,customer_review-RHCUTQ5LT7BTQ,Kshitij Kumar,Best experience,awesome experiencebest class camera oxygen oslove,2019-10-03,5.0
3,customer_review-R2MQI0AWQ2NSJD,Rajesh Adhikary,"Pro Camera, performance, looks. Cons Battery drain and heating up issues",phone great performance good camera ambiance charging fast per oneplus standards set earlier phones concerning heating issue crops battery drains quickly keep 60hz longer life anyone else feeling heating issues,2019-10-02,4.0
4,customer_review-RJ1XR61YJSJ7S,manikanta,"One Plus 7T - One Word, STUNNING!!",received one plus 7t 2 days back describe experience 2 days firstly kudos amazon quick delivery excellent packaging coming mobile first impression amazing smooth fast cant come amoeld display stunning camera amazing battery backup also good took 40 min charge 2 100 pros camera 485 battery 55 display 475 performance 485 speed 55 gaming experience 485 cons headset jack one plus didnt even provide 35mm type c converter either dissapointed camera design could made better feel better compared apple 11 pro overall 475 one plus proves best mobile right go,2019-10-02,5.0
5,customer_review-R153FC90S47UXI,Yugal View Extra,Super fast phone with super amazing camera,8 gb ram 128 gb storage super amazing phone super fast like bullet train obviously never hang camera quality better oneplus 7 triple camera design phone also amazing turbo charging 3800 mah battery good,2019-10-09,5.0
6,customer_review-R17K6S07CB91YF,Avengers,Good phone,one plus user oneplus one oneplus 3t oneplus 7t dont like android phones due ui love stock android camara awesome facing problem notifications dont know top expecting great battery average moved 3t 7t buy wireless headphones worried bluetooth connection also goodstable,2019-10-02,5.0
7,customer_review-R2BS3S6JZM1RDB,Dheeraj Malhotra,No earphone jack,earphone jack,2019-10-02,4.0
8,customer_review-R3DQBNQVSSRG71,Piyush Vaibhav,I think an all rounder!,among first buy phone prime membership posting review week using phone cant compare flagships first one range loved 90hz display fingerprint reader also quite good lagging issue till battery backup good excellent higher frame rate man charging speed much wonderful totally amazed first camera quality good colour sensing needs improvements bit warm natural see photos providedone without adjustment one warmth reduced bit speakers loud produce decent sound havent checked selfie camera video recording till,2019-10-05,5.0
9,customer_review-R1NQK0GGJ9IT2Z,Vicky Sen,Please improve your build quality other wise india will fire you 😠,first one7t make sad received ph manufacturing defect display gum came edges display consumer aspects reputed brand paying 40000,2019-10-03,1.0
10,customer_review-R34CR90W5F1MR7,Amazon Customer,Treat to the eye,detailed review design 45 reduced notch premium glass back camera bump performance 55 latest greatest hardware smart optimisations os 455 smooth android experience oxygen os display 455 butter smooth 90 hz amoled display treat eye battery 355 fastest charging ever seen less capacity camera 45 overall good output 3 cameras amazing macro mode misses details messes colors sometimes audio 45 clear loud quality output,2019-10-05,4.0
