,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3RNVI0L5WS9SW,Ankit,amazing device,camera battery quality grip purchased device sale get 1000 cashback amazon orded today 12 pm get device day 2 pm thankyou amazon,2019-09-28,5.0
1,customer_review-R2ODSC151PF3AU,Azim,Monstorous,delivered within 24 hours looks awesome battery 49 switched onand 2 hours continuous use 42 camera awesome sound loud display amazing mine opal black one,2019-09-29,5.0
2,customer_review-R3GRTSPAINVZAF,J_akshay,Budget phone with some cons,pros 1looks stunning high end category 2battery also powerful 3 fast charging cons 1camera upto mark says 48mp like 8 mp 2 storage memory statistics confusing showing 900 mb free though accessing much resources 3 earphone slot given side makes difficult handle phone,2019-09-29,3.0
3,customer_review-R1S9FOCOPR3SJH,Phone Guru,Poor Quality Phone with huge publicity,phone getting heat phone rear camera quality poor speaker also good compare price phone body good,2019-09-29,1.0
4,customer_review-R25HV0XBWGE592,Karthik,Bestest mobile,bestest phone good battery life amazing camera fast processing,2019-09-28,5.0
5,customer_review-R3TUYS5O2DWM4G,PrimeCustomer,Awesome,5 days uses camera 55 performances 55 display 55 battery 55 phone look 55 user interface 55 sound 55 awesome phone,2019-10-02,5.0
6,customer_review-R1F4R2KGBT7YKB,ASHISH RANJAN,New samsung galaxy M30s,adding video unboxing mobile amazon selling mobile great indian sale best part mobile ar able get cheaper mobile configuration one thing dont like mobile little heavier samsung mobile also size little big user friendly,2019-09-30,4.0
7,customer_review-R3IRGPJX47PUW2,Amazon Customer,Camera quality is not good,45 mp camera upto mark looks like 16 mp focuselse phone ok,2019-09-28,3.0
8,customer_review-R3TTEAEK186I74,Anurag Tiwari,Battery Drain Issue and super Slow Charging,got delivered 29 september 2019 945am looks awesome great camera update soon thorough use 5 star best delivery service amazon india update battery good draining even youre using phone charging also slow worth price segment realme 5pro far better,2019-09-29,3.0
9,customer_review-R3GDFLPH8ELCDU,Vammy,Worst product ever.,camera quality disgusting doesnt fit description 48mp even apps running getting 28gb usable ram asking phone replacement defective piece associates deny stating dont proof product defective prime member since long time treat old customers,2019-09-30,2.0
10,customer_review-R1GYZXT8FF8YZY,pavan,the most awesome mobile in the price range,nice product phone bulky even contain 600 mah massive battery main plus point price point second advantage processor samsung used advanced processor price range handle multiple complex situations except heavy games,2019-09-29,5.0
11,customer_review-R36E7QFWLHX6WM,Anuj,i am loving it,fast delivery amazonexcellent phonevalue money price,2019-09-28,5.0
12,customer_review-R30IR26857BW4Q,Amazon Customer,Samsung M30s excellent mobile in recent times... Game changer.,excellent features con enjoying way flagship mobile features low budget price go,2019-10-03,5.0
13,customer_review-R2QRZRW0TCZP8J,nishant,Jst 1 word ..Disappointed!!,disappointedpathetic camera focus wifi connectivity range also sucks however display battery life good,2019-10-02,1.0
14,customer_review-R3F8BFOQDUT14T,Manikanta,Don't expect much on this product.,built quality poor front camera worst back camera doesnt look like 48megapixel product received back panel issue dont buy pearl white,2019-09-30,1.0
15,customer_review-R1GKYKW2WXZCJC,Akhil Pratap Singh,"False Promises, A simple piece of stone age phone... DETAILED REVIEW",bought camera 4885 paper picture quality 5 mp even 2500 phone clicks better thisfront camera super pathetic 2mp dont buy item guys go options worst choice wastage money pros one pro ie 6000 mah battery battery backup throw away hard earn 14000 rupees cons 1 camera quality big draw back 14k get redmi note 7pro realme xxt better camera quality 2 panel low quality plastic giving crackling sound annoying worrisome 3 super amoled screen myth brightness adjustment hence battery consumption 4 one ui pathetic old people house 5 promises made samsung mark acceptable brand like samsung 6 type build quality camera display price 8999 maximum highly disappointed please dont buy phone otherwise regret later writing review using week,2019-09-29,1.0
16,customer_review-R2MTK3CHHQ82EV,Nirmala,A good come back by Samsung battery should be improved,battery drains quickly,2019-10-07,4.0
17,customer_review-R20VYWIZ8FLIL5,gautam,Camera is not good,camera quality completely different shown amazon 48mp camera clicks picture clicked 8mp camera,2019-10-02,1.0
18,customer_review-R39RV3KWX2DLO0,Gurvirender singh,Network issue,initially happy get good hardware price soon inserted sim problem initiates poor network reception however time mobiles network showed 50 percent better reception amazon refusing consider issue far display concerned one best display available market rear camera superb bit disappointment selfie camera battery life good overall afford compromise network area network problem go mobile worth price,2019-09-29,3.0
19,customer_review-R1G3GC7S94KC90,Shashank Shekhar,The “M” gets better,awesome phone price paid got delivered within hours placing order m30s pretty interesting triple camera set back selfie shooter decent main focus always 6000 mah battery hopefully last 2 days got 10 discount sbi credit card addition received rs 1000 cashback amazon pay hence would cost somewhere around 12k pretty surprising much impressed samsung ps testing camera battery life stuff able update section shortly way super amoled screen gorgeous update battery life really amazing phone even playing heavy games long watching videos heavy usage battery lasts 2 days phone get heated little bit playing games like pubg asphalt 9,2019-09-29,5.0
20,customer_review-R1YH8NVKWJQ375,amrit barala,Price value good,good,2019-10-01,4.0
21,customer_review-R2X1ZK10MQPGV2,Haroon,Amazon and Samsung duo should go hand in hand.. way to go Samazon or Amazsang,amazon always great compare flipkart awesome service well samsung m30s surprise lovely phone packed amazing features monster battery back looks good feels like magic battery good lasted 4 days normal usage 3 days average usage 2 days high browsing calling whatsapping finger print lock fastactually instant fast,2019-09-30,5.0
22,customer_review-R289MXCRPNKKUJ,Amazon Customer,Worth Every Single Penny,detailed review camera rear front camera quality great night mode good enough capture good shots additional zoomout features front rear camera nice battery really happy battery backup lasts approx 2 days yes approx 48 hours medium usage including wifi gps design touch look feel awesome even though 6000mah battery feels light face recognition also quick sense unlock processing speed good enough heavy games without much heating effect,2019-10-03,5.0
23,customer_review-RRR2X53SV2M7X,rahul diggi,Received Defective Piece,idea sim cards working slots receiving notification mm sim allowed contacted product return accepting return totally frustrated,2019-09-29,1.0
24,customer_review-R35DBGL49OGOSZ,Abhishek sahu,#Go Monster,really monster looks awesome battery amazing 6000mah super slow motion feature reallly amazing totally worthy every single penny buying 11500 reviews camera 55 performances 55 display 55 battery 55 phone look 45 soundvery good sound quality 55 superb phone,2019-09-30,5.0
25,customer_review-RC6VE13HY9FLJ,Rama rao,Nice phone,battery backup highlight camera also super suggestion price good option,2019-09-28,5.0
26,customer_review-R361AQD7PE2XMY,Rahul,Value redefined.,first impressions 1week update added compare m30s asus zenfone 5z oneplus 3t flagships respective brands past used motorolas exclusively big motorola fan consider stock android best user experience smartphone pros 1 display 55 big beautiful importantly wellcalibrated one easily better oppo vivo amoled implementations simply samsung taken pains somehow calibrate unit 2 ergonomics 55 unlikely call device bulky cumbersome onehanded use 209 aspect ratio excellent weight management oneui optimisations onehanded use 3 battery life 45 1112hrs sot ie 15days use frankly bit disappointing considering older motorolas gave 68hrs 13nm architecture socs 27003000 mah batteries less efficient lcd panels 6000mah shouldve given close 14hr sot usecase 4 performance 55 fast app opening speeds compares well snapdragon 821 powered phenomenally well optimized oneplus 3t falls short asus 5z nobrainer ram management decent 4gb ram tend 15gb free 810 nongame apps typically always memory ufs 21 big leap us upgrading emmc storage particularly noticeable app opening speeds well gallery app images video thumbnails load instantly deleting also super fast 5 touch response 55 fast precise low latency particularly noticeable keyboard quick toggle menu well knocking notifications deleting feeds say chrome browser faster animations experience 6 one ui 355 difficult rate ive always used stock android although enjoy addons oneui comes also miss clean fluid conflictfree experience stock android known mind far better chinese roms tried offline stores coloros funtouchos miui even zenui oneui less obtrusive cleaner ads easier use onehanded oneui isnt flawless experienced app crashes tata sky palabre never faced issues previous phones ship bloatware asks lot permissions unrequired suggestions though shut within 5mins put stutters see time time may deal breaker yes clearly stepdown stock android stock android 100 oxygen os gets 100 one ui gets 85 zenui gets 75 chinese skins miui coloros funtouchos definitely far heavily modified away core experience android known 7 call quality cellular reception 55 actually placed calls weak spots home signals drop 1 bar thankfully m30s doesnt drop signals phones ive used fact shade better motorolas previously mindblowing signalcatcher either yes get internet jio sim sometimes phones would struggle call quality good slightly better 5z short oneplus 3t compared 5z sound sharper never sibilant opposed slightly muffled recessed upper frequencies 8 reliabilitypeace mind vast service network cons 1 build quality 35 unibody plastic build rather flimsy grade plastic used feel times also hear plastic flex next power button fingerprint scanner button short travel satisfactory tactility chinese phones checked offline stores offer better build gorilla glass rated higher schott asahis dragontail used especially terms drop protection scratch resistance ok hopefully 2 charging performance 25 2hrs 30mins 2015 6000 mah know perhaps 18w charger helps shave 15mins ill give update whats irksome using phone charging significantly slows charging speed 35hrs difference cant miss happen devices home extent 3 cameras 25 ive used slrsdslrs 2 decades understand thing two also means dont expect phones especially price point great even toned expectations cameras rather poor 48mp detail absent dynamic range mediocre theres sharpeningringing though colours thankfully natural expected samsung frankly 48mp 64mp 108mp number dropping days wayyy deep gimmicky territory things best may tad better older 1216mp modules implemented right say nowhere near 12mp primary camera asus 5z especially gcam night whats good video stability super slow motion feature stabilization actually better two especially surprising know 5z 3t ois update section ifwhen compare class 4 lte speeds jio 255 bit disappointing actually like 6series 2018 even ufs 21 app downloading jio similar older phones ive used nowhere close 3t leave alone 5z mind snapdragon 7series far closer 835845 category 5 heapdhone quality 35 im hardcore audiophile ive spent small fortune audio years m30s lively presentation good dynamics respectable detail frequency response isnt flat bass clearly boosted upper frequencies muted definitely flavoured sound unlike moto g5 plus phenomenally clean audio superb stereo separation price bar audio technica athm50 soundmagic e10c beyerdynamic byron never complaint m30s better detail sure central head less neutral sound hidizs sonata hd good option want solid upgrade around 225k want go cheaper still try pixel typec 35mm dongle theres lot praise available 13k 6 lack xda love xda community showers tons love snapdragon powered phones making cleanerslickercustomizable custom roms exynos locked samsung 7 speaker performance bad certainly nothing mediocre least ear piercing shrill sound models price point plagued loud oneplus 3t significantly cleaner tighter output wont even bother drawing comparison 5z 8 android update track record found samsung one slowest update speeds 610 months official release youre lucky probably means android 10 march 2020 may things change oneui era first impressions full 55 ill update longterm findings 7th october 2019 1week update one ui experience ive begun appreciate oneui entirety stutters reduced guess phone new lot happening background besides intrusive stuff still running ive since force stopped disabled features think great additions stock android 1 open popup view true multitasking huge plus book 2 always display great feature amoled display 6000mah battery 3 screenshot toolbar well designed added functionality much appreciated 4 gesture based quick app switcher neat well implemented way quickly moving apps 5 9band equaliser presets fully customizable graphic equaliser system wide effect audio underrated feature 6 darknight mode android 10 bring system level doesnt hurt level already even system apps think halfbaked unrequired features 1 aggressive auto brightness ambient light sensor almost always chooses brighter required output 2 assistive touch 2 pages swipe good idea absolutely use theres option customise either 3 screenshot shortcuts theyve given 3 bad ways award worst experience goes palm swipe inconsistent also senselessly cumbersome 3finger swipe motorola worked flawlessly faster tried assistive touch alwaysonscreen button soon became eyesore ended power button volume key first impressions remain unchanged piece advice prospective buyers negative reviews confuse please understand negative reviews people either 1 bought device wrong reasons 2 unrealistic expectations device available 12k launch 3 genuine issue bad unit small percentage 4 paid trolls negative reviews seem fall category 1 2 usps device 1 good display accurate cheap amoled sporting devices get unnatural skin tones unrealistic greensreds midrange phones mi a3 realme xt vivo z1x etc 2 one ui far cleaner alternative chinese skinsroms 3 excellent battery life 1112hrs sot 4 fast app opening speeds ram management 5 reliability ordered case hasnt delivered yet despite theres one scratch display back disappointed buying device particularly 1 build quality 2 camera performance 3 charging speed 4 superfast updates 5 making nfc payments via google pay samsung pay though many outlets accept india least tier 2 cities 2019 also remember alternatives come set drawbacks cant 2019 least rating unchanged fully satisfied price paid,2019-10-04,5.0
27,customer_review-R5NPSSU6FNQBO,Inderpal singh,On the top,finger print camera battery life every thing expected price range beyond shape color speed every thing good every 5star less option 7star give,2019-10-07,5.0
28,customer_review-R30KF1RMU4JQXE,Amazon Customer,Good phone,best phone budget best battery,2019-10-02,5.0
29,customer_review-R3LK8D4EIC5B3U,Priyank Badola,Worth of money,wonderful phone reasonable price drawback aare earphones phone otherwise phone great wonderful speed start lovely display,2019-09-30,4.0
30,customer_review-R20YIS5KG2FMJM,K venkata rao,This is not for Worth for Money. Plz Dont purchase this mobile,cameras quality good front back screen quality also good,2019-09-29,1.0
31,customer_review-R25E9X3XPEWFO6,Amazon Customer,Good,good,2019-09-29,5.0
32,customer_review-R2QCIHYREX0TQP,PARVEEN SHARMA,Its not good quality,orginal phone made india upto mark samsung camera good quality mark upto 48mp battery good,2019-10-02,1.0
33,customer_review-R1DCMM7EADSBXY,Prem S.,Amazing Super,good product amazing fast delivery amazon within 2 hour charging fast performance phone good value money,2019-09-28,5.0
34,customer_review-RTCFGBBZQT4Z9,Shaba parveen,Very Nice Smartphone Thank you Samsung Galaxy made for this Smartphone & Thank you So much Amazon,value money smartphone thank amazon,2019-10-02,5.0
35,customer_review-RFL9V1M2YDO6R,Zameer Ansari,Everything in One Mobile Phone whatever we want,one best display ever one best battery ever one supperb camera ever processor mindblowing samoled worth exynose 9611 worth 6000mah battery worth 48mp camera worth one best budget samsung mobile ever,2019-10-02,5.0
36,customer_review-RXXX5M8T41NHD,Roshni,Excellent product!!,front camera little better remaining features excellent expectations,2019-10-02,4.0
37,customer_review-R2J33860648YWK,prasenjit paul,Best ever deal....,simply fabulous dealcomplete budget phone u need 1 good camera yes wide angle depth 2 battery yes 3 user experience thumbsup 4 looks premium 5 simply amazing 6 good brand yes 7 synchronized well 7 days usage 6 processor good 7 customer service plus point ofcourse 8 best deal price segment must buy,2019-10-02,5.0
38,customer_review-R156KO7IIZ6IRD,NKS,Poor quality product,well another classic example like much hyped cinemasmovie flop really thought samsung something get back mid segment market quality product doesnt look like positive mobile battery early comment camera upto mark gorila glass protection importantly sim detection issue especially vodafone idea bought mobile unable use would recommend redmi phones samsung,2019-10-02,1.0
39,customer_review-R3MVLF52IRQWOA,chitraselvam,SD card,sd card sometimes un mounting automatically restart phone bring contents sd card,2019-10-01,3.0
40,customer_review-R3OUR90QZ4GAKR,Shashank Jain,Camera quality,camera quality bad blur photos zooming pic cracks compared redmi 7 pro camera redmi much better,2019-09-29,1.0
41,customer_review-R174K5DDV95N0A,Anilkumar,Hopeless product,product poor camera worst display poor hitting issue hitting like blasting carefully buy youre risk,2019-10-03,1.0
