,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1SJBUBZ9VVNM3,Pallab Mallick,Writing speed is only con,build look fully metal single body pen drive cant smaller thinner absolutely pretty simple design performance total space 1441gb writing speed never exceeds 4 mbps need enough patience transfer files maximum reading speed 33 mbps pretty good detected computer mobile tv speaker,2017-10-06,4.0
1,customer_review-R3JEGYAHSX9R81,martin,Worth the cost,got 699 light weight nice design solid build used hour slightly heatsup bt ok metallic write speed copy move file 832 mbps max bought hp 20 16 gb pendrive gives write speed 125mbps read speed 25 mbps need speed 20 go hp v 232 read speed max 215 mbpsmove r copy,2018-01-19,5.0
2,customer_review-R1JHWCBJ7OWBLE,Pritam,“Chalega type”,first usb 20 flash drive keeping mind performance average 350 bucks best option office works reading speed pretty awesome writing speed exactly 4mbs though bad price range,2017-11-06,4.0
3,customer_review-R2523RATFSFDT0,Amazon Customer,Its a good pendrive for the price,good pendrive price pros 1 metallic design overall good hardcore users good dropped accident 2 tiny micro easy trasnport 3 gives expected speeds write read per usb 20 cons 1still usb 20 others gives usb 30 capabilties price range 2 sandisk cruzer force similar gives better transfer speeds choice buy unless find something reliable worthy comes along,2018-04-13,4.0
4,customer_review-R3A7MZ8HWNMLA,Subhayan Chatterjee,"Speed is low, but else fine",bought 4 different pendrives transferred files check speeds results write kingston data traveler se9 16 gb 20 speed around 407 mbps bought rs460 ii hp 715 w 16 gb 30 speed around 722 mbps bought rs 799 iii strontium ammo 8 gb 20 speed around 1066 mbps bought rs378 iv hp 765 w 16 gb 30 speed around 1689 mbps bought rs 560 details might vary ratio speeds 1 177 262 415 regards price strontium ammo best cost rs378 hp 715 w worst cost rs 799,2018-06-13,4.0
5,customer_review-RLYMAA1P19GC8,Amazon Customer,"It is good, actually one time I forgotten to remove from ...",good actually one time forgotten remove pocketmy wife also seen kept washing machine completion washing drying clothes fellsdown pocket thought gone working beforerecently lost itbut agian brought pendrive finally say best,2016-12-11,5.0
6,customer_review-R1QYVZWU7VBYOT,dv srinivas reddy,Not strong,slow pendrive,2019-05-12,2.0
7,customer_review-R3HNXT6XN8TBAJ,Antarip Review Desk,A solid pen drive from Kingston.,well built flash drive pros 1 product made metal durable 2 good transfer rate 3 attach key chain 4 value money 295 5 light weight 6 one attach keysmart key organiser key organiser cons 1 pron scratch overall great product would recommend buy,2019-06-25,5.0
8,customer_review-R2XUTC8UVQIWGK,Varun Varghese,"Awesome USB pendrive , a must have component in your keychain",awesome usb pendrive metallic case pros 1 low price got 399 wish bought 2 price got increased day got 2 small size 3 metallic case one guaranteed last long tough one indeed 4 add key chain looks cool cons 1 almost 140gb available cant complain 2 copying speed 3 4mbps cant complain got usb version 20 go head buy single must buy 2 minimum otherwise gonna regret didnt,2017-09-20,5.0
9,customer_review-R3N2OWOAKBPZ95,Debora Baby Mathews ✔️,Good Product from KINGSTON.,usb 20 pendrive metallic body got 8 mbs write speed 20 mbs read speedi found heating issue allgot 28 gb space available 32 gb,2018-05-22,5.0
10,customer_review-R1AL6IXOVYSBZ9,Amazon Customer,"It is a good product, but attach it to a key-chain to prevent loss",lost product within fortnight purchase forgot attach key chain product small even slips trousers pockets getting carbike wont even able notice lost pendrive luckily wasnt important information maybe might got crushed car lorry may pedestrian might using,2019-06-28,2.0
11,customer_review-R3QOTIHQ659P4K,Al,Stopped working,stopped working within 7 months five years warranty service center far ended buying hp 32 gb till replace,2018-07-30,1.0
