,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-RD1BUFPAY7M70,Meet,Fairly does its Job,like thinking pendrive provide masaive speed compared usb 20 disappointed yeah pendrive faster usb 20 fast said company never able see write speed 100mbs sone strange thing regarding pendrive transferring huge file around 10gb notice initially speed around 20 mbs pendrive becomes hot 2 3 mins speed decreased around 68 mbs,2018-04-09,4.0
1,customer_review-RYGQ18GFC7X3D,Kendy,"V. Good for certain kind of applications, average for others",purchased usb drive small size usb really tiny feels fragile delicate small size good carrying portable easy loose outer body transparent making difficult locate loose however good storage space 32gb small package observed copying large amount data 10gb large get 10 10 mbsecond transfer rate file size 100 mb 700 mb achieve transfer rate 36 mbsecond achieved transfer rate higher 40 mbsecond transfer rate drive computer also low packaging says transfer rate 150mbsec highly doubtful drive easily detected smartphones also observed drive becomes hot writing reading data observation recorded buyers also usb drive good people need large storage space wiling sacrifice transfer speed people wants transfer files mobile devices computers would find useful,2019-01-24,3.0
2,customer_review-R2KN6782JZRT6L,SC,Awesome,got one perfect condition working perfectly laptop easy use weight light really fast got low price really worth buying,2019-01-17,5.0
3,customer_review-RBHCICS2AT12W,ironman,Not good,speed,2018-10-14,2.0
4,customer_review-RZKZXBO4TAPDX,Amodh,Better than most other options but still not THE BEST,writing review almost 2 months purchase usage covering important points 1 size perfect go tranferring inbuilt micro usb makes life easier 2 transfer speed really depends transferred case transferring 900 hd quality photos took around 7 mins 3 holding pendrive feels like break really minimal pressure surprising really sturdy 4 understanding concept opening closing pendrive took time undersand needs swift movements definately lacks 5 heats quite quickly 6out 36 gb storage 286 gb actually available storage rest 74 gb used storing rest inbuilt applications pendrive would given pendrive 5 stars feel 4 stats enough assessing pros cons,2019-06-25,4.0
5,customer_review-RSUTOG5RE6T45,SAURABH MITTAL,Much less usable space than expected,product compact looks fragile types bad ergonomics poor handling poor ease use 285gb 32 gb free use dont really understand whymy pen drives hardly show unaccounted data space occupancy amazon good prompt delivery,2018-09-18,1.0
6,customer_review-R2IJHHVZUYDHBA,Sumit Maheshwari,gold color selected kiya or payment bhi gold ka adhik ...,gold color selected kiya payment bhi gold ka adhik pay kiya parsal se black color ka pic mila wrong send product,2018-01-31,1.0
7,customer_review-R2PK4M4S1Q9B3L,Joe Peter,Still going strong almost an year later..,seem trouble flash drives dont seem last slow year still working fine comes handy move files phone computer wise always searching adapter speed wise fast usb3 drives definitely much faster usb2 devices weary storing anything drives since develop problems stop working together,2018-09-18,5.0
8,customer_review-R1YLZGHUTPWCFS,Mehdiberanji,Heating problem,transferring larger files heats pendrive transfer files small proportion cut paste large many files time pen drive heats mobile transfer gets hanged,2018-10-06,4.0
9,customer_review-R3KBHE0DAMDBZJ,Vs,Excellent,works well smartphones pc really amazing product superb looks great readwrite speed need otg cable connect smartphones,2018-09-12,5.0
10,customer_review-R6OOW1J2KDKA6,Mohd. Arif,Looking awesome,trust guys good speed easy use looking awesome heating issue doesnt matter dont need worry amazon service awesome fast,2018-10-27,5.0
11,customer_review-R1PBPWCRMGN2QG,Amittras,Problems with Writing Speed; Reading speed is fantastic!,drive obviously looks good especially gold tint whole body theres also usual sandisk branding necessary emblem metal parts packaging also assuring thing keeps nagging cant find particular color sandisk site anyone finds official site would pleasure reading speed drive awesome around 130140 mbps terribly fat believe ssd destination advantages thing provide brilliant read speeds writing hand awful maximum speed getting around 1820 mbps thats usb 30 dont know whats wrong maybe model isnt designed writing speeds,2018-11-12,3.0
12,customer_review-R2Q2RVWHT6KEE2,Shyam,Take your billions of memory in a palm,san disk ultra 64 gb pendrive small sleek slightly bulkybut thats issue memory 586 gb usable memory readwrite speeds fast price point average 40 mbps obtained time go otg connectivity phones also fast use san disk memory zone appapk file comes pendrive purchase deleted looks love gold touch white colour apparently shimmers slightlyin bright sunlight package finally box comes sorry box slight packet like coverage holds pendrive firmly warranty card simply sayin budget friendly pendrive,2019-10-28,5.0
13,customer_review-RYUXACW1W5DO0,CS Dheen,SanDisk Ultra Dual 64GB USB 3.0 OTG Pen Drive (Gold),though ads amazon show 64gb product actuality capacity per drive shown 572 gb dont know happens like buy regular shops never shows grave variance difference almost 7gb customers like upset astonished realise huge difference product capacity terms advertised part actual specifications sort breach terms,2019-01-28,1.0
14,customer_review-R12XCEQPJT396Q,Brahmaji sha,You can use as OTG pen drive and USB pen drive,pros 32 gb storage connect directly micro usb charging pin mobiles also regular usb pen drive easy open close nice look color 30 gives higher speed data transfer rate transfer data lightening fast speed cons heat generating connecting devices perceive heat 20 models sometimes try insert micro usb mobile pin pen drive pin going frame annoying thing heating,2019-05-24,2.0
15,customer_review-R1ZKX48EZTQ7QI,Raz,Looks lovely! Works very fast!,sandisk pendrive looks exotic used android phone pc using usbdeview speed test pendrive result empty except 2 sandisk files write speed 35 mbsec read speed 151 mbsec storing 409 gb files write speed 1709 mbsec read speed 3669 mbsec notes 1 empty took 8 minutes 35 mins store 409 gb files pendrive 2 usb plug smartphone android devices use windows phone may buy adapter 3 use either 2 plugs slide one insert finger gap created insert android phone usb port computer 4 copying 400 mb files pendrive pc incredibly fast 4 seconds 5 actual storage space pendrive 285 gb 6 pendrive small may get lost insert chainstrap hole provided ensure pendrive easily found,2019-06-21,5.0
16,customer_review-R28W6GUCT35DA6,Rupesh WasniK,My Self experience...,taking 30 40 minutes back 268 mb photo within 45 minutes due high heating hang copied whatsup video photo 2 gb taken 16 minutes useless mobile dual drive 30 claim company totally fraud,2018-09-30,1.0
17,customer_review-R2S9QR46K2PFQA,sanjay,Useless,buy anything sandisk written 30 actually 20 saying 20 speed data transfer 30useless product,2018-07-09,1.0
18,customer_review-R3OP4QNNAVVNGP,VPD,The largest file size it can store is 5gb,whole purpose buying product defeated wanted save large pst files pen drive unfortunately cant store file least pst 5gb,2018-06-10,1.0
19,customer_review-R2J7GLKBAWCYAT,White Lotus,No Cover Lid for the USD - Outer Gold is for Show,first see item photo even hold packed piece looks good feels rich qualitywise open 2 drawbacks 1 hybrid usb pen drive pushed directions depending upon need usb micro usb however push side say usb 30 insert pc usb slot stopper hold position usb pushed usb port pushed backwards hold sides ie holding outer leads expect scandisk 2 outer protective stylish cover golden case show protect pen drive outer border sides cover top bottom side exposing pen drive hold pen drive grip top bottom feels uncomfortable far quality concerned scandisk trusted brand would expect good quality robust easy use design good quality drive get pen drive buy higher capacity premium product scandisk need improve designing part seriously consider ease use designing products,2019-08-02,3.0
20,customer_review-R32CQWGKC24ORJ,Amazon Customer,Dont buy it....if u r looking for durability and dont want to loose ur data all of a sudden,product wasting moneyit looks good productive stops working suddenlyi purchase amazone ago andafter using six months soit suddenly stopped workingits getting attached phoneneither getting readable laptopi bought rs 899 complete data gone itand also doesnt give claimed speedit give u 800 kbps 1314 mbps top speedwhich absolutely garbage flashdrive 30 though tge speed aspect never botherd muchbut sudden malfunction irked lot instead u go sony price range,2019-05-23,1.0
21,customer_review-R122RS1ZPYGYWZ,morris,Very very Slow pendrive never seems like a 3.0 ...,slow pendrive ever used never seems like 30 advantage connect phone otherwise useless realized phone supports fat file system even allow copy large files pendrive connected pc lapop hand format ntfs file system pc copy large files recognised phone shows corrupted pd conclusion way much useful time pc mobile slow pd poor design value money,2019-07-01,1.0
22,customer_review-R34N3DGPP1SBTI,Kiran,2 minute review,would recommend usb drive anyone looking carry files moght face need access android otg phones proven quite helpful whats good product convenient fast helpful need access data stored ur phone andor want transfer data computer phone whats good product little small might get lost easily make sure tie something onto easily find,2019-10-22,5.0
23,customer_review-R314LUVR24JAWW,Mayank Singh,Little one but but with good with speed,hi many days since using product posting review speed information kindly find attachments one thing didnt like product going trouble plugging wall mounted tvs due pen drive two sided whenever tries plug usb port pushed back need try plug thing till found troubling otherwise everything fine,2019-11-03,4.0
24,customer_review-R2CXOXDDHMY3DP,JD,Heating is a Issue here.,design wise beautiful using find gets heated much data transfer rate doesnt seem high high starting slows later avg data tranfer rate seems 11mbps maybe thats laptop doesnt usb 30 port cant actually blame product wont get exact 32gb space,2019-04-27,5.0
