,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R2PC5GRVADIHWQ,Nizam Khan,"Fast read speed and slow write speed, build material feels cheap!",bought 128gb sandisk ultra usb 30 pen drive rs 2233 pros light weight huge storage small size fast read speed cons slow write speed write speed fluctuates build material good feels thin low quality plastic doesnt fall pros cons actual usable space available 114gb want huge storage fast read speed would suppose dont light weight penflash drive good option want fast write speed along huge storage good choice recorded video write read speed video went long slow write speed found review helpful hit helpful button,2019-02-02,3.0
1,customer_review-R8OERBHWSAEJW,chainz™,Don't buy if you are expecting USB 3.0 speed !!,sandisk ultra cz48 32gb usb 30 pen drive black reviewers observed constant speed attained initial false high 15 20 mbsec clearly usb 30 device waste inr 79800 light weight activity led functions older devices well expected advertised performance many sandisk microsd cards extremely disappointed eventhough return window item didnt time inclination go process better buying standard usb 20 save money rather purchase fake usb 30,2018-09-08,1.0
2,customer_review-R3F0OYUPP5O7R8,AKS,Decent product but not extraordinary,average device bad even great file transfer speed seller mentioned 100 mbps marketing pitch actual transfer speed 30 mbps cases 1520 mbps actual usable size 572 gb light weight easy handle carry amazon delivery product fastest prime member ordered 1130 pm got delivery 1130 next day,2018-03-02,3.0
3,customer_review-R5QGY05ZCLOPD,Amazon Customer,Cheating 3.0 port,write speeds 15mbps maximum almost equal usb 20 two stars reading speed please donot cheat customers description given 10 times 20,2018-12-04,1.0
4,customer_review-RFOM2EVXOOD7G,SagaR,Good for Media transfer only & Not for large computer Files...,build quality average transfer speed satisfactory usb 30 pendrivebut speed varies pc system configuration cons cant transfer windows isofile drive says file large,2018-05-08,3.0
5,customer_review-RPPVQDA6OWTO3,Abhishek kumar Mishra,Comparabili Good from those one,using many pehdrives taste one compare pehdrives position say better heat quick like function speed fast enough student need transfer 6 10 gb files,2017-12-18,5.0
6,customer_review-R1UE5WDTDGVYPJ,CHANDAN CHOUDHURY,Cheapest 3.0 USB Flashdrive,memory stick plastic well constructed kingston appears heavier solid also cord keep attached anything complaints memory stick awesome speed performance using dell lattitude usb 30 connection tested iso files excess gbs also small pdf files love user interface provided sandisk uses software protect files names unlock drive look files show file01 file02 etc try open text editor come across jumbled layer security looking event flash drive lost see actual files open software provided unlock credentials viola,2018-12-04,4.0
7,customer_review-R1M2Q8YDC834HA,Nrupen,Good But Takes Lot Of Space,well didnt get speed anywhere near 100 mbps max speed got 33 mbps still good buy looking factors like build quality cons takes much space attaching device beside possible,2017-10-27,4.0
8,customer_review-R2WSP19BEF5JCM,vijaychander,"Go with 2.0 ,,there is some problem in this perticular model of SanDisk 3.0",earlier ordered sandisk 32gb usb 30 model got defective one speed usb 20 heating issue returned ordered 16gb model difference problemthen decided buy 30 pendrives 20 version never faced problem till,2018-04-27,1.0
9,customer_review-R1ELF23MG1PB6Y,puneet mishra,64GB instead of 128GB,title product misleading says sandisk ultra cz 48 128 gb usb 30 pen drive black order receive 64gb pen drive received pendrive 64gb pic 1 mentioned back pic 2 return product,2018-10-15,1.0
