,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3NYEAFUTFWOMB,Akhil P Walia,"Bulky, Poor Write Speed",bought lightning deal utterly disappointed write speed bought thinking sony perform best brand reputation however started using barely got 3 4 mbps write speed tried 20 30 ports performed flash benchmark tests drive average write speed 49mbps max read speed 18mbps size design drive actual also weird bulky sliding type go back sandisk cruzerblade x2 times write speed,2017-06-28,1.0
1,customer_review-R2XBGZGE1QBRIU,MuKuL Yadav,Best Review,rate helpfull like review fake product looks good retractable button tight get useless slidesthen insert pressing thumb button speed good 7 mb per second different customer get different outer cover got curropted warranty date pendrive got 256 corrupt errors,2018-01-21,2.0
2,customer_review-RZXUHRKCJ5P8D,Rajesh Arora,This time experience is bad. I am sure supplier will take care of ...,times use flash drive stopped working getting identied pclaptop cant copy flash drive files pendrive copieddownloaded usb drive requesting supplier cloudtail replace many times past supplies made cloudtail complaint registered time experience bad sure supplier take care small replacement maintain reputation item bought june,2017-08-18,1.0
3,customer_review-RWMQ4CZ7TS5OG,Manigandan Smartdesigner,Worth for money,good transfer speed,2017-11-04,5.0
4,customer_review-RROT94OV5J1HQ,Manjit Singh,Total wastage of money... very poor performance.,surprised sony product call sony customer care confirm said yes sony worst quality thumb drive ever used shabby design real slow extremely poor performance dont buy first one worked got replacement refund 2nd one stopped working 3 days usage used 56 data transfers,2017-08-17,1.0
5,customer_review-R33W5A3LANONPT,Bolbo na,Stopped working after 2 weeks,stopped working 2 weeks im taking local shop get repaired changed amazon much hassle stick croma reliance retail probably better easier manage,2017-03-06,1.0
6,customer_review-R35TPCLU98ZR42,Ankur,*Verified* After 6month use.,function slow copy speed max 25 mbs cut paste 67mbs 20 16gb sandisk gives 10mbs copy 2030mbs cut features supports windows mac system android support work usb otg thats officially written site build quality disappointing see usb port bend design big fit behind tv dont know area deserves 1star rating contacted sony support get replacement shall update soon matter,2017-02-01,1.0
7,customer_review-R27ZVMLWW37EH3,Amazon Customer,One Star,item working,2017-03-10,1.0
8,customer_review-R3QORD8EM3EOL0,Deepak Bhakoo,The worst pendrive ever,disgusting purchase ever whats pathetic amazon didnt take back sent replacement worst product slow write speed like waiting eternity see file copied please skip one,2018-01-16,1.0
9,customer_review-R2JF8RBPULU0WO,bhattnnidhii,USB drive,loved drive works faster pen drives ie data transfer faster say usb drives duh portable carry anywhere,2017-12-20,5.0
10,customer_review-R1BA175ALVBC3C,NG_AmazonPrime,Purchased Wrong product in a deal,cannot original sony space capacity also regular sony pen drives 16gb also transfer rate 13 speed compare local usb pen drives,2018-01-15,1.0
11,customer_review-R30K0G96Z26GMM,Arpan Ghosh,Comfortable!,purchased cousin sister havent used first time two months asked know product outcome good nice product use even recommended friends purchase product use outstructure product catchy really helpful comfortable users,2018-03-13,5.0
12,customer_review-R2NB0MIOITY9EB,Bhaumik Gohel,Good Quality USB 2.0 pendrive,theres additional layer plastic protection say drop gets drived upon bike tyre wont get damaged would light weight plastic good speed usb 22 mbps write 33 mbps read get usb 20 bad purchase 275rs,2018-11-08,5.0
13,customer_review-R19BLOLWL0G0PV,Umesh Benake,Got it at 300₹,good pendrive written speed low 56 mbps complaints price,2018-01-31,5.0
14,customer_review-RZCZNJ0IM47BP,R GOPI,Worst,dont buy outdated piece shxx file transfer speed dead slow copying 6gb data take 23 minutes go sandisk otg pendine hate pendrive,2017-07-03,3.0
15,customer_review-R33RDOABHI6P8O,Renjith V.,Waterproof Pendrive,wonderful product got good experience itunfortunately immersed pendrive water clothes around 1 month put washing machine clothes item working perfectly happy recommend product others,2017-12-13,5.0
16,customer_review-R6K5IC09C1L7T,Mohit Prajapati,Best for pocket friendly,product good price range want high data transfer speed purchase product tranfers data 4 5 mbps hp pendrive 10 mbps speed data transfer want faster data transfer good performance go hp pendrive dont require performance faster data transfer speed pendrive perfect affordable price,2019-08-17,2.0
17,customer_review-R31NS8P02XPA4K,Chirag Shah,Not Mac supported. Poor Plastic body.,runs good windows however note run mac checking driver availability sony website mentions windows moreover even runs mac run read files edit anything formatting suggested deleted everything run read also plastic body cheap expected sony,2016-09-12,1.0
18,customer_review-R8XT8T9XT596D,surabhi,Bad experience with Sony pendrive,reason giving 1 star check sony service centre nearby buying pen drive gets corrupted mine got corrupted 5 months make 1 visit submit pen drive provided job sheet make another visit get replacement pen drive process deficiency pen drive works 1 year well good else ready make 2 visits,2017-08-12,1.0
19,customer_review-R3OFXNQ9YGB30E,Shouvik Mondal,Very nice product,certainly great product write speed better brands also light,2017-06-17,4.0
20,customer_review-RDQ7HJLK6HIUH,Tharak,Failure model,failure model used one month slide connector pin became loose try insert usb port pin slided inside drive mechanical failure took product sony service center jayanagar bangalore replacement warranty got replacement device within 3 days weeks faced mechanical failure pin holding slide pin recommend model,2018-02-17,1.0
21,customer_review-R39W7GSQ3BEGTX,Loki,Good but not very good!,good product seller amazon actually problem sony pen drive reading bit late compared sandisk also since button push pull thats userfriendly breakages could occur,2019-03-05,4.0
22,customer_review-RPEVC3ART19E5,Umang Shah,Useless product,purchase product lightening deal good price could use even day says needs formatted tried format could even format drive since 15 days passed even return useless would recommend strongly use product also first bad experience amazon,2016-11-12,1.0
23,customer_review-R1B47OEZCF3TRE,Jawahar,Other drives are working fine. So the problem is not with the player ...,drive slow connect car shows error every alternate time disconnect connect player recognize time start engine takes atleast 30 secs start playing drives working fine problem player drive happy product,2017-08-19,2.0
24,customer_review-R12EDGBX1ONFM,Rajesh Kanna,Not-so good product.,particular black coloured one seems substandardfake led indicator never function formatted thrice resulting data loss recognizable pc also ordered product earlier also issues purchased white one working fine,2017-08-15,1.0
