,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R19T4ET0SGOA4Y,Purnendu S.,"Best Powerbank in this price,",best powerbank price segment thing buy please go doubts please dont think negative comment good battery back 4000mh battery get full charge almost 3 time build quality awesome like premium please dont buy powerbank road shop provide fake powerbank ambrane best company powerbanks rate battery backup life 455 charging time 45 charging speed 425 phone support quick charge durability 55 build quality 55 thanks amazon selling product low price flipkart buy amazon 700 rs offer,2018-09-09,5.0
1,customer_review-R2N0MNFR9VV5UC,abhibane393,Too many scratches feels used.,many scratches body near charging port also looks like used old seal broken theres already colour fade see pic got 999 choose overt mi 10k mah bcoz made india indian company gona return back satisfied paying 999 better go mi lenovo even though pricy able upload 1 pic show scratches,2018-07-24,1.0
2,customer_review-R14IHNEBD8XIJF,NITISH KUMAR,cheap and best power bank under 1000,take 13 hours charge 0 100 one smartphone 2000 mah battery one tablet 2800 mah battery charged phone 3 half times tablet ones single charge calculate efficiency 76that means real capacity power 10000 mah satisfactory talking build qualty made plastic quite bulky carry satisfied purchase,2017-11-05,5.0
3,customer_review-RPHP60LSDD39P,Amazon Customer,Check this out....😅,built quality utter worstled working dont know going burst heating heavily getting chargedworst experience like soap dubba dont buy,2017-11-18,1.0
4,customer_review-R3R36L1D3WKBLM,Neeraj,"Bad looks, good Performance and take 4 hrs to charge itself.",using 4 monthshas phone battery 3300mah charged 3 times performance around 1000mah looks arent good price performance make usb cable comes bad quality,2018-06-03,4.0
5,customer_review-R2GSMPWSBEPCMS,Ramnik,An excellent Power Bank,ive using years bought another one wife quality finish excellent one must careful storing pouch like since accidental press switch one times charging time slightly long fast charging usb port power bank fab addon,2018-09-03,5.0
6,customer_review-R174L0E4XHWNYC,Simon D.,Best,one best things brought start power bank works well supposed phone 3000mah battery power bank gives 3 full 100 charges 1 70 charge also supports fast charging power bank fully depleted takes 68 hrs fully charge using daily basis working well also led functions torch light didnt find use good add amazon delivery time packing good usual,2019-03-06,5.0
7,customer_review-R1OMBTWBNWA9TV,Amazon Customer,Don’t buy Ambrane Product it’s just waste of your money,brought product one year ago facing many problem led battery contact coustumer care support said please submit product service centre submitted product 17 august 2018 today 5 september still product repairing look bad provide service repairing provide replacement recommend uh want buy good power good battery life coustumer support go mi 20000 mah power bank mi best option buy ambrane waste money,2018-09-05,1.0
8,customer_review-R1BWUJ3BNDAI5W,Ramesh Nanaware,Superb product,13000 mah powerbank 1st time ordered october 16 really superb performance second time hv order best powerbank price segment thing buy please go doubts please dont think negative comment good battery back 13000mh battery get full charge almost 6 times build quality awesome like premium please dont buy powerbank road shop provide fake powerbank ambrane best company powerbanks,2018-11-09,5.0
9,customer_review-R3GGNMXCPPJBHJ,Amazon Customer,Not value for money,pls buy product hv purchased one mnth back n im horrible experiance vid itwithin 20 days stopped fast chargingcharging slow dat ur using ur mobile charging vil jus hold ur battry percent rather increasingaftr one mnth nw power bank nt getting chargedsuch poor quality product amazon selling im much happy vid amazonnot value moneyi shud hv gone fr brand ambrane,2018-07-20,1.0
10,customer_review-RYEH5VYHPU55W,Amazon Customer,"Not meant for long run, disappointed me after 6 months.",writing review around 6 months usage barely charges 4100mah battery twice initially okay used charge 4100mah battery almost thrice within 34 months showed true colour happy product multiple disconnect charging mobile already tried using different data cable issue observed posting review mobile connected power bank guess mobile charging,2018-02-27,3.0
11,customer_review-R11DIRQI5VO3QZ,Byomakesh Patra,Avg Product...Not the best,got fr 800 price rangei thnk itz ok 2 fo fr 1 charges asus zenfone 2 laser approx 2 hrs 2 redmi 3s prime 3 hrs note u r using ur phone charging charging time b hell lot lyk instead 3 hrs wil take 56 hrs verdict itz ok fr price u cant expect mr efficiency around 89k mah ie charge redmi 3s prime 4100 mah battery twice may half,2017-08-20,4.0
12,customer_review-R1MDZMLIMP2MXD,Keval,Too heavy ..,using since last twoonths mobile 3000 mah battery one charges 3 times charging speed normal gave 3 instead 5 heavy,2017-10-02,3.0
13,customer_review-R38T4540TXPWAO,Anurag Srivastava,A Great Product,outstanding product built robust elegant fits hands quite well takes almost 810 hours powerbank get fully charged fully charged gives minimum 4 full charges galaxy s6 heating issues fast charging port works well,2017-08-24,5.0
14,customer_review-R2TTCDMQFVHY9M,athira b.,worst experience,bought power bank oct 2018 working fine first 2 months charging speed decreased like takes 2 12 3 hours get fully charged 2 months sometimes working sometimes tried another usb confirm result completely dead getting charged charging phone never trust product product fine company sure may seller selling duplicate product,2019-04-07,1.0
15,customer_review-R3V5HWGDSDE0Y1,Hemal Shah,WROST PRODUCT EVER. USELESS QUALITY.,please dont buy ambrabe product stop working 2 month buying jeck loose breaks first charging even warranty showing purpose attract customers go authorized centre denied give free service ask money even costly product price call customer care even raise hand bluntly said covering issue issue warranty useless wrost product go brand,2018-11-24,1.0
