,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R2DW0RPN5E7G47,Mumbai Tiger,After 1 Year of User,planning buy portable power bank long time saw one friends recommenced highly thought heck lets buy honest almost year never faced issues concerns charges like boss delivers like true champ hand also mi powerbank started showing degrading service 6 months would highly recommend power bank,2018-11-07,4.0
1,customer_review-R27PRU9FOSOGXD,Amazon Customer,It's not even 3000mah power bank,cant give less lenovo k4 note merely 3k mah battery power bank doesnt even charge phone first charge 6 20 phone battery power banks one light glowing 4 indicating low fyi power bank fully charged prior use wont recommend anyone buy product,2017-11-03,1.0
2,customer_review-R3NU7QB1RQH5NA,M. Hogan,Just don't! Get a better brand.,regrettable purchase start led light didnt work reason bought instead branded products intex customer service useless im also sure hold anything like stated 11000 mah,2017-11-07,1.0
3,customer_review-R38UH741R437GP,aromal,Received a used product! This is second time its happening,ordered power bank offer rs 600 using power bank automatically switches manually press button charge device found issue returned next day asked product replacement 2 days received power bank complete scratches used covered duck tape attached photo,2019-02-02,1.0
4,customer_review-R2VXQH0EOE4I72,Amazon Customer,Worst product,worst product ever purchased amazon takes 4 hours charge able charge mobile tried get replacement amazon made lot excuses good thing product basis experience gained unsuccessful return item decided purchase anything future amazon,2017-10-25,1.0
5,customer_review-R2JOE1OM6WDNSB,Mr.Laughter,Best power bank For phone charging,using product five month bought redmi 6pro battery capacity 4000 mah things keep mind 1 important capacity battery 11000 mah actual power 10500 mah due conversion loss technically charge phone 2 full cycles 2 simultaneously charge 3 devices casual test worked fine 3 overcharge shortcircuit protection company claimed 4best powerbank overall happy purchase considering price performance ratio would definitely recommend anyone travel require external backup source procs 1 good material 2 good backup battery life 3 excellent built quality 4 light weight 5 better charging speed three mobile time found helpful please mark helpful,2019-08-06,5.0
6,customer_review-R243G4XYP3AB14,Ayush Silodi,Read It before buying It,hi talk power bank firstly see cheaper power banks 11000mah battery bought intex logo cheap rate using got know really cheap terms performance well feels like 5500mah battery charge mobile phone completely partially second time buyers please dont go behind rate also bought mi 10000mah power bank father works tremendously intex power bank also fat uneasy hold hands way made review tell please try research dont make mistake like thanks giving valuable time read review,2019-04-12,1.0
7,customer_review-R1EF50TVC7GBZS,Amazon Customer,The Intex IT-PB 11000mAH Power Bank is not functioning after two months of its purchase.,purchased product month april 2017 power bank one year warranty matter great regret power bank functioning month july 2017 fail preserve power fail charge mobile phones quite unexpected hence request needful subrat kumar rana balasore odisha,2017-10-23,1.0
8,customer_review-R335KDEP686IT3,Ravi Shankar,good product in local range.,first user intex product purchased two power bank packing gooddelivery expected date power bank stylishbody stoutlooking durablestorch much brighter previous power bank cheaper buying button work gentley press battery backup good charge samsung j7nxt 3 indicators reserve,2018-12-28,5.0
9,customer_review-RGK1JLAG6MP3R,Gayathri,Not working after a month and no service though still in warranty,product working month though within warranty service centre trying charge says even charges guarantee warranty longer exist never buy electronics online even amazon disappointed,2018-04-05,1.0
10,customer_review-ROZDGNRVUPD2H,Suyash Abhyankar,Very useful!,wonderful product used product many times mobile gets charged quickly 23 times takes time charge full everyone loves useful go ahead buy,2018-01-02,4.0
11,customer_review-R199FRLA9XERUG,Aayush,Its Ok! Not really 11000mAH,good job rightbut really 11000 mah phone 3000 mah battery power bank fully charge phone 0 100 twice 6000mah,2017-12-18,4.0
12,customer_review-R205NQA9BRL27T,Abhishek Singh,Good choice at budget price!,ordered intex itpb11k powerbank sale thought best price could get looking powerbank long time always confused brand trust dayi crossed fingers ordered amazon well powerbank body scratches honest disheartening see product checked working properly putting first charge took almost 23 hours get completely charged using sometime mi note 6 travel hours faced real issue yet size fits pocket held hand easy grip intex powerbank torch light may help complete darkness otherwise much use blue leds tell charging status good comes usb cable three usb slots charging personally would recommend multiple device charging time emergency cause charging speed gets slow better charge one device first charge next gave 4star rating scratches otherwise seems good choice,2019-03-14,4.0
13,customer_review-RU1ITH46GXMUT,Neel J,Poor battery backup it's with 11000 mAh Li-ion Battery BUT ...,poor battery backup 11000 mah liion battery charge mob 1 time 3kmah battery suggest buying product wastage money please please please buy,2017-10-03,1.0
14,customer_review-RTM0CY2EAINTM,Anuj B.,Regarding Intex IT-PB11K 11000mAH Power Bank (Black),purchase intex itpb11k 11000mah power bank black 11 august 2018this product second hand battery back short yeh baat mai aaj isliye kar raha hoon mera beta hostle le gaya tha uska phone many times aaya tha ki papa iska battery backup kam hai bas woh khafi time baad diwali per aaya tha toh maine dekha ki short second hand product haiso want exchange replaced order,2018-11-12,1.0
15,customer_review-R2MDAO65E3VP8E,chethan,Its not 11000 mAH mostly 6000 mAH,mi max 2 battery 5300 charge fully second time device charges till 23 effectively storage capacity approx 6400 mha even working 85 efficiency capacity 9350 mha buy product takes long time charge power bank 8 hrs,2018-11-14,2.0
16,customer_review-R8AJB0YA6BD6L,Sathvik S Kumar,Ultimate one ( 3 years review ),one powerbank thats older phones charged miles journey charge 2 phones 0 100 ease power output also par normal charger fast charger using 3 years single problem even lights also intact new,2018-12-02,5.0
17,customer_review-R2CT6GIZNCTUBW,Swapnil,Quality products,product started misbehaving 10 months use got replaced refurbished 1 service centre expecting new product bt product works fine thing remember using product dont fully discharge use upto 40 charge 100 used till 0 product wont last longer battery life reduces keep mind using product make sure charge 15 minutes atleast boost charging,2018-11-18,4.0
18,customer_review-R3GIXHQLPVKJ1E,Vasim Kaji PhD,Died after 9 months. Edit: Got a replacement. Works ok ok.,edit 20 october 2019 thank intex got new powerbank last one died warranty new powerbank works ok ok still wouldnt recommend go mi ambrane cheers edit 9 months use powerbank died edit review 2 month use shttiest powerbank used used ambrane 20500mah ambrane 10500mah mi 10500 mah super swear never buy intex product ever cons slow charging ports else write im crying wasted rs 599 curse intex 1 wonderful deal got 599rs 2 looks sturdy bit heavy 3 plastic body use,2019-01-05,3.0
19,customer_review-R2CK3WZKIIOERN,nm,Below average,average charge wears quickly,2017-10-09,2.0
20,customer_review-R2LKQTE87A1F4W,Truffle,Worked fine only for a couple of months,good initially later charging capacity reduced took long get completely charged disposed within 6 months usage bulky carry really worth price,2019-01-02,3.0
21,customer_review-R1SSYMDNC350U9,ravi jaiswal,3RD CLASS PRODUCT INTEX IS CHEATING THE CONSUMER 11000MAH BUT ...,3rd class product intex cheating consumer 11000mah bank power 5000mah charge cell 1 time day power bank pb charge full pb battery low buy charging using mi note 4 battery capacity 4000mah,2017-08-24,1.0
22,customer_review-R20FDBLB3J2XPP,Pradipta,"Slow charging, stop charging in between",keep power bank fully charged takes longer time upto 58 hours average charging single mobile many stops charging check every disconnect reconnect continue charging defective product strongly recommend buy product seems like 3000 mah capacity power bank doesnt charge mobile 10 days usage,2019-05-02,1.0
23,customer_review-R3OT214YFF8B6H,Raj,Worth a buy for the price.,generally dont give 5 stars easily also mention reasons goods 1 4 months average usage thrice per week takes time charge course may 11000 2 honour phone 35k mah charges 2 4 lights dont know normal 11k mah ok 3 first day got shocked see led turning days realised power button needs double clickedpressed 4 auto switches nothing charging 5 auto switches plugin device charge 6 weight ok form factor also fine people using non skinny jeans bad cannot charge 0 100 phone 35k battery 2 times single full charge pb means may 11000 thats 4 stars,2019-03-08,4.0
24,customer_review-RXQ1TJE6VC5A8,Harshavardhan,Good product worth for money,pack contains battery pack cable usb20 micro usb 20b slots 1a 2a works fine take time charging battery pack charging top mobile phone good good characteristics heats much torch helps sometimes charged 3 phones time battery discharged quickly reaching full capacity post 2 months continuous usage dont use long time charge fully store,2019-01-10,5.0
25,customer_review-R1NYPN4CBTH99G,Mehul Ranpura,"Best quality, long lasting and heavy product",using product since last three years far issues also gifted 2 quantities parents relatives value money buy discount offers many times fell hand impact performance strong product high durability charge iphone thrice one time charge power bank,2019-02-15,5.0
26,customer_review-RIE36NGBIYAH3,Hemanth,Good charger for a given price and have a good life and function very well,power bank charge well also charge phone fast charging power bank wont take long full charged power bank charge mobile twice consist led light help night time level charge power bank indicated light provided top life power bank also well,2019-10-07,5.0
27,customer_review-RVEIJ1DE35K1R,anish mishra,Good for the price.,battery life finei think charging output capacity 9500mah 11000 material durable easy usewould better provided adapter iphones takes good 67 hours fully charged top allit indian brandand worth buying,2018-11-27,4.0
