,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R2OWNKXCCQRVN1,sheens,Mi cheats you blatantly. #ChorCompany,power bank worked well less 3 months stopped charging altogether called customer care number told since warranty replaced post checking service center service center first said charging told keep charge bit see would go beyond one light 4 realized right proceeded tell since small dent corner body power bank cannot replace really come dent didnt matter realised charging asking opinion situation writing refused really bad service mi never buying another mi product cheats first order,2018-11-03,2.0
1,customer_review-RSA08IH5YIOF8,Kanwar Anand,MAYBE THE BEST POWER BANK I HAVE EVER USED.,maybe 10th personal power bank used anker adata plantronics ambrane intex generic ones iwalk promise much keeping price tag low end losing genuine quality assured performance mi power bank get promised one difference noticed power bank mostly charged needed charged used 30 days safely say great capacity holding charge phones devices charge s8 plus iphone 8 fitbit blaze week amazon fire tv dont power plug plug fast charge yes fast charges s8 plus means saves time hassle connecting wall charger yes wall charger still little faster wall charger uses 21 charging uses 20 charging think major positive used charge two devices good news 34 times used devices seen reduction performance quality keeps power going seems able support fast charging one giving consistent charge slot often charge maybe week maximum twice week charge macbook tried use one hour adds 12 macbook pro touchbar 13 worth long last lets say charge phones maybe 78 times total giving get one phone dies easily get keep charged suggest charge till 85 disconnect two phones good device long take charge never measured accompanied cable samsung fast charger adapter charges 6 hours 100 bad plug overnight drawback mi chinese company feel little bad using product good forgive political inferences thanks,2018-10-22,5.0
2,customer_review-RIAMXP1KGXIN3,Muffi.,"Massive Backup, Affordable price!",using product week bought redmi note 5pro battery capacity 4000 mah things keep mind 1 important capacity battery 20000 mah actual power 13000 mah claimed mi website due conversion loss technically charge phone 3 full cycles answer yes big thumbs side 2 simultaneously charge 2 devices casual test worked fine 3 throughout week tested phone using single port triggered qualcomm 30 fast charge heated device much acceptable attached screenshot quick charging icon visible phone connected single port powerbank 4 bcoz bulky size putting external cover gripping advisable purchased silicon cover separately 5 overcharge shortcircuit protection company claimed 6 pocket friendly overall happy purchase considering price performance ratio would definitely recommend anyone travel require external backup source,2018-10-29,4.0
3,customer_review-R30ZOWYA7Y6ZOX,TECH-KNOW-LOGIC,Worth Purchasing! It comes with good efficiency,using since 6 months trust power holding capacity particular power bank wont ever disappoint since 10k mah quite heavy xiaomi takes enough time charge trust fully charged going get discharge standby power bank heres buying tip sales come wait purchase sale,2018-09-29,5.0
4,customer_review-R3OF8M6XEMR5NC,Prayaskumar Kanhekar,Review after 7 day's use,procs 1 good material 2 good backup battery life 3 excellent built quality 4 light weight 5 extra slim mobile 6 better charging speed two mobile time 7 durable due aluminum body 8 value money 699 630 cons 1 worst recharging speed takes around 810 hours 2 typec option variant 3 typec connector including box 4 led torch option give 4 star 5,2018-10-28,4.0
5,customer_review-R3KG0FSRMIZPF3,Shefeek muhammad,Hated it,bad experience thisproduct takes 12 hours fully charge charge iphone 6s twice extremely bad first powerbank hate think defected peice,2018-09-22,1.0
6,customer_review-R3F7NCE9MW4842,joravar singh,Affordable and efficient,pros affordable long life goos charging speed great metal feel cons impact resistant bad durability charging cable provided average packaging summary good product products taken care handling well would suggest buying anyone looking affordable power banks,2018-09-18,5.0
7,customer_review-R2W3FFQHGTOB3F,Krishnaraj R,Poor performance,dear frnzi havr bought many prod amazon never given single bad feedbackbut prod wrst u get charging 3000 mah lenovo phone took 8 hrs saymoreover refund replacementpls dont buy brand,2018-09-11,1.0
8,customer_review-RZWJEAFIDZ6SF,Rekha M.,Not good Power Bank,mi 10000mah morui mo10 comparison would like make review mi power bank purchased last week first disappointed 10000mah power bank charged coolpad 2 times goes dead mobile 3000mah consistent sometimes charged phone sometimes sister bought morui mo10 power bank one best morui power bank charged phone 3 times weight mi morui power bank return window closed return product want suggest morui power bank reather mi,2019-04-04,3.0
9,customer_review-RVW00AHVN54E9,Deshdeep Hira,"Must buy under 900! Not to leave under 800! Best finish, safety feature and slim design!",real review bought 900 used 1 year pros metal finish slim design strength thick heavy comparing syska sony better 2 usb port 1 fast charging 30cm white data cable well built tangle free flat durable design charge phone fast really backup come 78of 10000 mah 7800 mah come may reach 85 regular good use get charged5 hrs charge phone 100 samsung galaxy a72015 battery 1 half hours cons really find con conclusion need decent power banknot much costlyvalue moneysleek fancyits better available 1000 really tried syska sonyambron note better design capacity fast charging gave 5 stars good line security features see specification thing like power bank inportant safety feature missing cheap power bank,2018-10-29,5.0
10,customer_review-RMDEQP011FZSX,Omkar,"Lookwise best product, but performance wise unsatisfying product....",looks awesome slim aluminum body matte colour gives beautiful finishing performance wise 10000 mah power bank ive tested 6000 7000 mah power bank one important thing havent fast charging feature takes time regular charger ie takes 0400 hrs charge 3000mah battery normally takes 2 0r 2 half hrs 0 100 charging,2018-10-21,2.0
11,customer_review-R198PHXT8R1P1U,Ram raj kiran,Waste....,working properly one monthwaste product dont buy,2018-10-11,1.0
12,customer_review-R19M6H59DVZ8U2,Karmic Voice,Great value for money.,bought three 10000 mah power banks mi far first piece bought silver body different size fatter current version first purchase developed issues addressed center got replacement built faith brand must take customer care case issues even loose packing bill always invoice order details amazon account coming product power bank undergone makeover become taller leaner blue buttery metallic shell delight hold look bit slippery mi branding discreet 4 tiny blinking lights indicate level juice left one new feature double press power button safely charge devices like bluetooth headsets low power requirements two dual usb ports charge two devices simultaneously actual output capacity 6500 mah looking conversion rate around 90 expect two cycles charging 3000 mah phone battery reviewers got three cycles recharging device obviously smaller battery charging power bank overnight 67 hrs always get 100 charge power bank comes multiple protection features various kinds devices safe get charged pricing also right worth money charging needs higher go 20000 variant hope review helpful thanks reading,2018-12-21,5.0
