,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1YGJ6WEOVYAE7,Vishal,⌚ After 1 year review 😲,buy amazons sale cost around 16k 2k sbi return1k amazon cash back watch look good sensor working well feature like sos touch nevigation water resistance working fine comfortable strip look cool hand go power saving mode give really good battery life bluetooth connection give max 24 hours ya charging fast nice deal 16k 4 gear 25 battery,2018-10-17,4.0
1,customer_review-R281185IUYM3XH,c manpoong,Aftersales care,defective product supplied mereplacement given warranty periodhad replace gear hardwareverry sorry,2018-08-29,1.0
2,customer_review-R3FY7W46EREVDZ,Vipul,No Samsung Pay In India..This is Absurd,main feature bought watch samsung pay seamlessly pay without swiping card mst doesnt work india accurately work watch bought india buy watch abroad afraid samsung pay foreign watch wont work india guess bought outside india samsung pay watch works india stupid kept waiting update would fix avail sell watch 285 k skip main selling feature disappointed,2018-10-27,1.0
3,customer_review-RWL411CHFF5EQ,Amit Si,Absolutely useless product,oneplus 5 smartphone work involves lot meetings annoying carry around smartphone reminded meetings primary motivation buy gear s3 besides features provided researched gear s3 found could connect wifi independently hence dependent mobile phone alas models sold outside india india models access data via smartphone bluetooth means mobility restricted 100 meters phone kind sums entire frustration watch watch smart presence bluetooth enabled smartphone else dumber imbeciles namaste england theory watch claims lot things tracking movements notifying updates innumerable watch faces honestly fall flat without presence smartphone around add absolutely horrible abhorrent documentation samsung community centers community centers echoes wails similarly frustrated customers unable figure makes costly hardware smartwatch honestly purchasing would absolute waste money better buy fitbit fitness band,2018-11-01,1.0
4,customer_review-RIOIT65FPK50S,Shikhar Pathak,Absolutely top notch with some accuracy issues,looking buy smartwatch since last 2 years went lot research youtube videos finally purchase samsung gear s3 frontier smartwatch review based 10 days extensive usage watch divided review pros cons lets see one one start pros first pros 1 gear s3 frontier probably bestlooking smartwatch market gets tough competition fossil q marshall rugged metallic look finish gives amazing look treat wrist 2 big 46 mm dial gives clear vision time small detailings like heart rate calories burnt steps walked etc single dial 3 absolutely lag watch responses absolutely quick touch good 4 thanks tizen os hundreds paid free watch faces available galaxy store gives new look watch every day 5 calling feature best feature useful riding bike running jogging dont take phone every time see calling speaker sufficiently louder easily take calls watch without problems 6 push notifications absolutely accurate give lot options choose apps installed phone read reply whatsapp messages fb messenger smss well typing watch quite difficult due obvious small screens 7 dont use samsung phone connectivity issues watch whatsoever 8 rotating bezel job exceptionally well cant imagine next smartwatch without rotating bezel cons 1 pretty much disappointed accuracy watch heart rates calories measured sufficient accuracy steps count accurate counts steps even ride bike drive car 2 much miss availability samsung pay nfc watch available indian models hope samsung brings soon india 3 sportsman really miss sports modes watch badminton mode tennis mode watch present even cheaper fitness bands available market 4 wish samsung provided extra metal strap watch watch looks stunning metal band purchase separately 5 battery lasts 23 days keep watch switched use else even lesser takes good 45 hours watch get fully charged 0100 long 6 riding bike cycling mode gets automatically started shows lack accuracy looking great smartwatch many features surely one must go galaxy watch costly compared gear s3 additional features got watch 15990 prime day super happy find review useful mark helpful others may read get information,2019-07-28,4.0
5,customer_review-R3FDVMZE571QIM,vidhu,Zero for water resistance and customer support!,hello brought samsung smart watch january 20193 months back issue device continuously rebooting took service center found water presence inside watch said wont covered warranty also total amount repair around 16k 80 watch cost wore watch rain comes surprise watch claims sports watch used 1 deep water 30 min showing problems mild rain would also like know samsung cheating customers showing wrong specifications searched reviews watch found many customers issue none acknowledged team giving reviews product least thing moment since samsung unable help issue customers mislead planning compliant consumer court could please help escalate matter samsung improve product reputed company like samsung totally unacceptable release product without giving accurate specifications,2019-03-16,3.0
6,customer_review-RGSBJMKKMLSDC,TTS,Good to have if you have extra money !!!,brief find useless read find bought looks incredible physically however standby mode screen degrades quality faces look low res used iphone good watch faces seriously good watch face one comes stock 2 circles sides one weather one sunrisesunset time want watch following looks amazing manly shows time times shows weather shows steps shows calories burned displays notifications rest optional always display lasts 1 day continuous heart rate feature die go bed gps tracking die less day sleep tracking battery left track sleep youll likely charge night map app gps directions cant use guide around cool spinning gear gets rotated due rubbing clothes triggers watch wake distracting people wasting extra battery etc emailed samsung included option disable gear waking watch latest software one feature great take phone calls wrist speaker loud clear makes phone calls anymore used feature less 5 times 1 year another feature thats great able play music right watch built speaker love ability dont seem many opportunities use id rather use headphones go bluetooth speaker home finally big standard men watch 42mm 46mm quite high due rotating bezel ive gotten used size clothes havent dress shirts feel tight around wrist watch wrist hurt wear winter jacket thats tight around wrists keep warm nowadays sits charger dont much opportunity use,2019-02-11,3.0
7,customer_review-R2T98QU99TJOJ5,ANUDIP S.,BEST SMARTWATCH EVER...ALTHOUGH MISS THE E-SIM FEATURE !!!,using pebble smartwatch used give 710 days battery lifebut needed upgrade researching lot thought buying works iphone tooalthough cant use features iphoneit still important ones love apps available app store watch faces awesome love store music iti dont need carry phone music running anymore gps almost perfect par garmin heart rate monitor good perfect swivelling bezel love mostit feels awesome use watch although bit big light perfect type work leisure workout,2018-11-09,5.0
8,customer_review-RU6UHNHRXIN92,Anto James,best Android smartwatch till date,best android smartwatch till date paired note8 combo beast although iphone users also pair recommend samsung phone users go phone elegant rugged classic time,2018-07-18,5.0
9,customer_review-R27J08ZLX8G5U5,Mithun K Pitchiah,Good Buy!,bought watch sale 20k features device simply superb watch face makes look really cool battery life great bad either fair usage looking average 2 days takes around 15 hrs charge watch watch sort big size comparison smart devices might suit people thin wrists also seems heavy watch paper daily use feel heavy far fitness side concerned awesome device monitor steps running cycling sure comfortable use workouts sleep tracking keeping size weight mind overall happy purchase,2018-10-26,5.0
