,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3ADBVD2RD1K55,Rajneesh Jihan,Go for it...,loved much per expectations good looking value money go without fail,2018-08-19,5.0
1,customer_review-R3G5Q08N82BAHG,Anandhu M,Excellent watch. Satisfied,excellent watch worths money consists dual timing system timer also programmed calender sleek design fits wrist perfectly watch awesome satisfied product amazon proved quality,2018-11-15,5.0
2,customer_review-RHSS6XICAMEEQ,Visakh.V,Very good..,goodit little hard see time daylightbut still superb watch price range,2017-11-21,5.0
3,customer_review-R2HUBP1RQY9857,Shubham Rathi,Just go for it.,better expected rs 695 cant get better purchasing worried quality strap really ok little bit problem watching time sunlight managed overall decent watch cant purchase fossil,2018-10-16,5.0
4,customer_review-R1MVUGFNE67VAJ,Avinash Singh,Cheap & best,good product intelligent marketing digital watch seen since childhood design makes worthy buying option sturdy light compact isnt better option price point dont expect gshock,2019-02-01,5.0
5,customer_review-R3W25WHWZYXF8M,EV,Good product; Feels a little over priced though,great respect looks functionality view angle dial comparatively narrow making quick glance time difficult also free loopor free ring little loose make strap periodically move,2018-07-22,4.0
6,customer_review-R2LO5XI7VMM2D,Aman Mishra,Worth the price.,almost year since purchased watch rs 790 working fine ive used rain also kept working pros splash proof durable ruff tuff alarm light basic features like stopwatch timer cons sweat get deposited around back side watch creates wax also band watch,2018-08-27,5.0
7,customer_review-R3C2N7X3SZO647,Shaaz Shaikh,Do not buy this watch,bad quality strap joint simply broke pieces months use without external force applied request refund,2018-08-16,1.0
8,customer_review-R25XC7BNC44IR2,Rohit Ku. Dwivedi,nice looks and functionality,product value money wish digital watch wrist built quality good comfortable strap nice big inverse polarized display due screen black numbers text white watch contain features normal digital watch contain dual time timer along stop watch watch gives good sturdy look worn whole day wear watch 24x7 felt specific problem till problem may occur cover display made low strength plastic easily gets scratched try avoid damage screen careful screen looks get dull screen even little scratched,2018-09-22,5.0
9,customer_review-RIR2ARFTWCS1M,Ramamoorthi,Unsatisfactory,watch highly unsatisfactory dial clearly visible even daylight back light also powerful regret bought watch,2019-03-21,1.0
10,customer_review-R37JUOXZQM7K9C,Surya,Nothing special about this watch,found nothing special watch looks good thats todays life kinda simple digital watches also available roadside cheaper price,2019-01-17,3.0
11,customer_review-RJBSXH3OW31U6,Deepak T,Fit Perfectly for casual and formal look,look cool made good quality plastic band flexible clock international clock alarm daily particular date snooze every hour countdown timer timer light full dial get light datetime day dial big look ok,2018-12-28,5.0
12,customer_review-RYHVBNVKEGBL9,Shantanu Datar,Fabulous Watch,1 month im using watch went snow trekking temperatures ranging 1 10 degrees watch stood terrific conditions also swimming many times watch totally water resistant led light great little tedious set time beginning get gist super simple highly recommended,2019-05-10,5.0
13,customer_review-RUX2DPB2P6K6O,Dinar Popat,Fake Product,bought watch 2times time problemno doubt got refund times 1st time defective piece 2nd received fake one ordered 3rd time lets hope best,2019-10-12,1.0
14,customer_review-RD00G302AHETJ,Amazon Customer,Good product with decent quality,value money quality good rusting months good maintenance seems fine water proof 100working stylish good looking may asked whether smart watch,2018-08-26,4.0
15,customer_review-R3V2FGOPB0TLX9,krishna sharma,ITS SEEMS A HIGH QUALITY PRODUCT STRIP QUALITY AMAZING MAY BE IT IS A CHINIES PRODUCT BUT ITS ...,using watch 6 month using long writing review big dial lover professional look iconic watch price light weight stylish look friend want know sound hmmmmmmmm great material quality awsm seems high quality product strip quality amazing may chinies product feel like brand,2018-07-10,5.0
16,customer_review-R14GP67933C05V,Amazon Customer,Beautiful Product,writing watch year date purchase even year body like new one color remain although face constant rain monsoon ruff tuff kind watch highly recommend one rusty lifestyle like,2018-12-30,5.0
17,customer_review-R3LOUX7SCXZNLU,Pankaj tiger,Skmei poor quality watch.,watch shown lookimg premium got found made crude plastic look clumsy poor display colour also different wonder folks amazon care ur customers overall product poor,2019-05-24,1.0
18,customer_review-R1YFRASZ25V3IQ,chaitanya a v s g s,Best Low priced watch with timer,best watch good looking timer stopwatchalarm else ask low price,2019-02-04,5.0
19,customer_review-R3SDKF5I0ALUFN,Jayant shingar,"Killing it 🤩 , fully stylish 😎",wonderful amazing watch watch pure sport watch without dailer beautiful reality love one well get following features 1 operational manual 2 real time time date 3 daily alarm sound snooze 4 chronograph stopwatch split counting 5 dual time 12 24 hrs watch 6 timer mode amazing features well get watch 1 thing want mention watch looks better reality also 100 waterproof mentioned specifications product details u r wishing sport watch u go highly recommend side 1 thing remember watchs beltstrip fully wholes fitting adjustment better 18 boys due watch zise vs wrist size loved,2019-11-16,5.0
20,customer_review-R1K5O8H5R0MP42,Keshav chandran,Nice item at a great price,look inexpensive watch mainly motorcycling trips something didnt need take care could use rough weather watch came good option lightweight seems built touch one star less screen protector sticker hard take finally use pin yank long term review come months far satisfied 500 rs used 800 km motorcycle trip perfect absolutely worth money,2019-12-04,4.0
21,customer_review-RO3CK627WQSQW,Nikhil Soni,Great buy worth a try,another great one amazon great packaging watch came good condition stylish accurate vest price range worth try update review 6 months usage,2018-01-29,5.0
22,customer_review-RNUZK9E36LMBQ,Prabhas saxena,Very nice watch.,product review watch great shown pic pocket friendly dial neither big small perfect looks good daily office use also young boys seller review seller pathetic sent said rejected piece scratches glass screw place even box skemi warranty card user manual temporary lamination glass missing returned planning reorder suggest amazon check particular seller,2019-11-03,5.0
23,customer_review-R1ZJQWNSJ7WOJ4,Dishank R. Gharat,Amazing and stylish!,bought watch 600 rs worth value get features describe looks pretty cool hip issues digits dont look clear thers little lightthe belts seem weak im always worried pull little hard theyd breakbut overall watch worth price,2019-04-22,5.0
24,customer_review-R17C30DXFPFQ70,Amazon Customer,Wrongly products information showing display not visible,display good visible per value 650 good value amezon plz dispatch material per details given,2019-05-07,1.0
