customer_id,customer_name,review_head,review_body,review_date,ratings
customer_review-R1S8NLDIWQ3V1P,ShivamKrishn.,Do not waste your money,im tech savy person doesnt buy anything without proper research beleive guys touch pathetic laggy responsive would expect wait mi band 4 buy save money thank later kudos amazon service,18-07-2019,1
customer_review-R29WMG4TYGHUUB,Hari D,Not likable for everyone,update battery life lasting week 30min internal automatic hr backlight turned lifting wrist view slight increase brightness completely disabled hr still lasted 12 days see attached screenshot summary would returned option considering made adjustments able accept one limitation font size small eyes able recommend personal experience see pluses minuses could sway someone feeling 1 star product 5 star product like comfortable completely forget even wrist wore samsung gear fit 2 pro used keep conscious especially go bed blip light comfortable enough dont even think size also big used women see pictures well wife wearing also dont watch moving wrist even though dont wear tight another problem samsung watch display expected comes transflective display reduced battery consumption wont look bright colours would look washed plus side read watch bright sunlight samsung band display looks excellent falls short 2 days battery life remember charge every day willing compromise display quality additional battery life readability bright sun light people reporting bip light worse display bip think plain mistaken watches identical displays respect technology resolution size see attached pictures indoor backlight outdoor without backlight mifit app lot desired bad like fact sync data easily google fit something couldnt samsung band able get couple additional analytics sure data lost stopwatch countdown timers work well without phone option illuminate display lifting wrist works reliably aids better readability dark environments also way disable disturbing night dont like activity tracking yoga stationary nonrep activity found workaround tracking hr activities start walking activity watch time start yoga activity google fit done stop activity places watch save activity enough number steps hr data still saved sync google fit able show hr data notifications dont get grouped go end clear option increase font size default size small bare eyes forced use glasses also unicode characters dont get rendered properly show question marks support notifications android work apps however found workaround watch cant actually distinguish personal work apps enable notifications personal app corresponding work app also show dont use personal google calendar enabling notifications gets google calendar notifications work profile way enable notifications hangouts chat work profile install personal profile even login enable notifications ondemand hr notification modes customizable cant distinguish notifications without looking screen belt long sometimes gets way wearing hole 4 10 holes lean cant imagine anybody hefty enough use 14th hole manytimes incoming call alert keeps buzzing 10 seconds even call answered progress click ignore stop accidentally clicked reject ongoing call got disconnected instances took short call even ending call watch continued vibrate another 4 5 seconds mifit app way delete incorrect activities sometimes scooter rides somewhere closeby car rides traffic jams get detected runs way delete myth busting read number existing reviews opening box number made scared enough want return without opening however realized non returnable decided try anyway realized many reported issues incorrect clarification myth buster style incoming call alerts take seconds show case call alerts always showed almost immediately sometimes 1 2 seconds delay busted watch shows time 24hr format true default watch face shows time 24hr format watch faces show time 12hr format also show plenty information screen along time busted watch counts steps riding vehicle noted step count several rides count changed minimally eg 100 10km drive tried riding scooter road lot pits broken pavement speed bumps tried go much speed manage yet count hasnt changed however seen least couple cases count changed shouldnt eg wake morning still bed seems plausible though dont think big issue bluetooth weak people reported watch loses connection phone even 10ft phone connected charger corner bedroom everytime step bathroom side gets disconnected like 15ft away confirmed sleep tracking inaccurate sleep tracking seems accurate though score questionable time going bed wake correct anytime get bed middle night shows awake however watch way knowing truly fall sleep bands busted hr measurements accurate spot checked hr using pulse oximeter close see attached pictures busted touch responsive mine works fine seems responsive accurate eg touch small triangles increase decrease countdown timer touches get detected accurately however possibility people received watches faulty touch sensor plausible,08-08-2019,3
customer_review-RPSOEYPRV9LG9,Apoorva Malpekar,A marvelous Smartband to own.,got beautiful watch first day launched amazon prime day sale got 3600 hdfc discount coming watch marvelous display watchface great thing display sunlight good display would problem view bright sunlight amoled watches first installation took 20 minutes watch upgrading optimizing ui bit choppy compared samsung huawei watches still expect fluid ui pricepoint view whatsapp notifications mail notifications sadly cant reply best usp watch watchfaces watch darling developers 5000 free watchfaces swipe around installing another app battery life checked drained 10 percent day one may go around 15 days ps lift wake hrm time turn would get battery life biggest surprise came found watch compass pressure sensors although may use often still nifty feature overall best smartband buy within 5k price range,18-07-2019,5
customer_review-RK982HLB1LXC7,Sanjay,Highly inaccurate,used three days feel fit product need precision physical activities display poor screen size small compared dial size fonts look unimpressive old style colours weak coming foot steps highly inaccurate take around 6500 steps every day showing 5200 even distance shown correct would give three stars looks build quality good strap also good performance good want return,20-07-2019,1
customer_review-R12NW18VV1G6G5,Alex C. Punnen,Stable and as advertised,wanted minimalist light weight water proof watch see time clearly even without specks good watch face got mine amaxfit bip tools paid app important millieneils like always display great see sms notification configured via app ever important stopwatch count downtimer plus good interface workout gps music control ignore hangup calls phone run hobby never use watch however interface seems easier intuitive overall great well company provides music control app call trigger app,18-07-2019,5
customer_review-R3DIGXLMSAUCON,Nishant,Best cheap smartwatch out there,two things smartwatchfitness band must 1 long battery life dont like charge watch daily 2 alwayson screen watch afterall watch good accounts battery life amazing display ok wish pixels colours dull without external light shines sunlight great step counter around 75 accurate adjust goal accordingly major complaints overall difference lite nonlite version gps altimeter dont care two things go lite update charging 100 day 1 still 31 21 days great watch complaining display want watch movies watch display decent enough read clearly sunlight step counter also decent used smartwatches past knows value battery life charging watch daily headache,18-07-2019,5
customer_review-R1ISWNVTX7ZRM9,Vikas,Honest review after 10 day usage.,1 oky finally looking watch long purchased 3340 amazon prime sale 2 display average 3 performance good 4 honestly changing watch left right wrist first wore single hand started etching 3 days 5 battery life good dont put heart rate sleep mode 6 put watch heart rate direction onn every 5 minutes night start sleep direction battery life 7 days 7 tasted water proof claim company good u wear rain,18-07-2019,4
customer_review-R3KRNCNE6NVM4K,Mritunjay Kumar,On the name of smart watch its a square version of fitness band,usually dont write review dont want customer aor indian rupees stupid chinese crap features smartwatch think heart rate footstep counting nothing called smartwatch like recording camera answering call wallpapers features gps youre usually carry smartwatch gps assistance currently smartwatch foot step counting feature compare single features mi band fitness band amounting rupees 2000 around beware 5 star ratings bit conspiracies bye seller brand supervisors make five star ratings buying making certified comments ratings 2 compare feature smartwatch dont think feature smart band fitness band,24-07-2019,1
customer_review-R3UOKMUYFLN9AB,Amit Singh,Very nice watch.,watch light weight limited watch faces add using third party app watchface overall watch nice,18-07-2019,4
customer_review-R2ONIIY9M0JM3W,G RAMESH,Waste waste purchase,worst productplzz dnt buyu cn return u get defective product complete loss,18-07-2019,1
