,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R2QI4SZOOPLH3Z,Manoj l.,Sound quality not so good,bought reading many reviews amazon sound quality average similar cheap price product market audio clear bass like music bass speaker works like charm bluetooth connectivity sound quality gets distorted seriously looking good quality sound output decent bass speaker one consider giving trial bought mifa a1 surprise one waiting sound quality superb brand claims speaker actually water resistant build quality great battery backup surprisingly good main difference jbl go mifa a1 1 sound quality clear powerful mifa a1 jbl go sound starts cracking increase volume 2 battery backup mifa around 8 hours whereas jbl 2 hours 3 poured 2 glasses water mifa affected operation sound jbl even think 4 bt version jbl go 41 whereas mifa a1 42 version 5 size lookwise mifa a1 better jbl go,2019-03-18,3.0
1,customer_review-R2XYT07VVSULU4,Manisha,Highly overrated product.,average speaker bought watching movies mac book air loudest volume equal laptop quite low performance bluetooth doesnt password anyone connect pretty frustrating brands like boat etc much better recommended,2018-10-05,3.0
2,customer_review-R2Y5CISYPYQLXH,AKASH PADHI,Go for it ....fabulous product,excellent product jbl really loved sound compactness portable speaker made music lovers connectivity also easy fast durable definitely recommend buy best part aux put mic allows speak mic u attend phone call really clear sound without noise one thing noticed poor performance comes battery lasts hardly 4 hrs u play nonstop music loud volumebut apart fabulous product go,2018-11-12,5.0
3,customer_review-RQLHFZ36I91P8,Sachan.Rishabh,Compact Size. Big Sound,excellent product jbl really loved connectivity 910 prosbluetooth version 41 make connectivity easyfast consthere password facility may bother someone love personalize things issue options connectivity 1010 aux input mic allows speak mic u attend phone call portability1010 portable speaker made music lovers compact light weight easy port anywhere enjoy music sound quality sound quality speaker excellent base able full 1010 room completely 31w rms sound output fantastic color options 1010 ordered teal color also available different colors following teal yellow pink blue grey orange red black nobody dissatisfied many color variants choose one love battery performance 810 lithiumion polymer 37v 730mah battery slightly weaker famous brands like bose amazon basic big difference gives upto 5 hours battery backup full volume sufficient brands give upto 6 hours battery back full volume big difference matters best thing takes 25 hours charge fully pricing 910 price genuine per quality brands also price range price competitive finally say must buy product,2019-02-24,5.0
4,customer_review-R22PR6V4ZO7QI2,Pash,Small but powerful,superb voice good copy songs get feeling fullness voice room 10 x 10 feet size bass little less expected listen old melodies indian classical etc sufficient enjoy gets connected easily android phone pick answer right speaker didnt check battery power cant comment,2018-09-06,5.0
5,customer_review-R73OMGWNUTD3N,Sumithra,PAUSE. Now I've got your attention.Read this👇👇to,truth told im much techie person youre looking really professional review using big terms looking opinion product techie point view dont read review however review ill give honest opinion product normal persons point view sound quality speaker excellentmaybe good bose something like thatbut youre looking speaker purposes varying chilling friends sleepover simple dance rehearsalthen highly recommend also light weightand easy carry around one carried pocket colour ordered hot pink one bright great want make statement leave somewhere forget someone probably call upand also probably return back pink attractive theyve noticed itor might notyou know might take themselveswho knows youre looking speaker begin withthen go itbuy ityoull love,2018-11-23,5.0
6,customer_review-R67FN0B9D9PJ6,Pritha Sarkar,7 reasons why should you buy JBL Go Portable Speakers,1 portable jbl go portable speakers light weight easy carry extremely portable device play home carry anywhere go 2 price many times price branded item stops us buying case jbl go portable speakers particular model pocket friendly even students buy pocket money easily available amazon flip kart offers jbl go portable speakers amazing prices discount seasons 3 colour variants red colour jbl go portable speakers available many different colours like black white yellow orange pink blue many pick colour choice eight available jbl 4 rechargeable battery jbl go portable speakers comes built rechargeable battery supports 5 hours battery life 5 great look feel jbl go portable speakers great look amazing feel great sound quality 6 wireless bluetooth streaming jbl go portable speaker comes high quality wireless bluetooth streaming facilities enables connect easily tabs laptops phones 7 speaker phone one take calls speaker touch button crystal clear thanks noise free speaker phone,2018-10-30,4.0
7,customer_review-R3PLNFZRDP7PB7,Kartikey Singh,Pocket mein rocket hai!,15 years since time purchased beauty without doubt one best purchases ive ever made good sound quality good bluetooth range reasonable battery backup 56 hours nonstop music portability beast ive literally carried pocket numerous treks hence title rough tough fallen quite number times never sustained damagesstill works like charm high return investment sound isnt powerful big brothers delivers lot youd expect bought speaker wanted blow room thundering music low budget used speakers cheaper wasnt satisfied onebit used speaker good price range close eyes go,2019-06-27,5.0
8,customer_review-R33EIEE0RZWIOH,Abhishek Gowda,Crystal clear bass,received product today love product sound clear good see using long time good experience speaker friend using speaker long time worth buying 1399go,2018-11-04,5.0
9,customer_review-RUD8UBKALDTVO,Prashanna S.,Great Value for Money,got 1399 rs sale price sound im getting surprised actually quite loud youre going use casually music go even use mic comes device speak someone phone great looks feels quite premium cant find single negative product far using week clarity bass decent mean going beat dedicated expensive stereo home theater day size price utility offers well worth,2018-11-02,5.0
