,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R9V3EN8BW2I5E,VinSeeTech,Nice Product,good picture quality prize excellent night vision pan selection uncomfortable application software change arrow selection rotation also suggestion update application software customized auto rotation,2019-01-14,5.0
1,customer_review-R2C3KH67LQAVG,prateek vishwa,Its not a Panoramic Fisheye CCTV camera but otherwise amazing!,using camera around 8 months quite happy purchase easy setup picture quality good less covers everything may looking cctv camera price range customer care support quick responsive stuck help,2018-12-14,5.0
2,customer_review-RL5UOZCYXBR9J,Sudipto,Amazing product,installed yesterday impressed product first purchase eof kind installation piece cake performance really impressive infra red thermal imaging working beautifully well night image bw though visible light takes camera respond tilting command given smart phone could due network delay well could see home entrance camera installed office without using could imagined performance possible tested audio quality course know long performance last sd card also yet installed hoping would also go good far thanks manufacturer amazon,2018-09-17,5.0
3,customer_review-RNFDRDH292U98,BNM,Excellent Product,wonderful camera works advertised initially problem installed wrong app call d3d play store installed imegacam right application working like charm able access camera anywhere though external network really magic product need open ports router special settings simply amazing called support center times wrong app working helpful provide prompt support whatsaspp dedicated number highly recommend product ease use,2018-03-16,5.0
4,customer_review-R6XA1ILD6JZCF,Anil,Very bad quality .. dont buy it !!,product like ip camera buy got replaced still facing problem would get heated stops recording hours blew one sd card started saving data local mobile would hang hours 24 x 7 monitoring feel lot fake reviews site aware another chinese ip camera buy rs 500 dont buy,2018-05-05,1.0
5,customer_review-RV1GED9D8Q0JY,Ravindra,Good Camera but pathetic App,ill share hands experience product 1 installation camera setup quite easy elaborated setup manual 2 customer care support whatsapp indeed appreciable technical issues like time setting etc seller responded well 3 picture quality good great cant expect hd quality video price 4 speakers arent good dont expect great two way communication moreover mode communication like walkietalkie 5 vdos accessed viewed thro app app basic definitely improved 6 vdos maximum 10 minutes duration 7 motion detection mode vdos r 1 minute duration therefore large nos vdos stored locations movement people 8 app doesnt fast forward option vdo player therefore cumbersome monitor specific movementclip vdos manually trying move vdo player cursor generally results skipping clips videos played app look fine videos upon downloading ur phone videos play sound pathetic overallits good product ive installed camera covering hall kitchen area home wanted keep watch 2 years old twins serving purpose biggest drawback camera works 1 app seller given us options app,2018-10-06,2.0
6,customer_review-R29X2QYDW10YGY,sachin,By far the best standalone cctv..5 🌟 for me,using cam past one year read lots comments complaining applinking mobile people dont understand volume phone needs kept full linking itden phone gets connected cam anyways far best camera amount connects mobile hotspot also jio 4 g net best feature 2 way communication talk kid seeing audio quality average issue night vision also good motion detection abit problematic even cloth moment gives alarm close function,2019-04-10,5.0
7,customer_review-R1Q0C1AHA718O9,Pallav,Really good CCTV,720p picture quality reasonably decent night vision actually great sound quality decent clear sounds sides captures kids tantrums well ha ha fun moments instantly downloaded phone mail motion detection works flawlessly setting camera breeze working absolutely fine last 2 months controlling camera movement phone app works great records 10 min video splits fine watching straight camera involve buffering issues great camera overall,2018-10-16,5.0
8,customer_review-RRKUBD8WVYX6Q,Hassan A.,It can be used on LAN only not on 4G networks,short hidden information hide manufacturer product works internal wifi connections 4g described purchase informed needed atleast 4 mbps connection view external network mine 16 mbps still working said upload download 4 mbps know prescribed ware description never purchase product poor wast product wall,2018-08-16,1.0
9,customer_review-R19RP4XH7GPOJ8,KA,Waste of money,quite difficult install camera instruction manual wrong many places instructions model even made work somehow got installed outside house carpenter electrician effort worked 23 days stopped working light goes app shows camera disconnected contacted given helpline whatsapp number took many days reply even replace window closed amazon total waste money,2018-07-28,1.0
