,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1VGE9TYEDLV7F,Snigdha,Three Stars,good product wid price,2018-07-15,3.0
1,customer_review-R15JK6E8ZJD165,Sandeep,Good quality pictures,used recent trip rajasthan quality really good lacks less clarity night like manual function u use ur photography skills accessories good,2019-02-09,4.0
2,customer_review-R1643I5YCU2Z36,सुशांत इनामदार,Good Camera for Rs.13990/-,get accessories described advertise even possible authorized sony center got camera lens cover camera bag 4 nimh rechargeable batteries charger remember dslr dont expect results dslr camera overall photo quality good rs13990,2018-05-10,5.0
3,customer_review-R22MQEG36IB9F5,Dinesh K.,Picture quality,picture quality easy use beginners awesome camera perfect shot sony camera sony,2019-02-26,5.0
4,customer_review-RFNPGPGT45VW7,Kence Georgey,Worth for its price !!,sony camera worth low price picture quality excellent problem aa battery charge inserted camera charge via charger,2018-12-13,4.0
5,customer_review-R1RML76M4J1VBO,Richard K.,The product is good. But would like to know where the camera ...,product good would like know camera case isas advertised camera case sent,2018-05-15,4.0
6,customer_review-R3G2HGBG6H6XSG,Anand,Bad display.,worst product connectivityonly connect laptop usb poor displaypoor display means everything looks poor trying take photo touch screen motion photos means stable things captured old poor photos quality mobiles better dont come lence lence means everything photography fun cant return cant afford buy range understand value lence photo avoid see display believing look good laptop go,2018-11-04,1.0
7,customer_review-R31B310857C0O6,Satyam,Picture quality is very nice,got 4 rechargeable battery sony charger lens cap camera strap 16gb memory card,2018-11-09,5.0
8,customer_review-R6LXQZVTJWUNR,Amazon Customer,Awsome product. Satisfied with seller,awsome got 12990 offer picture qiality good needs precision expect dslr quality though thats quite impossible price range useful beginners must go coming seller satisfied seller required accessories included package starting 16 gb memory card rechargeable batteries charger really nice product,2018-10-29,5.0
9,customer_review-R1G8EMJ4IUW2I4,Prasad Koduri,not worth the money,better quality camera mobiles price range,2018-10-02,1.0
10,customer_review-R1EF4OV2CPRWOH,bhushan durge,Bad image quality. Very bad low light and portrait mode.,didnt find much useful automatic mode doesnt set proper iso poor performance low light even mobile cams portrait mode worst one even increasing pixel size pixels appear image remember u cant return product replacement available careful,2018-11-21,1.0
11,customer_review-R3ITREGKTCF7FO,Amazon Customer,Please go for DSLR camera.,old model go dslr series useful camera get better features mobiles u r looking beginners camera go basic dslr sonycanonnikon user canon 1300d dslr camera,2018-10-07,1.0
12,customer_review-RWYXAEU9O8GKQ,Adiboy,Don’t buy misleading description and questions answer,totally misleading works 4 aa batteries 2as mentioned description comes 4 normal alkaline aa non chargeable batteries 8 chargeble batteries charges mentioned questions reviews totally completely misleading finally managed return refund,2019-06-21,3.0
13,customer_review-R1H7SRWT9PGJ72,Ayush Verma,VALUE OF MONEY,received sony camera sony bag sony battery sony charger sony rechargeable battery 16 gb sony memory card overall everything best thanks amazon,2018-11-20,5.0
14,customer_review-R3OTEQC4KFP0UE,Shamita Bhattacharjee,Battery woes.,camera alright received 4 perfectly sealed drained batteries ran pillar post find camera getting switched never could imagine batteries useless buy 4 chargeable batteries alongwith charger worth rs 900 cheap tricks avoided company,2019-08-20,3.0
15,customer_review-R1OP5K1K00C542,Shakeel,It's features,cyber shot easy us didnt like lack latest features like wifi nfc,2018-08-12,4.0
16,customer_review-R1UIIJT7UXRJNY,COMPUTER HOME,USE LESS amazon,given rechargeable batteries charger mentioned advertisement,2019-05-02,1.0
17,customer_review-R38RR1Y1QL59LW,Dr M Murali Krishna Kumar,good camera,good product dont try take picture moon,2018-08-24,5.0
18,customer_review-R1KZ1DZBHSVFEM,Jayanta,Average Camera. With great day light capture,first camera made low lightbut capture good photos day lightwell upset seller given rechargeable battaries charger decent job looks like dslr uploaded photos,2019-11-14,4.0
19,customer_review-R376E3OPL3UFU,Ramasamy,Camera not starting,bought sony dsch300 set language time date entering info pressing ok says go sonynet info press ok camera switches camera working fine changing sony rechargable batteries,2019-08-18,4.0
20,customer_review-R3JVEY04TA3RCR,Disappointed Buyer,"Medium quality camera, a budget smartphone can beat the picture quality",pros 1 affordable cons 1 medium quality camera budget smartphone beat picture quality 2 body lightweight fibre body metallic sturdy like older make2015 happy camera build quality suggestion go shop feel body like make purchase verdict gone cameras higher quality features body quality,2019-06-25,3.0
21,customer_review-RDXFPHQ5V6SVQ,dinesh MK,Worst picture quality i replace one time but in that also same problems,picture quality worst dont buy camera go another model replace also problem countinus went sony service center also treating worst pls go canon better,2018-10-13,1.0
22,customer_review-R1Q5HHZLMKSY1,shabeeb uk,Overall bad experience in why of out put,zooming image low quality normal day light full grance manual function complicated worth money product,2019-07-24,2.0
23,customer_review-R1C1ACMAMLJ8WN,Amazon Customer,very very bad experiance with defective peace. display and lend are not working well suddenly failed,picture quality average due defective product received bad experiance product,2019-02-23,1.0
24,customer_review-R33ED0FB74AH0R,Srinivas Goske,It's not worth it,hi purchased sony dsc h 300 camera quality good batterys need changed frequently camera settings also varied hope tried explain issues,2019-05-30,1.0
25,customer_review-R3LKXAZ0C8F5V3,Panicker,Waste product,old style product handy uses old style pencil cells wanted replace product sony one seller agreed,2019-10-21,1.0
26,customer_review-R3JWATYSPJC4CM,Amazon Customer,Excellent but complicated,excellent pictures create magic photography main problem settings complicated beginners auto mode ok ok time learn setting pro camera sony always rocks,2018-05-22,5.0
27,customer_review-R3IS9S8PNTOAU1,Vikash Kumar,Not happy,good better good mobile spend money buy big one,2018-10-02,3.0
28,customer_review-R1ZOFBSQL4CDCM,Leandex,Good but focusing,picture quality video quality good problem focus fast accurate zoom takes time focus objects get price range,2018-10-21,3.0
29,customer_review-RU3Y8C7EHXEOT,Milan Pratap Singh,Don't buy.. .,awesome camera sony bt please dont buy gud days cameras available jus increase ur budget little bit nd go another device like dslr,2018-10-12,2.0
30,customer_review-R3VZ753AFVO48Z,sandeep sane,Four Stars,nice camera,2018-07-02,4.0
31,customer_review-R2ATBQN46ZR4LW,Santhosh Kumar,Like it,good,2017-09-08,5.0
32,customer_review-R1DTEU3V9XF7EA,Sreedhar,Please Don't waste your money on this camera.,bought friend beginner quality pictures poor mobile camera shaky images coming everytime even take photos shaking camera,2019-02-06,1.0
33,customer_review-R3T5IH8JSSB9DG,manikandan p p,Poor Camera,poor quality camera taking pictures camera goes offautomatically switching offif possible please take back,2019-04-19,1.0
34,customer_review-R211SQYR5L5WAZ,V.vijaianand,Five Stars,excellent camera,2017-12-07,5.0
35,customer_review-R208P6NE5103FI,Mr. Chandan Dey,overall this is better in this price.,easy access zooming good clicking photo take much time process good experience first time,2018-10-25,4.0
36,customer_review-R3ULTN4E06O4GD,Vishamjay Badal,Not working,received product havent work still facing problem sony service centre already visited need retrun cyber shot much fed,2019-06-17,1.0
37,customer_review-R35Q48LKQBTSE4,Amazon Customer,Happy shuttering,overall good product limited aperture values manual modeneeds refinement battery compartment cover nice picture quality good resolution lenseamust non professional photographer,2018-09-22,5.0
38,customer_review-R2NXKJLZGQIUG3,Rohit Kumar Mishra,Totaly wast of money,photo quality bad mobile tak better photo f11 pro fully wast money,2019-09-22,1.0
39,customer_review-R1CXT5VP6WSMZE,Mahesh Sharma,Payment process on emi is not worth at all . This is not expected from the respected MNC like you .,camera quality good payment process paying emi worth cost emi charged item discount price profit buying thing discounted price,2019-05-30,4.0
