,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1Y7HCEXEA9VHL,Shrinath V,Great pair of earphones,usually dont write reviews ive bought two havent disappointed sound quality good best feature one seems talk mic take lot calls though doesnt noise cancellation works well making calls noisy environments rarely get complaints others able hear traffic noise disrupting calls perennial problem india im able take conference calls travelling huge plus build quality good problem wire connecting audio input weak tends break stored carefully ive problem sennheiser replaced without question ive started storing pair pouch supply issues later pouch really keeps things secure couple days ago forgot take shirt putting washing machine later realized picked shirt pocket washing cycle dried pair found worked usual huge relief im huge audiophile dont wax eloquent bassstreble reproduction like great pair use cases good music playback great service ability make calls street find reviews focussing wanted highlight prospective buyers,2019-01-16,5.0
1,customer_review-R2QD0VPCJF2AVL,Aditya Prakash (Aadi...),Addictive 😎,good balance bass treble reflecting true music another best thing earphone noise cancellation soft ear buds extra l shaped 35 mm jack wire quality sturdy call quality also crystal clear,2018-07-14,5.0
2,customer_review-R2M5MJIYHEYVZF,mahesh t.,Best headphones for price 1300,bought headphones september 2016 photos uploaded august 2018i writing review using headphones 2 years kind rough user still lasted 2 yearsand today broke becuase mistakeor else maybe would worked atleast year pros best headphone price range best music output best voice quality best receiving calls used even moderate raindont cons built quality decent could better wire started break 15 years still baby worked charm buy mi headphones boat music isnt sharp built quality good photos uploaded abover 2 years rough usage u give try,2018-08-09,5.0
3,customer_review-R14XSY8NZXRJVA,Anurag Karmakar,Awesome thanks!,one best headphone budget,2018-11-19,5.0
4,customer_review-R272CWB7LMWQYX,Krish,"Excellent product but cable quality could be better,",used wide ranges earphones years brands skullcandy smokin buds 2 jbl 210 sennheiser hd 180 hd 210 cx 271 cx400 ii precision cx 185 street ii cx 275 fiio f1 koss porta pro audio technica athcor150rd first large difference cx 185 street ii cx 275 dont even compare cx 185 much treble low bass cx 275 well balanced cx 275 reminds cx 271 used 7 years wire great quality tangle free would easily paid extra 1k kind cable anyone looking buy earphones go audio technicajbl budget 1k sennheiser cx 275 need best audio output regarding earphones ive used jbl decent output regarding fiio f1 piece crap impulsive decision made based brand without research dont throw money garbage buying finally make sure buy well rated seller,2018-11-04,5.0
5,customer_review-R2RTQPPCIQSNAZ,Abhijeet Das,Awesome headset,successful senneheiser cx 180 street ii series thought purchase cx 275s microphone put dolby atoms mode really work beast nice sound quality powerful bass wirea thin looks sturdy strong think would long lasting headset also one senneheiser name enough music lovers many people different kind ear phone say beast senneheiser cx 275s guys said dada tusi great ho really appreciate senneheiser could make type sound quality name brand name also one beat thanks lot making kind ear phone also many many thanks amazon giving type deal headset gift fromy lovely dad thanks papafor ur love,2018-10-30,5.0
6,customer_review-RVZTMYA9V0RA4,Malathi,Audibility issue,ordered 2 one started malfunction within days right side audible,2018-06-15,1.0
7,customer_review-RR4JJ7IT5DAA2,Tarun,Bang for the Buck,firstly would like appreciate amazonin amazingly fast delivery product reached less 24hrs opted regular delivery product used still use products like audio technica athm50x beats studio powerbeats 2 jaybird x2 panasonic extra bass bose soundtrue mi piston3 etc sennheiser earphones firstly extremely comfortable lightweight loud sound output bass 45 treble 45 sound quality rich doesnt feels like sub 2k earphone earbuds small therefore allow comfort fit listening lying sleeping poke irritate listening long hours purchased rs 1600 comes leather case l shaped converter thoughtful overall would highly recommend,2017-01-25,5.0
8,customer_review-R2XCO45QEDTEGV,Dr. Suman Biswas,"Yep, You are the true music lover..❤️",1st say buit quality best good handle care nd good point isthere pouch nice quality looks 2 main thing love sennheiser sound quality sound crystal clear wont miss single component music bass vocal treble balanced catch music lover,2018-06-07,4.0
9,customer_review-R3TN0KE8JAGZH0,Killer 22,Disappointed with the build quality the wire broke when the ...,disappointed build quality wire broke earphones connected phone accidentally dropped besides bass worth,2018-06-06,1.0
10,customer_review-R3NCTT4PEIP1DB,Sowjanya,"product damaged,I need an exchange of product as warranty still exists",purchased product 2017 november warranty 2 years product really worked good life time since 2 days sound one earpad working fine kindly needful,2018-09-04,3.0
11,customer_review-RTDKKTQHR5O6B,Manu,This headphone is for the purists.,people looking bass go find elsewhere headphone people love listen crisp clear audio enough bass required sample song life ram 96 second thoughts buying,2018-11-25,5.0
12,customer_review-R6HLYYC4SV991,PRIYANJAN KUMAR,Almost no sound is coming from right side earpiece after 7 month of use.,good sound quality almost sound coming right side earpiece 7 months use,2018-03-31,1.0
13,customer_review-R3EOQSXVUTD5E4,vandan bhardwaj,Great sounding earphones with one shortcoming,let get straight sound amazing highs mids clear low bass end great recommended bass heads fit comfortable dont fall ears shortcoming earphones durable wire thin compared earphones unit received sound right ear piece reduced half 3 months use sennheiser gives 2 years warranty replaced earphones without asking questions right using replacement ones theyve working great,2018-10-24,4.0
14,customer_review-R1IVDESC3LW2E3,Sharmin Damania,"best sound quality,great at noise cancellation",using headphones year zero complain bass sound perfect even 4d sounds really cool hear really well product comes three ear buds different sizes select one fits ear properly noise cancellation awesome plugged ears cancels sound completely detangles easily long wire microphones good communicate hence one could ask better earphones,2019-02-06,5.0
15,customer_review-R384XWS9EWHQF6,Yogesh,Amazing product 😍😍😍,one best product price point sound quality amazing loved treble point bass powerful mids balanced overall joy hear music earphones build quality also good using around 6 months problem whatsoever would strongly recommend senheiser manufacturers,2019-03-14,5.0
16,customer_review-R17R9V37ZHV1FF,Vivek,Sennheiser disappointed with the product but delighted with the after sales support!,would given 2 stars product sennheisers sales supportthe product build quality great developed wrinkles multiple place normal usage wire length got reduced drastically wire twisted several places even music extraordinary definitely decent however mic earphones good compare brands meet high expectations one normally associates sennheiser one earpieces stopped working 5 months purchase big thanks best sales support sennheiser product replaced 5 minutes questions asked kudos sennheiser customer friendly attitude warranty policies actually help customers bog questions procedures buy sennheiser despite product average given cost afraid product might faulty develop fault verdict buy product decent sound great mic promise sennheiser audiophiles look options,2019-02-18,3.0
17,customer_review-ROSTUA4PJ22BL,dushyant sharma,Defective and mic is so poor.,one side earplugs isnt working properly getting proper sound right mic great expected,2018-07-21,1.0
18,customer_review-R298EX1S1NI0JD,Mahesh D,Go for it Worthy Product to buy (Read proper point),best quality sound active noise cancellation sound quality cystal clear material quality cable average price good levels sound quality one top brand world headphone,2019-01-02,5.0
19,customer_review-R10KJ2XK4AC4NB,Matruprasad Chand,"Great sound, mediocre built",sennheiser known great studio grade sound quality flat eq pair different really love sound quality headphones full equal emphasis lows mids highs without artificial bass boosting get flat sound makes pair really versatile great movie watching voice calls mic great everyone called using pair said sounded clear distortions also come 2 years warranty nice lets get cons usual built quality wires thin made flimsy looking rubber seen braided cables headphones much cheaper would loved sennheiser least give quality materials really take care else feel wires break also mic button feels cheap overall great pair headphones anyone looking rich clear sound like bass something sony would better,2018-12-17,4.0
20,customer_review-R28HTYCYF560DT,Biswajit Prusty,Best class headset,sennheiser cx275s superb ear headset sound quality awesome clear reach bass carry synthetic pouch 35mm connector packaging also great cons wire thin used cx180 10months used cx180 onesided earphone showing defects login complain would send product sennheiser headquarters send new product 10days want say sennheiser no1 brand world concentrate wire quality brand reach,2018-10-24,5.0
21,customer_review-RHMSA8ENO0I2M,V MAHAJAN,My All Time Fav Earphones,second set sennheiser earphones previous set lasted 4 years working fine till date issue faced buying new one cable tore near headphone jack resulted disconnection audio intervals using pros comes international warranty 2years good quality storage pouch sennheiser logo also package keep safe use package contains 3 different size ear adaptors fit ear canal superior sound best feature loved earphones earplugs doesnt drop even sleep moreover ear drums doesnt pain even put longer duration works fine smartphones without compatibility issues best headphones ever used till date terms audio performance speaker system bass set another 4 years maybe would love buy n cons issue wire delicate solid wire outer side earphones last years feel need buy new ones feel bit pricey get deal around rs 1000 would best suitable price,2019-09-05,5.0
22,customer_review-R3640BDV1W9M6Y,Priyanka Mahapatro,True to it's reputation!,cons bit skeptical buying sennheiser cx 275 due reactions durability correct part wires thin making device vulnerable wear tear considering buy wire protector pros apart blown away comfort listening media stress ears noise cancellation features true claimed music streaming best true reputation satisfied purchase need careful product cannot handled really usual earphones,2019-01-27,4.0
23,customer_review-R374ZK9HFSP4T1,Aman Sharma,The build quality of the headphones are pretty nice. The wires look very thin and fragile ...,build quality headphones pretty nice wires look thin fragile though three types earbuds provided pouch given headphones useful carrying headphones around value money jack could angled instead straight avoid getting frayed hasnt frayed till though headphones come 2 years warranty range thats plus point listening experience pretty decent bass well balanced mic mic button function well mic works well held close mouth,2017-10-23,5.0
24,customer_review-R2ARDAQTODCWQ4,CHE KALEON,Sennheiser VS Sennheiser,recently bought sennheiser cx213 earphone rs699 flipkart years buying headphones different makes including bose pleasant surprise frills 213 exceeded expectations sennheiser cx 275 mic comes addons nice leatherette pouch two pairs extra earbuds diff sizes better ear canal fit l cable adapter rs1648 amazon quality performance wise cx213 much better product less half price cx 275 dont mind absence mic want listen music watch videos go cx213 hands quality wire cx 213 much better cx 275 longer,2018-09-04,3.0
25,customer_review-R7ZQESVVSD094,Satyam R.,Has offers own pros and cons...,pros 1 probably best nice cancellation earphones price 2 youll feel every nood seperately 3 great dont like bass hevey garbages 4 carrying punch good quality 5 music distributed earphones cable collide clothes hands hope youre getting im trying say cons 1 low bass bid still thats enough 2 earphones tangle free 3 thin cable requires extra careso kids idiots,2019-04-18,3.0
26,customer_review-R2SUH569N3O3JF,Amazon Customer,Worst. For 1700 this is a crap,worst 1700 crap think buy rs 699 poor bass genuinely bass option return replacement product nonly available disappointed totally,2018-04-16,1.0
27,customer_review-R3IA721SC9MI6P,ARUN HEBBARE,Not durable. 3.5mm jack cane off on jerk.,first things first noise cancellation earphone rubber plugs keep outside sound reaching ear drums reproduce sound close possible source without modifying although wires look thin strong enough bear daily tugs snags wont break easily nonsense reliable earphones reliable workhorse ear phones edit 31 aug 2019 35 mm pin breaks wire wrong durability phones durable price hasmd panasonic h 125 ergo earphones purchased half price durable better found quality regret purchasing go earphones durability smooth frequency response,2019-06-27,1.0
28,customer_review-R25A2N6JJRG2RK,Rakesh,But if Ur not a bass lover,less bass clarity idle long listeners recommended bass lovers wont stress even listening hours using past 4 years dont see wear n tare also handled carefully,2018-11-17,4.0
29,customer_review-R230AQ4Z5QJB3V,GG,A quality pair of earphones lacking in the durability department.,decent pair earphones pretty damn solid untrained ear fairly loud little heavier bass side times makes audio little murky part average price range disappointing feature earphones quality materials used make nothing short awful fragile given extreme care break heck even cheap 300 mi earphones better build quality absolute go rough users would recommend casual home listeners take care gear,2019-01-09,3.0
30,customer_review-R36I89ODHXBWZW,Karan Nagwekar,PRETTY GOOD,sennheiser always great company comes sound products one exception really bass heads thats youre looking instead give well balanced realistic sound noise cancellation good choice earbud put generally care much noise cancellation compromise feeling nonclaustrophobic put smallest earbuds mine instead decent choice got rather affordable rate sale issue build quality wires one really quite flimsy know rather easily well best part buying sennheiser though customer service could honestly basically break thing call sennheiser service centre go theyll almost time give replacement product hassle ive often broken headphones twice gotten replaced without cinch best reason really buy sennheiser never skimp customer service,2019-12-07,5.0
31,customer_review-RDB7G9V1D8M1R,PrettyLittleHijab,Doesn't work on Nokia 8.,sennheiser cx225s list earphones try earpiece design love inear model comes total 3 earpieces small medium large use small ones theyre extremely weight dont seem weigh earphones theyre use mic pretty much made buy quality sound call good majorly use attending calls watching videos youtube netflix amazon prime work pretty well purpose cons use nokia 8 headphones give constant buzzing noise calls person call talks little connecter even worse mutes voice completely side consider use nokia phone,2019-03-24,4.0
