,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1MAKEHKLE3016,Soumya,Yet another discusting earphone that sounds just like cheap Chinese product,guys guys buy product scam product things start malfunctioning days voice clarity good appreciate headphone bass lover problem sounds clear one problems phase personally usage headphone tends fall year comfortable wear tear quality bad things stop working really really really care dont wanna domestic product really easy damage good product means solid build product definitely durable,2018-10-15,1.0
1,customer_review-R13Q0JAVQ37UNU,RAJAT SHAHARE,Overall good product but may be I received some defective one.,material quality good cant say anything durability feel handle carefully good roughly use may broke headphone speaker folding side sound quality good prizepoint dont expect much although receive day defective product right side speaker noisy unnecessary noise comes right side speaker requested amazon replacement hopefully itll replaced good product defective one,2018-10-25,4.0
2,customer_review-R3KLRK0LL1HO9R,Prasanth,Great product for the price.,best sony headphone spend good sound build quality using 1 half year thing happened material covering earcups started peal usable issue sound damaged parts even rough use,2018-07-18,5.0
3,customer_review-R2YA4CU0YP6WVZ,jayanth varma,"Reliable, Durable, Best in Budget.",bought oct 2016 still using dec 2018 protective cover sponge cover speaker got worn apart everything still working fine damage done size adjusting mechanism wire sound quality new negatives product except mic,2018-12-01,5.0
4,customer_review-R35UYHQF533QW6,Mubarak Ali,"Awesome awesome.. (5/5)five STARS'""",awesome awesome awesomejust awesome doubtful booking amazon delivery fast sound quality awesome dis price 499 cheap price awesome sound experience soft headphonei couldnt feel headphone head much soft used jbl 350 series comes 799 one brokeni tried sony doubtful big fan sony dis price 499 giving awesome sound quality also safe ears soft smooth price range given dis feedback without doubtcan buy budget headphone branded sony first time giving review kindly ignore typing mistake grammar finally without doubt go also thanks amazon delivery person also seller,2018-11-05,5.0
5,customer_review-R16Q6WSQJNLX02,Amazon Customer,Superb Sound and Unbeatable Cost,one rockstar headphone clarity superb bass really good lower bass listening trance music one important features like light weight plastic light b ok cushoning ok cushoning c sound quality one fares others sound quality par sennheiser price unbeatable go handle care avoid closing opening frequently 100 plastic,2018-10-17,5.0
6,customer_review-R30EZWJ477GI43,Chittaranjan Naik,Compares well with more expensive headphones,may match expensive audiophile grade headphones terms sound quality price paid compares favorably bass good overpowering like many headphones class sound well balanced though suffers wee bit extreme highs overall good pair headphones daily use laptops mobile phones,2018-09-07,5.0
7,customer_review-RWUYBV17R9FKA,Arko,"Not so bad price point of view, its SONY :)",material quality good enough sound main parr headset durability far better great go get 499 rs festive offer,2018-10-22,5.0
8,customer_review-R1HJUSLVA6M10F,Prathamesh Kulkarni,Review after using product for one and half year.,writing review using heaphone almost one half year sound quality good low compare brands bulit quality also well cheapest headphone available market dont expect much plus warranty one year means one year headphone havunv damage get repair nin repairable prouct replacement avaible warranty suggest want buy headphone 600700 range go else go jbl,2018-09-27,3.0
9,customer_review-RFYQNYJEV0TIW,Navneet Kaur,Best Budget Headset under ₹700,sony king far brands music concerned however zx110a budget headphone without mic awesome sound friendly pocket comes less 700 packs dynamite need something inexpensive yet branded listening music watching movies,2019-02-08,5.0
10,customer_review-RJJ3RAIBE6KC6,Rohit. Navale,"Very good sound quality, clear vocals.",good sound quality actually better higher priced headphones sounds clear well differentiated clear vocals,2017-11-20,5.0
11,customer_review-R2851XLH169VCA,SURYANSH,Review after 4 YEARS of usage,okay let get straight havent using headset straight 4 years tried many headphones inears first 2 years choice use still use every days make review clear give wholistic view headphonesmidrange onlyaudiophiles dont laugh heavy readers may read whole try make short possible tried boat inears come around 599 499 jbl heasets come around 799and currently jabra smart halo given price around 50007000 bluetooth headset starting review must read review gotten general idea sound quality lightweightedness okay really light comfy headsets doesnt clamp onto ears like onear headsets portability par build could folded useless curves throw bag worry crushed third main sound quality damn still shocked till day able pack sounding drivers fact available 4 hears ago probably lower price got rs499 total steal sound kinda flat proper listener obviously plus point sound signature pleasing hear build tension adrenalin moments want sleep relax also somewhat flat signature lets listen song way meant artist also sound wideit doesnt feel sound playing inside head yeah pretty much best sound stage get price get excited let throw defects sound like saucy villian muahahaha first loose fityea fits nicely 8 10 months becomes kinda loose volume decreases doesnt effect sound quality though second bad allit low volume want listen high volume music headphones doesnt go far may able increase appsbut high default third noisecancellation almost noise cancellation loud environment may hear music rumbles real worldfor disadvantage hate noise cancellation many added fourth real depth sound although sound organic depth sound really low ears greater depth compared headphones conclusion budget 700definately get one comfort relaxation adrenalin junkie get inearthose go monstrous volumes bass also think dont need write durabiltyits freaking 4 years havent single issue time thing thats folksthnx readingand damn heavy reader owe one,2019-02-28,4.0
12,customer_review-RG1ZH0AWC8RSX,Jake,COMPACT HEADPHONES WITHOUT VOLUME CONTROL AND MUTE BUTTON,sony headphones tough cable pin ear pads folded makes compact convenient carry headphones possess mute control volume control reasonably good sound output headphones stopped working within one year date invoice contacted sony india customer care getting contact number amazon customer care excellent service sony india customer care provided address telephone number nearest sony authorized service centre produced defective headphones sony service centre together copy amazon invoice headphones replaced free warranty brand new headphone please note warranty valid one year date invoice thank sony exemplary customer service,2017-10-20,4.0
13,customer_review-R3GCWD97CEK8C,Onkar Patkar,"Low Bass, Lower Sound, Lowest Quality",headphones dont live upto sony name bass low cannot enjoy good edm sound low cannot hear anything crowd headphones feel plasticy dont even feel durable thought sony would good brand invest money would better buy boat something similar,2018-11-19,1.0
14,customer_review-R3Q7HA32OKZV19,Gaurav Nayak,great headphone,good product,2019-08-14,4.0
15,customer_review-R1REH02SY7Z3HN,Vini,Sound ain't that good but durable for the price,listening music bought watch documentaries high treble low bass great voice thump thump music box say 1350 got 645 looks genuine sony warranty card well using month problems fits comfortably ears keeps environment noise completely enough bought watch study videos worked,2019-01-28,4.0
16,customer_review-R10Z15FV47XTP3,Pranav Aggarwal,Not worth buying.,decent fragile also fact cable sides kind much annoys also range many good options less reviews popularity also say read good reviews mistaken buying also even 2 months use aux cable always muffules sounds also fact offer mic annoying really bad calls pubg gameplays also low sound levels compared headphones base next none also comfortable long time noise cancellation little also forget warrenty replace inrepairable also warrenty would pay heavy shipping charges stops working go get new one overall worth buy name tag sony,2019-04-25,2.0
17,customer_review-R7PEHS1UWZ13H,Sridhar,Sony's Entry level over-ear headphone.,sonys entrylevel low budget overhead phone look wise may give appeal produce best sound buck sadly 30mm drivers sony claims producing sound one would expect looks heres sound quality scale good moderate weak 1 high range good 2 mid range good 3 low range weak even though specs freq response 1220000 hz low range weak bass feels flat 4 surround phase distinction moderate cannot feel much depth audio music appears playing closer ear drum rather actually reproducing studio quality also leftright channels feels crossover 5 definition good thus decode tracksinstruments songs good mid high frequency response 6 sound isolation moderate ideal listen calm mildly noisy environments like parks restaurants work home cant completely isolate cabbus noises 7 sound production detailing apparently feel also mix freq ranges high mid low oops thats good sony shell extra bucks look sony overhead models seek brands price range audiophiles stay away one,2018-10-23,3.0
18,customer_review-RGEEHLLS21HWZ,Deep,Good But Not For Long Time,product good using two months 2 months broken body cheap quality,2019-04-07,1.0
19,customer_review-RD3JA1RAP6N3,Shilpi,🙂,okay product sound quality great wouldve preferred product okay 500,2018-12-03,3.0
20,customer_review-R2Y0XCGVU1VIB8,Arjun Sen,Premium quality sound.,premium quality sound awesome bass clarity loud enough volume 30 mm drivers provide immersive experience good quality plastics handled carefully plastic wrongly handled break easily ear pads cushioning soft comfortable listening songs 4 hrs ears feeling bit pressure didnt quite understand pressure releasing ear pad part ofcourse usage things also loosen comfortable ears point ear flaps turn bit flimsy needs getting used first timers since flaps turned around headphones easily packed luggage occupies minimal space swivel folding design earpads really travel friendly headphones extremely light cable thick durable premium looking 35 mm l shaped audio jack gold plated appears genuine sony product though low price pulls back reality sony provide awesome product low price durability ascertained usage long period time product one year warranty microphone controller headphones plug ur mobilelaptopipad turn gaana app select trance dance euphoria michael jackson album set equaliser settings prefer high bass low width sound field pump volume u r trance 02 minutes blame difficult go back earphones earphones convenience distortion sound full volume price point rs 499 mrp rs 1390 better headphones market,2019-10-26,5.0
21,customer_review-RDFSL0PRRAXVD,Amazon Customer,Budget headphone with quality,first ear headphone first day use say best headphone price range bought 570 sound quality excellent bass really good im huge music lover listened sony boat want feel music want get rythm song want get original quality song recordedthen go sony product boat basshead 900 bass sound coarse cant feel itvoice soothing sony headphone makes allows hear every bit sound clear price range would better 1if black option 2 band metal 3more cusion one thing gold coated jack also big plus point sony sound 55 bass 455 overall quality 455,2019-08-25,5.0
22,customer_review-R1SZYJIOCDVYI8,Gaurav,It's an earphone that is to be sold only in local train..,made big mistake bought amazons price explanation item attractive person read surely purchase ordered waiting arrival product feeling smartness purchased fully disappointed astonished feel like salesman sell items train bus stop please dont purchase sound quality like local earphone nonreturnable,2018-11-04,1.0
23,customer_review-RVMNONO6M66I4,Soumadip S.,PRETTY DECENT BUT NOT GOOD ENOUGH.,review would get better headphones price range honestlyfor egthe boat bassheads 900 seems like better option meas sony headphonesone side headphones stopped working certain times hold wire particular way make worki would also say headphones loud enough likingthe sound quality pretty balanced could hear getting distorted certain rangeits really compact piece headphones perfect travellingthey would always bag whenever travelledthey look pretty minimalist toobut said one two hundred rupees would give much better productsthese pretty good secondary headphones opinion,2018-10-20,3.0
24,customer_review-R21XNBPKJC0GC8,Amazon Customer,With this range of price.They are good,using headphones last two years sound quality average people around start complaining play song higher volume product life good price range good,2019-01-01,3.0
25,customer_review-RQB3UGN4DVBUW,Bipin kr. Mahto,not a good sound quality,headphones r made china good sound quality totaly different last ordered headphone,2017-01-21,1.0
26,customer_review-R4933476ELL0G,Syed,Detailed Review Read it!,say product product 70 satisfying recieve satisfied using 6 mnths go thing need careful wires long keep wires safe long headphone works one problem found noise cancellation poor increase volume others around easily hear rather everything fine,2019-06-16,3.0
27,customer_review-R8BJ35IY67FQG,Joh,Of about fifty products that I have so far bought ...,fifty products far bought amazon last three years item use 2 weeks headphone fake work trash lost money,2018-09-23,1.0
28,customer_review-R1XNLAT3O9ZQDW,VIJAY SINGH,Worth every penny,five found expected nice quality good bass music fine clear seller recommended thanks amazon,2018-01-10,5.0
29,customer_review-R8TWTQB0VPEGL,Niranjhana,Five Stars,good headphones got 500 bucks sale definitely worth price almost year usage theres literally deterioration product sound quality sturdy build used extensively workouts 3040 mins least thrice week whole year still working fine one complaint im watching series movies 23 hours earslower head start paining slightly,2018-04-05,5.0
30,customer_review-R17S6UYMUUZHT1,PRATISH,Not recommended,happy volume headset make full volume listen painful hearing unable listen sound train even full volume ignored others reviews low volume true low sound sound quality good painful hear high volume increase budget little go headset गए प स प न म,2018-07-06,2.0
31,customer_review-R2R0PN9DMTGX38,Vivek,Very good product,price sound quality amazing real joy watch movies action serials amazon prime sound good best one else near gets disturbed sound level listen drawback since white maintenance high need clean daily keep clean,2018-09-27,5.0
33,customer_review-R1S4W4Q1AP8FJQ,PewDiePie,The inner padding will wear off eventually,sony one fav brands time headphones perfect sound great feel great white beautiful complain inner padding lined thin inferior quality sponge wear eventually time sure also wouldve better one cable one side less cables worry way looks cooler complains,2019-01-29,4.0
34,customer_review-R1Z4Q7T6N8OOPK,Vijay pawar,I return this product because of bad quality. both head phone one side speaker is ...,im tacking product 13 12 2017 return product bad quality head phone one side speaker working properly till 11 day didt get product bad experience amazon,2017-12-25,1.0
35,customer_review-R1V6CRP3DAFCWF,Amazon Customer,Price is high but the result is not as good,4 days theres sound broken replacement thing cause 1year warranty hoping get replaced itll good wise time worked sound quality fine material fine dont know happened sudden stopped working like cannot hear anything,2018-08-24,4.0
36,customer_review-R2TJK2CMVOR0N8,shafeeq,Five Stars,poor product got complaint 5 month usage working ear pad quality poor worn two monthi,2016-12-01,1.0
