,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1FY1QPLN92UKV,Ashutosh Parida,Honest review of an edm music lover,doubt great bass great extent noise cancellation decent sound clarity mindblowing battery following dissapointed though tried lot adjust 1bluetooth range 10m 2 pain ear due conical budscan removed 3 wires bit long makes odd front 4 pouch provided 5 worst part low quality distoring mic person keeps complaining voice,2018-10-21,3.0
1,customer_review-R16JCKKT5KNIYV,Amazon Customer,Unreliable earphones with high cost,earphones unreliable bought 15 days meanwhile right side ear buds got cracked automatically got divided two parts sound quality also much good ok one thing bass good boat earphones guys also proof attached pics please see think buying unreliable product thanks,2018-12-30,1.0
2,customer_review-R3GL8PGNIZTCVM,Mrinal,Really good and durable.,bought itfor 999i purchased second time gifted first one brother really good sound quality really good connect 2 devices timei connect laptop mobile bothwhen listening muaic lappy u get call switches mobilethis switch device good price awesome battery stand 36 hours used continously 8 hours one go battery life pretty awesome comfortable ear,2018-11-04,4.0
3,customer_review-RWK1B4W3ANWSL,SUBHANKAR DAS,Just Awesome Wireless Headphone under 1000...😉,awesome good sound quality 89 hrs battery life waww look brought 999 rupees amazons packageing system bad poor packaging flipcarts packaging system much better amazon,2018-10-29,5.0
4,customer_review-R1CE4PRXJGANTY,Ravi,Charging port not working,11 days charging port isnt working cant even return wat know one year warranty 11 days cmon boat please send new one,2018-09-07,1.0
5,customer_review-R2C554VE6F9HRW,Rajesh Singh,stopped working in just 14 days,sound quality adorable overall good 2 weeks stopped working since never powered claiming warrenty still undergoing,2018-09-22,1.0
6,customer_review-R803W8L78X7JX,Manish prem sagar,Loved the color and sound !!,sound455 build quality455 battery life 45 earphones quality good strong magnetic lock straps good quality earphones wires good buttons quality good sound full punchy bass balanced treble sorrund effect good fitting ears hope connectivity good bcz last boat bluetooth bassheads 225 connection issues worth price hope packaging good bubble wrapping,2019-01-11,4.0
7,customer_review-R2MPRDIIYABAIK,anshita,Great sound with worst mic.,one month usage reviewing pros 1 sound quality 2 design 3 weight 4 battery cons 1 bad mic talking 2 cant use riding bike 3 music loud,2018-09-29,3.0
8,customer_review-R39JVE5R63ZOA,Pishon George,Very very bad Durabity,product durability 1 month lost bill details cant claim warrenty earphones built quality bad stops wrking completely 1 month sep 14 nov 11 life span dont lose ur bill details incase u want warranty purchasing u must register ur product boats site replacement warranty,2018-11-09,1.0
9,customer_review-R1MAO337WMXXYU,Abhishek Gupta,Disappointed,earth use buying product stop working one monthyour happiness sailed like boat disappointed,2018-12-01,1.0
10,customer_review-R1FY1QPLN92UKV,Ashutosh Parida,Honest review of an edm music lover,doubt great bass great extent noise cancellation decent sound clarity mindblowing battery following dissapointed though tried lot adjust 1bluetooth range 10m 2 pain ear due conical budscan removed 3 wires bit long makes odd front 4 pouch provided 5 worst part low quality distoring mic person keeps complaining voice,2018-10-21,3.0
11,customer_review-R16JCKKT5KNIYV,Amazon Customer,Unreliable earphones with high cost,earphones unreliable bought 15 days meanwhile right side ear buds got cracked automatically got divided two parts sound quality also much good ok one thing bass good boat earphones guys also proof attached pics please see think buying unreliable product thanks,2018-12-30,1.0
12,customer_review-R3GL8PGNIZTCVM,Mrinal,Really good and durable.,bought itfor 999i purchased second time gifted first one brother really good sound quality really good connect 2 devices timei connect laptop mobile bothwhen listening muaic lappy u get call switches mobilethis switch device good price awesome battery stand 36 hours used continously 8 hours one go battery life pretty awesome comfortable ear,2018-11-04,4.0
