,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R134FG2RMMOKLD,Kapil,SHORT AND SWEET,using product one year share opinions product pros first 1 tb get around 931 gb usage posted photo look transfer data enough fast usb cable provided thick good led notification compact easily fits pocket cons slippery hand please go case found review helpful please mark helpful thank,2017-03-01,5.0
1,customer_review-R3SCBKZDLFA517,Kk,NOT RECOMMEND..,workingafter 10 15 day contacted online numbers send mail services center body responds mumbai services center available mobile laptop service sector ready thing external hard drive product still warranty need put scrap lot official data need go recovery center recommend service center mumbai navimumbai thane,2018-02-06,1.0
2,customer_review-R20G5FLD61C4PX,Anupam P.,as my mobile cable having micro-usb connector works fine.,working drive quite time around 1 year works well external drive issue connection cord usb device microusb port comes connecting cable cannot use usb cables eg mobile cables etc one always carry provided cable using seen transfer rates much higher external drives note external drive worry carry cable mobile cable microusb connector works fine,2018-04-26,3.0
3,customer_review-RIODU4XJPRVQ8,Sahil Kumar Chitray,Lenovo 1tb hard disk,great product lenovo happy choose brand use many products lenovo like mouse keyboard smartphone search affordable external hard disk online one less rs 4000 finally found hard disk rs 3500 trust lenovo go trust give great deal amazon india thank amazon thank lenovo,2018-01-14,5.0
4,customer_review-R2NEGDENI775IU,Kishore Chowdary,"Light weight, thin fast data transfer without interruption",area price 500rs extra initially wasnt sure buy amazons customers reviews clearing doubts amazon customers committe made buy glad asked community help answers got made choose excellent product also saved 500rs,2019-08-09,5.0
5,customer_review-R2K2NDLZZPTFQO,Ankit Aggarwal,"Faulty one in first time, replacement working fine.",bought hard disk cheapest amongst web photographer needs lot space hence getting 2tb hard disk 5k best deal however recieved product faulty one transfer taking hell lot time copying speed 24kbps replaced hard disk one got return working fine transfer speed 2530mbps copying 3035 moving satisfied product giving three stars caused delay work due replacement,2017-06-23,3.0
6,customer_review-R27PJSBVH8XJL7,Amazon Customer,this totally a good & affordable product with brand LENOVO & at affordable ...,totally good affordable product brand lenovo affordable price works good usb30 faster copying normal buyied durring offer damn affordable budget warrenty 2 years,2018-01-22,5.0
7,customer_review-R1MIFY5L5R7K6X,Prasad Zarekar,Just go for it.,speedy transfer best quality heating best price best product hats lonovo,2017-04-09,5.0
8,customer_review-RDK3TJUIFQK49,Kedar Joshi,Nice product,nice product came nice good package works well described worry proprietory connector hard disk used connecting misplace wire way connect device system need urgently scramble new wire,2019-08-06,5.0
9,customer_review-R30BSQ6EW2YJSD,Mr.Vikkas,Damn good,good product price rangehave complaints hard disk came connector keeps loosing upif u remove oftenlyspeed file trasnfer good good product price range,2017-10-12,5.0
10,customer_review-R1PDH46W2RQS01,K R ashok kumar Naidu,One Star,working properly socket loose contact please respond query reset socket replace productdo favour early possible,2018-04-29,1.0
