,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R32XFGB5QO2W51,moeFang,Good basic hard drive,pretty basic hard drivegood read write speeds usb 225mbps usb 380100mbps using past 1 year still going strong,2017-03-27,5.0
1,customer_review-RXFA2JQZ8OTFU,Soumen Bera,Very good product at very cheap price,good product cheap price user friendly white light glows connected slow usb2 port blue light glows connected fast usb3 port computer connected pendrive usb port led lcd tv play media files supported tab connected via otg cable,2016-03-14,5.0
2,customer_review-R1G24V2LLGWVVB,Krishnaprasad,Great hdd at great price,best hdd price buyed rs 3775 getting high speed file transfer copy 6gb file less minute 30 port 40mbps 20 port mainly used store games movies thanks toshiba making hdd also thank amazon free fast delivery amazon prime service thankyou,2016-10-23,5.0
3,customer_review-RZCXISMQCM3WV,Nitesh,Right choice based on several parameters,bought careful study reviews earlier experience using western digital toshiba led believe wd probably sturdy also tends costlier light weight small sized makes convenient handle well data transfer rate really good using month,2017-07-26,5.0
4,customer_review-R39R9DLQZYH8V4,Vijay M,Disappointed,issue amazon delivery product worth always hanging asking format lost data disappointed return requested,2018-05-28,1.0
5,customer_review-R3R6E9BSQXGED,Suraj Datta Gaikwad,Best Hard Disk with great performance.,like performance easy use easy carry light weighted tough quality material used accidentally slipped floor hand never breaked data transferring speed awesome windows 10 used windows 10 send 128 gb data pc hard disk takes approx 8 10 minutes still gives best performance photo studio person used disk past 5 years said hard disk never works properly data transferring process stops transfer 100 gb windows 7 pc hard disk drivers hard disk working properly anyways used past 5 years field photo studio according never ever face issues hard disk yet hard disk gives great performance,2018-10-18,5.0
6,customer_review-R1A7T9Z1B27Q6G,Judge Kitty™,Yummy!,perfect sturdy enough small love size thing size large phone pictures make look bigger convenient make space little guy light led white connected 20 slot blue connected 30 slot storage problems far works like charm nice would buy,2017-08-14,5.0
7,customer_review-R1ZOUGV6N0W5K9,Sumedh,High speed and sleek HDD,got broken customer care nehru place delhi replaced hard drive important data time easier get new one without retrieving previous data transfer speed upto 70mbps80mbps inserted usb 3 slots think durable though get corrupted small fall table suggest buy case,2018-02-21,5.0
8,customer_review-R2KXV496O5AJFB,akshay,Overall Good Product. Value for money.,write speed usb 30 port 80mbps large files like movies light indication usb 30 blue usb 20 white useful sure ports feel vibration hard disk use much heating extended use,2017-11-08,5.0
9,customer_review-R13SC7HS4UFIU7,Nayan,easy to carry,well 1 month since using external hard disklight weighteasy carrybut provides around 931gb space store things description written provides 1 tb space1000gbbut provides less ityou carry harddisk pouch gets fallen would damagedoverall nice product rangebut another range like lenovo seagate better trustworthy toshiba,2016-10-09,4.0
10,customer_review-R17RLTEYUWLY1V,Roshan,awful product..,pathetic product hard disk getting detected video doest play keeps stopping hard disk making noise please buy good product dont waste money,2017-08-14,1.0
11,customer_review-R16PPSNS4KKDWT,Saravan,Simple and Does what is is supposed to...,got dad likes really much go wrong buying hard disk either works doesnt work hdd looks real slick matte finish compact sturdy case survive drop hence better get good pouch safeguard data might put transfer rate promised use cable given computer supports usb 30 type dont complain getting specified transfer rates using usb 20 ports graphically compared product page reference overall good option considering increase digital storage backing computer,2016-11-06,4.0
12,customer_review-R30P1P7H26PFTX,Thariq T,Very good item with a simple abd attractive look.,first thanks amazon superfast deliverygot item within two daysthe item came good protective casevery simple attractive lookworks computers 20 porti like much gives five stars,2017-07-03,5.0
13,customer_review-R1J6VHMZZP4Z10,gratian,My neighbor uses the same harddisk and it's really good! I cancelled the order so that I can ...,neighbor uses harddisk really good cancelled order buy new launched wd harddisk one good,2017-09-06,5.0
