,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1S67JO736OY7F,vijaya kumar,One Star,received product working tried methods connect product still working opening computer want claim warranty product please help,2017-09-23,1.0
1,customer_review-RW0L592QABEQ6,Chattarjee,"Very good HDD, with a potentially faulty data-cable",delivered perfectly packed genuine hdd sealed box offers standard 931 gb space html file inside clicking taken online productregistration registered received 3 years 40 days warranty beginning usb cable gave trouble usb 30 port hp laptop windows 81 os didnt recognize hdd tried one usb 20 port readily recognized confused retried usb 30 port many times finally lot fiddling recognized even every connection 30 port lot hassle plugunplug get connected must cable issue sure worth trouble run around warranty cover lets see hdd working fine otherwise hdd good solid looks rather expensive 30 port speed 30 mbps less transferred 250 gb much heating noticed theres nice mattefeel cushy plastic cover certainly slip hand easily data cable longer expected 18 inches including sockets thats 15 foot much longer seagate hdd,2016-01-30,4.0
2,customer_review-R20HSIB73ED6HS,Kunal L.,"Reliable, strong hard drive. Keeps your data safe and secure.",using 3 years great never crashed anything even absolutely data ever lost im satisfied pleasure recommend ive travelling work back connected lot computers lot rough use movement belive know tough nails go everything youd expect reliable,2018-08-06,5.0
3,customer_review-RM5VA6TPJUI1U,Ram,worst brand ever don't buy,worst ever brand bought amazon please dont waste money stopped working data stuck cant retrieve cant delete shit waste money buy seagate insted im buying,2019-04-04,1.0
4,customer_review-R27UH0XQC7XXTU,Seetharaman,Virus loaded drives,bought 12april2019 1gb model package opened bottom opened found connector cable sealed checked serial number online valid warranty 3 years thought product unused plugged harddisk realised virus started affecting computer hard drive wasnt used virus let alone virus anything manufacturer packages clearly intentional ive buying amazon years first time feel disappointed pathetic service amazon regulating sellers imported creative peripherals distribution thane verify package seal using 1star amazons disappointing service,2019-04-12,1.0
5,customer_review-RK4MF3WTG61GA,Jan Joseph George,The Prefect HDD for Imperfect Users.,drive looks good feels good performs good enough well works seamlessly inbuilt automatic sleep function helps save power increases drive life cycle sturdy enough extra anti shock protection inside outside definitely take knocks dont worry losing data mine hands arent safest around dropped times nothing really happened speed good enough copying hdd auto backup option really made difference havent really found use one push button,2016-09-09,5.0
6,customer_review-R203X0KI9KZILD,NatureLover,Value for money,seagate 1tb bought costco stopped working fell desk lost complete data stored looking something shock absorber one fits bill look wise seems handle falls costwise also cheaper seagate 2 months since bought hadnt issue transfer data faster ways,2019-09-01,4.0
7,customer_review-R12PBNV20VDEI7,Danish,Connector Cable Issue,poor quality connecting cable since day bought im facing strange issue hard disk disconnect automatically pc data transit gets disrupted done irritating,2017-07-21,1.0
8,customer_review-R1SC3EL0493DHU,Anup,"Excellent deal, better than Seagate and WD.",write speed 100 mbps consistently around 105 mbps avg read speed always 110mbps spike high 160 190 mbps couple secs even seen 220mbps tested 10 20 large files movies together multiple times different files system asus h81mcs motherboard i3 4150 processor 8gb 1600mhz ram zotac gtx 750ti gpu running windows 10 pro latest updates get 3 yr warranty one hdd one usb 30 cable manuals brochures transcends products hdd plug play hdd 931 gb free space 3 softwares namely transcend elite recoverx storejet toolbox used backup recovery encryption formatting etc,2015-12-30,5.0
9,customer_review-R1FOO4TLN0CA2E,Immanuel,Not happy with the performance,enough space backup data try play video inside drive video keeps getting stuck brand new laptop latest drivers checked everything laptop nothings wrong gotta drive writing speed good reading speed definitely good may happening im using usb 3 drive usb 2 port well suggestion would homework buying,2015-10-27,2.0
10,customer_review-RP5IXZHYWI8FZ,Aditya Rallan,No after sales support,hdd crashed within three year warranty terrible time getting replacement going data transfer speeds different seagate last really long despite military grade protection drop without effective warranty makes sense go hdd opinion,2018-11-05,1.0
11,customer_review-R2RQO05O2HDRND,Smeagol,The Best,believe best external hard disk market today built like tank performs well using 1tb version around 5 years still fully functional doubt one 2tb version also last equally long downside bulky heavy price worth paying protection size difference 1tb 2tb versions highly recommended,2016-05-06,5.0
