,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3E4VA4UR0P1ND,DEEPAK KUMAR SINGH,They are cheating,im big fan amazon dell product time im totally disappointed amazon 1 committed laptop come preinstalled window 10 home ms office 2016 checked found ms office dont installed called amazon customer care dont take issue seriously reply plz call dell customer care dont thing 2 paking laptop ordinary cant accept type paking purchase costly item last shopping amazon dont suggest anyone go amazon,2018-11-06,4.0
1,customer_review-R1YK9S4F2SN30S,sumit khandelwal,Feeling like cheated,received laptop 26th october2018 trying installing windows screen coming totally blank call customer care exchange product defective one told send engineer product replacement mode fact appoint engineer 31st october 2018i paid hard earn money useful product defective pcs dont buy dell products online lets see whats come,2018-10-28,1.0
2,customer_review-R1O4T5XWSJSX87,DWARKANATH,Manufacturing defects. Not at all system is opening.,openingthere may manufacturing defects value money going return 2nd day,2018-10-30,1.0
3,customer_review-R2DUUG1PVZ6AUC,Kukkri,MS office license with 1 day validity,license ms office valid 1 day joke got laptop 25th jan 2019 ms office license active till 25th jan 2019 description misleading ms office included laptop,2019-01-25,1.0
4,customer_review-R2N0M8XLIH1QN4,Snehal,MS Office only trial pack of 1 month,says laptop preinstalled window 10 home ms office 2016 lifetime validity checked found ms office available 1 month trial pack buy main reason bought laptop really disappointing,2018-11-23,3.0
5,customer_review-R1TB5EU8TNU8HZ,kartik sarkar,Very poor product,im big fan amazon dell product time im totally disappointed amazon 2 paking laptop ordinary cant accept type paking purchase costly item 2laptop slow hanged 3inside box available user guidemanual last shopping amazon dont suggest anyone go amazon,2018-12-13,1.0
6,customer_review-R1MGUFS0LET91F,poorna,Worst product - No rating should be given for this,never ever purchase laptops electronic items online ive purchased item amazon started using day 1 felt something unusual didnt work upto configuration bootup took minute opening chrome excel word even explorer took less minute couldnt use laptop raised replacement request spending lot time explaining issues amazon product received replacement also issue time received replacement laptop seller closed replacement option complained replaced product amazon simply washed hands saying fate deal dell directly even requested amazon take product im ready buy upgradedhigh config laptop simply refused spoken dell customer care numerous hours clean os reinstall possible options via onlinetele support still problems remains unresolved im taking dell service center wait another 1 month get know issue paid around 30k spending sleepless nights amazon seller never ever purchase laptops especially dell laptops online sellers better spend time buy authorized dealers atleast may wash hands washed amazon,2019-04-01,1.0
7,customer_review-RBKQP3BYOJ8LX,ANURAG S.,Awesome laptop at this price range.,awesome dell laptops 3567 156full hd screen awesome full impress dell support team doubts clear doubts phone around 1 hrs talk explained n everything got 15 month mc caffe antivirus plus checked dell warranty online showed dell warranty going expire 16oct2019 purchased 10oct2018 n delivered 14oct2018 main benefits buying laptop get lifetime validity windows 10 ms office validity got 29998 amazing pricing first laptop fully happy satisfied dell amazon services product quality good looks premium little heavy asked dell care drivers windows 10 key told windows keys required always motherboard drivers installed dell site laptop working good little slow dell care told updates improve hope basically laptop general uses browsing watching movies videos plus office purposes hard gaming processor speed 23 ghz quite good trust guys dell customer support good awesome dont see time help u till end problems resolved thanx amazon dell dealer grabagadgetsound quality loud awesome dolby speakers works awesome play youtube 1080 p hd laptop adapter doesnt heat important thing anti glare display wifi bluetooth connectivity goodnote without full updates work slow updated fully works good starts 1218 seconds open ms word takes 15 secondsconsidering price speed good u wont regrets buying product due fhd anti glare display windows 10 lifetime validity ms office 2016 lifetime validity looks premium good battery backup around 56 hrs batteries removable awesome keyboard dolby audio quality awesome dell customer support services awesome display bright best part laptop adapter doesnt heat used 12hrs first day updates doesnt heated adapter,2018-10-14,5.0
8,customer_review-R15ETJXABGYWDC,PewDieBhai,Fair,nice lappy budget obviously best wish surf web grab even much better yeah delivery good definitely dissappointed little bit good think works nice worst difficult get software drivers device many time available hope review helpful,2019-05-27,3.0
9,customer_review-R1N5YSO4F8S8PY,Nikendukura,Sir-hangs-a-lot,utterly disappointed product slow name sirhangsalot literally stopped working soon started took nearly 40 min complete installation process really waste money,2018-11-04,1.0
10,customer_review-R3E4VA4UR0P1ND,DEEPAK KUMAR SINGH,They are cheating,im big fan amazon dell product time im totally disappointed amazon 1 committed laptop come preinstalled window 10 home ms office 2016 checked found ms office dont installed called amazon customer care dont take issue seriously reply plz call dell customer care dont thing 2 paking laptop ordinary cant accept type paking purchase costly item last shopping amazon dont suggest anyone go amazon,2018-11-06,4.0
11,customer_review-R1YK9S4F2SN30S,sumit khandelwal,Feeling like cheated,received laptop 26th october2018 trying installing windows screen coming totally blank call customer care exchange product defective one told send engineer product replacement mode fact appoint engineer 31st october 2018i paid hard earn money useful product defective pcs dont buy dell products online lets see whats come,2018-10-28,1.0
12,customer_review-R1O4T5XWSJSX87,DWARKANATH,Manufacturing defects. Not at all system is opening.,openingthere may manufacturing defects value money going return 2nd day,2018-10-30,1.0
13,customer_review-R2DUUG1PVZ6AUC,Kukkri,MS office license with 1 day validity,license ms office valid 1 day joke got laptop 25th jan 2019 ms office license active till 25th jan 2019 description misleading ms office included laptop,2019-01-25,1.0
14,customer_review-R2N0M8XLIH1QN4,Snehal,MS Office only trial pack of 1 month,says laptop preinstalled window 10 home ms office 2016 lifetime validity checked found ms office available 1 month trial pack buy main reason bought laptop really disappointing,2018-11-23,3.0
15,customer_review-R1TB5EU8TNU8HZ,kartik sarkar,Very poor product,im big fan amazon dell product time im totally disappointed amazon 2 paking laptop ordinary cant accept type paking purchase costly item 2laptop slow hanged 3inside box available user guidemanual last shopping amazon dont suggest anyone go amazon,2018-12-13,1.0
16,customer_review-R1MGUFS0LET91F,poorna,Worst product - No rating should be given for this,never ever purchase laptops electronic items online ive purchased item amazon started using day 1 felt something unusual didnt work upto configuration bootup took minute opening chrome excel word even explorer took less minute couldnt use laptop raised replacement request spending lot time explaining issues amazon product received replacement also issue time received replacement laptop seller closed replacement option complained replaced product amazon simply washed hands saying fate deal dell directly even requested amazon take product im ready buy upgradedhigh config laptop simply refused spoken dell customer care numerous hours clean os reinstall possible options via onlinetele support still problems remains unresolved im taking dell service center wait another 1 month get know issue paid around 30k spending sleepless nights amazon seller never ever purchase laptops especially dell laptops online sellers better spend time buy authorized dealers atleast may wash hands washed amazon,2019-04-01,1.0
17,customer_review-RBKQP3BYOJ8LX,ANURAG S.,Awesome laptop at this price range.,awesome dell laptops 3567 156full hd screen awesome full impress dell support team doubts clear doubts phone around 1 hrs talk explained n everything got 15 month mc caffe antivirus plus checked dell warranty online showed dell warranty going expire 16oct2019 purchased 10oct2018 n delivered 14oct2018 main benefits buying laptop get lifetime validity windows 10 ms office validity got 29998 amazing pricing first laptop fully happy satisfied dell amazon services product quality good looks premium little heavy asked dell care drivers windows 10 key told windows keys required always motherboard drivers installed dell site laptop working good little slow dell care told updates improve hope basically laptop general uses browsing watching movies videos plus office purposes hard gaming processor speed 23 ghz quite good trust guys dell customer support good awesome dont see time help u till end problems resolved thanx amazon dell dealer grabagadgetsound quality loud awesome dolby speakers works awesome play youtube 1080 p hd laptop adapter doesnt heat important thing anti glare display wifi bluetooth connectivity goodnote without full updates work slow updated fully works good starts 1218 seconds open ms word takes 15 secondsconsidering price speed good u wont regrets buying product due fhd anti glare display windows 10 lifetime validity ms office 2016 lifetime validity looks premium good battery backup around 56 hrs batteries removable awesome keyboard dolby audio quality awesome dell customer support services awesome display bright best part laptop adapter doesnt heat used 12hrs first day updates doesnt heated adapter,2018-10-14,5.0
