,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-RKTU335Q59CT3,Sameer Patil,Detailed Review of Product itself !!!,note available online stores well check purchase model dont touchscreen note using device couple weeks following observations normal user point view first mentioning specs explain user experience following specifications intel core i37020u processor 1 tb storage 4gb ddr4 ram integrated intel 620 graphics 14 inch hd display resolution 1366768 3cell 41whr battery windows 10 os following user experience buildquality good build quality compared price top surface matte finish good grip speakers good output weighs around 15 kg moderate weight considering size finally looks good display hd led screen resolution 1366768 performs great colours punchy contrast well average display performs well upto expectations keyboard speakers keyboard doesnt backlit feedback keyboard good doesnt numpad placement pf speakers good enough sound output performance average battery performance average performing battery full charge used clock 3 hours battery backup charges 3 hours even medium brightness heavy multitasking used get 2 hours backup overall battery backup average system performance problems using laptop surfing browsing internet small medium games also runs smoothly doesnt fingerprint scanner 1x usb 2 2x usb 3 ports handy combination conclude average laptop verdict good device price would around 25k ups device 7th gen processor decent storage hp brand reliability apart theres hardly anything attract lacks fingerprint sensor backlit keyboard decent battery backup better graphics better display resolution theres deal available around 25k go else invest thousand go better device 30k worth buying,2018-10-09,3.0
1,customer_review-R27F7KDTS2X62C,Mohd abdullah,Beauty,best looks slim light weight display awesome performance per specifications good beauty bought much research confused lenovo 330s dell latitude 14 inch series much better would recommend,2018-09-16,4.0
2,customer_review-RIDOVAIT078KW,Asr,Good laptop if you buy under 25000....i pay 29000,overall pretty good package pros light weight decent battery backup good looking smoke grey colour good build quality cons inbuilt battery non removable glossy display mat display good glossy reflection display quality uptomark sound quality average system little laggy much,2018-11-29,4.0
3,customer_review-R2Y3WMNYX2EWFE,Prem Prakash Gond,Awrsome product,nice product range lappy really awesome u buy around 26k bought 22990 actual price 25990 instant discount applied sbi card 2000 received 1000 amazon pay balance 1000 final price 22990 great deal,2018-10-20,5.0
4,customer_review-R27YWXDDFFE08Z,Amazing Customer,"The laptop lags frequently for no reason, Not sure if this is a genuine laptop from HP",bought laptop month back amazon great indian festival using since product light weight sound good battery backup good important performance horrible ive exchanged 5 year old hp laptop 3rd gen i5 processor 7th gen i3 processor still even half good old one system lags always takes lot time process operations made fresh install windows 10 created recovery media bit better used realized faulty product late time last date return already completed 2 days im stuck super slow laptop go worst thing ram 1 slot 4gb cant upgrade,,1.0
5,customer_review-R1CLCUS1J2L8DR,Ashwani Yadav,HP is Crap,please buy product stuck wasted around 30k system hangs every second support,2018-12-29,1.0
6,customer_review-RFUQZLD2FZF2R,Abhishek,Pretty good under 25k,purchased lappy wife amazon sale 23k applying discounts would say pretty good price looks sleek slim light carry around screen display sound also good battery life pretty good around 6 hrs fast charging though stated others performance slight issue fast snappy take seconds launch apps get around added 4 gb crucial 2400 ram dual channel increased 8 gb though challenge remove back cover insert ram hp made end user friendly responds better please consider upgrading ram get around slowness issue overall good laptop basic tasks light office work,2018-11-07,4.0
7,customer_review-RHJPUWKE0L7B8,Manish Jaiswal,Go for it.....without a doubt,overall nice package provided get 28k 29k sound quality awesome win10 os 4gb ram lags sometime manageable looks good battery life acceptable complete value money buy given range competition fierce range choose according requirements mine portability area aces given dynamics thank u hp amazon,2018-10-26,5.0
8,customer_review-R2DDW6YWO3B06Q,puja gupta,This last is WORST THAN HELL in capital latters,laptop 7th generation i3 processor 4gb ram 1tb hdd still first usage found laptop 20 times slower 5 year old pentium lenovo laptop make payment payments also gets strucked amazon also policy customer friendly initiate refunds buy new different model u want settle model getting model today hope 31000 bucks go drain amazon confirmed 2nd product model working great said ensure hope dont go pain agony,,1.0
9,customer_review-RBO03PNN0NPSZ,Preeti,Used product delivered by amazon,bought brand new laptopn came locked user found laptop used someone amazon technician also visited approved nothing happened well,2018-11-09,1.0
10,customer_review-R2L1822Y56KQWC,Amazon Customer,Damaged product,pathetic expected online trustworthy,2019-02-20,1.0
11,customer_review-R32OCVLKPHMI5B,Rajesh,Processor speed,bought laptop 2 weeks back used twice yet speed pathetic sure original hp product unfortunately last date return yesterday even able return,2018-10-26,1.0
12,customer_review-R222Q5HVAR6L4I,SS,Lightweight and superb for basic needs,beautiful design lightweight comes core i3 good basic usage,2018-11-09,5.0
13,customer_review-RCMBVIYV78C76,Rohit,Best laptop under this range,laptop good office work recommended performing heavy work like playing games video editing work,2018-10-12,4.0
14,customer_review-R1I0KXSUEPH30S,Rupesh,Value for money ...And thank you Amazon for exchange ....,combination work 4gb ram pretty slow increased ram 8 gb bit fine place laptop decal sticker coz looks dull well happy purchase depends requirement increase ram max 25003000 service charge college office stuff smart wise,2019-01-17,4.0
15,customer_review-R19TOCO962F78G,subash baliga,Feel cheated by Amazon by showcasing a non functional product,product one worst functioning laptop product hanging i3 processors performance pathetic cant run basic functions clearly specification created hp sold thru amazon buyers stuck maze amazon support question answers sitting 2 laptops nonfunctional month tried return policy told cannot happen amazon products clearly con job amazon hp joint party,,1.0
16,customer_review-R3IUE9CPOJZ4FO,Burhan,Wins in looks and Value. Performance decent,laptop looks compact impressivebuild quality performance average complain ram 4gb default colors display looked washed dull however make vibrant increasing saturation levels 30 intel hd graphic settings display looks amazing vivid great buy given price point got 27500,2018-10-28,4.0
17,customer_review-R3Q2WE2MOGRLVK,Mahendra kamble,Faulty laptop,bad product 2 weeks started giving display problem speed super slow heating issues one cant tolerate speed operating anything within 2 months repaired almost 3 4 times worst part problem still solved one ready take responsibility please buy waste money waste energy call n,,1.0
18,customer_review-R10VYH3FWUYODB,C Vanalalhmangaiha,Perfect✌🏿,fast delivery item superb genuine,2018-10-02,5.0
19,customer_review-R3162KVLK3A68I,Ashwin,Below average,budget laptop absolute bare minimum pros light enough carry around decent battery life 34 hrs normal usage 1tb hdd allows lots storage cons slow booting 3 mins welcome screen spite win 10 slow running apps office applications take almost 20 secs initialize fully reflective screen hard see light source behind gets dirty easily average sound quality overpriced belongs 20k range,,3.0
20,customer_review-R1DWMA7ZY08MSA,ak,Fake .Not hp product.Never ever buy it.,worst product never buy itlooks like fake product hp support extremely poor never help see screen hardly month buying laptop throwing tantrums regretting decision badly,,1.0
21,customer_review-R1E7SURYB4OE5L,J M S Negi,REVIEW : HP 14 Core i3 7th gen,light weight definite plus however performance slow put extra 4 gb ram 250 gb ssd make bearable,,2.0
22,customer_review-R17G3J3GO9LXVY,Goutam Kumar Gope,It great. Just go for it,everything good laptop one slow although u fix uninstalling software start also purchased amazon great price 15500 including exchange cashback great indian festival also gotta great battery life lasts 7 hours easily also fast charger 90 percent 15 hours,2018-11-03,3.0
23,customer_review-RM8VZK9VTTVCD,Pooja Lahri,Faulty device. Not worth the price at all!,ordered product twice received faulty devices got replaced ordered second time product stopped working return date passed stuck,2018-12-10,1.0
24,customer_review-R8V0SGZNLYS5,neville,Thin and light weight but RAM upgrade is a must,sleek slim light weight laptop great dealif looking laptop carried around ease however performance abysmal get rid problem upgrading ram atleast 8 gb expandable upto 16gb per spec furthermore could add ssd improve boot speed purchased machine running matlab struggled default 4 gb ram added another 4gb crucial works fine next plan add ssd,2019-06-01,3.0
25,customer_review-R1IC1J1WPYPQQ3,Satyajit Roy,"Not good, performance is very bad!",low quality assemble 3 months ot started malfunctioning completely wipe reinstall complete os still good condition slow avoid buying low ram mostly compatible windows 10 would recommend buy product unless student,,1.0
26,customer_review-R14BJFIM6CFT4Q,Ramana,Display corrupt and very poor service quality from HP,laptop display corrupted within 2 days usage apparently one rubbers corner missing right time delivered hp engineer noted inspection despite best efforts convince laptop display wasnt fault hp squarely put blame upon sick bad experience dealing hp local service partner tvs electronics gurgaon folks never answer calls close cases without giving ear customer saying dealt dell service laptop purchased amazon service far far better professional,,1.0
