,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1FZ5XQZ7W9T4C,spiky,Excellent bang for the buck,bought laptop hp 14q cs0018tu 19k inr july 2019 prime day really fast nvme ssd read speeds exceeding 1 gbs windows 10 boots less 5 seconds probably cheapest laptop fast nvme ssd toshiba kbg30zmv256g kaby laker pentium gold processor 4417u 2 cores 4 threads less equivalent core i3 laptop thin light keyboard decent charging brick also small portable sufficient cable length major downside screen subfull hd 1366x768 panel thats quite ok considering price point downside noticed two speakers symmetrically placed thats nit picking overall im really happy laptop great web browsing productivityoffice work light programming easily best laptop 20k inr segment handily beat expensive laptops 5400 rpm hdd,2019-07-17,5.0
1,customer_review-RKR63E8M98HTQ,Aneeq,YES,first got rs 19200 reviewing per pricethe body plastic shiny plastic hp usually provides gets scratched easily 1 display fine good bad 2 keyboard fine backlit keyboard expected price 3 mouse pad bit slow always increase sensitivity 4 gesture support 5 battery life good charged laptop 100 watched netflix offline 2 hours full brightness earphones battery dropped 85 expect good backup 6 gaming played basic games like gta vice city ran fine expected 7 ssd omg makes huge difference pc boots 5 seconds even though storage 256gb worth makes laptop faster hp i5 8th gen processor 8 get 2 usb 20 1 usb 30 1 ethernet 1 hdmi 1 headphone jack 1 sd card reader ports 9 speakers good loud tiny 10 think small fan face heating issues 11 webcam ok quality overall good buy 20k would definitely recommend product,2019-07-21,5.0
2,customer_review-RIYHCWHGI3HCA,Ajay,Great value!,got 19k prime day deal good laptop school students 256gb ssd reasonable processor 4417u power efficient ram 4gb upgrade later resolution 720p cant complain price overall highly recommed looks feels like premium laptop windows 10 great laptop come latest 1903 build easily updatable via windows update first thing setuo uninstall mccafe software need use windows defender built antivirus software also uninstall crapware like dropbox hp apps etc,2019-07-17,5.0
3,customer_review-R1GE95H16UY840,Amazon Customer,Pure garbage!,great hopes laptop really needed work expected laptop crucial business stopped working within 4 days receiving im stuck god knows long hope gets negative ratings show everyone truly isgarbage bottomline avoid buying cheap laptops amazon get pay,2019-08-13,1.0
4,customer_review-R2F74HRUQMEEDA,mandar gupte,Superb Purchase,received laptop everything expected display smooth sharp loving windows office got activated thin really light booting slow actually dont know write review couple days go,2019-06-01,5.0
5,customer_review-R18PJJJTPH8VUU,Prasanjit Mandal,"Great built 14"" HP laptop with good keypad and sound",pros good entry level laptop super compact build quality light laptop easy carry keypad great comes 1month subscription mcafee also comes office 2019 school edition sound quality picture quality top class good home usage light office work good options touchpad cons touch screen backlit keyboard extendable memory slot raise 16 gb ram,2019-07-18,4.0
6,customer_review-R3KYPQIN2P10E5,Arun,Worth for money,faster high end laptops ssd technology used tried watching 1080p videos youtube lag anywhere sound quality good headphones speakers ok normal use boot time best less 10 seconds battery lasts expected around 45 hours moderate use cd drive required nowadays issue windows 10 home student installed activated lifetime heating spotted operation ssd think webcam good normal chats hd one still good display hd still good watching movies never tried playing games weight less compared laptops range one downside office version trial need pay around 8k lifetime license ps please uninstall mcafee junk softwares first first boot windows defender good enough protect pc price oscillating amazon track via eoffersindia get price drop alert buy,2019-08-17,5.0
7,customer_review-R228Y7X6JBZ6IE,Cherry Murthy,Good for working professionals and Students.,seems good customized specifications fast performance 256gb ssd pcie nvme ssd nvme ssd even faster advanced normal ssd understand difference hdd fast ssds per description dvd drive please beware pros 1thin 2handy weight less 3full hd 4sound good 5fastprompt responsive 6pcie nvme ssd cons 1no keyboard back light 2no dvd writer 3microsoft product activation working properly devices 4when using high volumes speakers getting cracking sound 5 vga slot people still use much issue 6 usb cport 7 usb 31 lets see works moving ahead overall best buy working professionals decent performance 256gb ssd pcie nvme ssd,2019-08-20,3.0
8,customer_review-R3NHHPEKLVB7DD,Nachiket Vora,Boom and bang for buck,bought back college laptop didnt disappoint friends considering bought another 1tb ssd whole set took played whole assassins creed black flag little lag certainly playable also engineering softwares run smoothly never experienced lagexcept sucky wifi college overall best laptop 20k buy another hdd youve got production power house budget,2019-08-01,5.0
9,customer_review-R1RT9NUHXQG0CY,Mallikarjuna,On time and product as per expectation,delivered oer promised date product good condition hoping hp good brand recepient make best use,2019-05-15,5.0
10,customer_review-R180MJDY6O99QI,Manoj,"Great Battery life, light and as fast as an i3",great laptop price got at195k battery life decent 67 hours feel finish pretty decent great ssd makes real fast bootup time 1215 seconds negatives keyboard okay hd resolution price cons well acceptable,2019-08-16,5.0
11,customer_review-RT41Y5WPB1JK6,Bhavik,Best config for Home/Student users. Great value for money!!,probably first one review 4gb ram 256gb ssd model got independence day sales 30390 10 instant discount sbi card people wondering performance 256gb ssd makes performance boot faster 1tb hdd model perfect home use student use gamers photoshop advice go belong usage categories best config available price point ssd 8gb ram 1tb hdd anytime always add extra ram portable hdd needed,2019-08-15,5.0
