,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1NMP894X78JP1,Ramya,Great phone with pathetic camera,basically im oneplus3t phone user past 2 years honor 8x actually downgrade yes used phone 4 days sold olx 12500got 14034 post cash back overall phone excellent photographer got used capture stunning pics oneplus 3t satisfactory portrait mode worst although display good slight lag switching apps people used low end phones slow processors honor 8x feel great budget 14000 one phone segment go mi a2 mi a2 captures wonderful pictures pros listing see pros everywhere abt phone go cons section cons camera big let many options camerabut picture quality good speaker sound loud slight lag switching apps wifi connectivity issues switching 4gwifi,2018-11-01,2.0
1,customer_review-R1R9JJ89DXUWPQ,Raj,Very bad performance. If u buy than carefully.,good cell many issue 1 video calling 2 conference call 3 keyboard bad touch system 4 swiftkey internal software good bad system 5 night mood camera bad 6 im used 7 days,2018-11-01,4.0
2,customer_review-R1MW6R7ZE4MNAW,Amar Singh,Worst camera,worst camera everpictures look like taken 2 mp camera,2018-11-05,3.0
3,customer_review-RDFBYEEOVLBFJ,Nikhil Kushwaha,Honor 8x vs real me pro 2,well start 15k great phone bought dad satisfied phone honor started making nice n premium phone low budget also bought real pro2 flipkart sis compared must tell u go honor 8x real pro2 doesnt portrait mode bokeh mode front camera display bigger real pro2 difference otherwise phones alike u ask prefer honor 8x,2018-11-04,5.0
4,customer_review-REIIYFFJLHJKJ,RAJ KASHYAP,Loved it,better mi note 5pro 1010 design 1010 camera 1010 battery 1010 performance comes earphone little long usb cable customer happy,2018-10-30,5.0
5,customer_review-RVUFWS4MB28OG,SPIKE,"Realme 2 pro will be better than Honor 8x (PUBG loading issue in honor 8X, Realme 1 loads faster)",previously using lenovo z2 plus one best phones 2017 offering snapdragon 820 rs 10000 year started lagging cuz playing heavy games new mid range phones realme 2 pro honor 8x budget wanted buy realme 2 pro 8gb ram good camera watching lot youtube videos thought go honor 8x bought opened package took honor 8x hand felt premium started downloading apps playstore wasnt using data download wifi cancel installs download office wifi 2the next thing phone really really heavy using left hand sleeping literally 5 minutes wrist started pain falls head mouth like phones using lying bed going get serious injury tech pages mentioned con 3front camera camera really sucks back camera okay saturation high especially red green blue camera depth use camera saturation high dont talk front camera use sisters realme 1 taking selfies 4 pubg open game loading error says could connect server seems network issue realme 1 loads properly without issues even phones room also map realme 1 loads faster maybe 6 gb ram one using 4 gb gone realme 2 pro 6 gb lesser price wished ordered realme 2 pro lazy return get refund need light phone go realme 2 pro light games dont lag also good battery im somewhat sad customer service honor pathetic dont know asking copy paste wrong info chat talk supervisor get correct information,2018-11-01,1.0
6,customer_review-R2CM21GX9AV3JV,Amazon Customer,"Value for money product, must buy",amazing powerful beautiful fon honor best camera battery design display sound quality processor,2018-10-31,5.0
7,customer_review-R2Z643ZLVGFU8U,Ashu,Stupendous!!,magnificent phone 1the battery life awesome morerate usage battery easily goes 1 half days battery life 2camera quality awesome pics taken aperture mode night modes brilliant 3there lags heating issues 4 initially bit skeptical phone however usgae 14 days ak pretty sure made correct choice going realme2 pro redmi note 5 pro take away os emui needs improvement areas enable smooth experience users,2018-11-08,5.0
8,customer_review-RMHK14SQW9JBL,Sushant,King/Queen of mid range Smatrphones,7 days use first honor phn 6x 7x one 8x wow amazing premium look build quality become hallmark honor devices biggest problem time glass back really really slippery cant imagine using without back case also attracts smudges dirt fingerprint like magnet big upgrade 7x considering design camera display batterysuperb specially way 8x uses motion sensor proximity sensor pick ringing phn volume lowered place near ear contact screen automatically make call answer incoming call automatically place phn front face automatically unlock much sturdy performance kirin 710 think much better sd 660 around performance call clarity call volume signal quality excellent microphone detects ok google 5 meters distance home televisionads low volume lol dual 4g dual volte speaker loud enough earphone volume little low compared 7x sony headset quality better though plenty settings inside music player fingerprint sensor lightning fast amazingly accurate even lightest possible touch face unlock doesnt infrared camera detect dark night works somehow increasing back light display pretty accurate bright background wallpaper struggles dark background otherwise face unlock fast accurate battery big bump noticed lasts around 2 days light use around 15 18 hrs heavy use 4 hrs youtube half hour gaming 2 hr calling etc also found around 9 hrs screen time impressive charging time another surprising element fr 7x took around 150 minutes whereas takes 100 110 mins camera stabilisation eis oiswhich neither given nova 3 also 4k video recording low light artificial light photography neither good bad like camera hardware much way better predecessor 7x used expose images 8x make little saturated wish receive updates camera software honor make best camera phn among competitorsrealme mi camera segment pay utmost attention would rate 710 camera everything else top class overall awesome phn around 15k great vfm 10 discount 1000 cashback effectively rs12500 definitely loot thanks patience,2018-11-04,5.0
9,customer_review-RHQIR0ACJNL36,Ziyad Muhammed,Seems like low budget phone,honor 8x display blurring surprise see video quality like 8k 10k rs cost mobile disappointed currently using honor 7x perfect phone expected honor 8x keep quality honor 7x think received defected phone anyway requested replace phone processingafter 4 days nobody came pickup phone hope get perfect phone replacing,2018-11-01,1.0
