,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R9E0JE1X18KJU,Faizy,0 stars for Motorola,motorola really deserves 0 star rating well service centres customer care manages dissappoint customers however good product may seem never buy motorola product way treat customers purchase 1 year since using phone literally fighting service centre every every single visit mine service centre somehow ends fight find fellow customers either supporting starting fight durations time spend experience easily say worst mobile service centre find still want go ahead buy motorola make sure completely know repair phone make sure know someone help simple words motorola sucks,2018-11-30,1.0
1,customer_review-RCU7NQPBMA7R9,Amazon Customer,Wast of money,dont go mobile receiving signal call quality bad 4gb ram hanging frequently low battery signal problem battery draining dramatically wast money,2017-10-15,1.0
2,customer_review-R15VXJHVZDFE3F,Surya Saini,"Good phone, needs camera and software updates optimization.",highlights 1 year usage 1 battery lasts day depends heavily usage sometimes drains 4g draining apps 2 camera expected bit camera especially dual lens setup moto decent job top notch dont expect oneplus like pictures obviously without editing selfie camera good enough though 3 software bad experience motorola management devs need game getting android oreo almost year motorola promised early 2018 security patch updates provided 16k phone competitors market software experience stock though good bloatware 4 gestures think gestures one button navigation one best features smartphone use daily basis gestures big fan single button navigation gestures many people like 5 turbo charger good provides great amount charge less time one best ive seen cable plastic end got frayed 6 display design top notch price one best price segment however design gets wasted put case 7 rest snapdragon 625 4gb ram 64gb storage complaints performance wise good funny though moto g6 snapdragon 450 price launch moto,2018-10-06,4.0
3,customer_review-R3MM47NP8OQQZG,sameer shaikh,Worst phone dont buy,camera much good low lighting worst performance main problem wifi issue disconnected randomly worth buy,2017-09-27,1.0
4,customer_review-RFXF5OYGJ91JG,Amazon Customer,Over heating product from Motorola.,disliked product overheating using app super heating charging fact hot iron clothes wondered motorola didnt hilight iron heating portable iron feature commercial also provide replacement customer care center keep repairing brand new phone make refurbished dont buy people lost faith motorola lenovo,2018-10-19,1.0
5,customer_review-R1QM0K2JAAEWWQ,Amazon Customer,Review after 10 months of use,writing review 10 months sharing personal experiences phone first thanks amazon prompt delivery thanks seller darshita electronics sending product good condition pros build quality good build quality performance performance good lags experienced till sound quality good much loud liked personally camera quality good outdoor also 4k video recording bundled fingerprint scanner responsive scanner detects finger print quite fast battery backup good android nougat stays almost one day heavy usage turbocharging fast charging available device charges quickly cons camera quality disappointed image processing camera say average dual camera setup disappointment soon motorola released camera updates improved great extent say dual camera properly implemented lot updates motorola color reproduction camera average process image compare google camera installed device also surprised images shot google camera app far better motorolas stock camera app using sensor dont know motorola working camera quality camera bumps know camera bumps bit outwards model chance scratches camera glass better protective back cover camera protection regular updates updates list motorola focusing new models ignoring previous models recently got oreo updates much waiting poor service comes updates motorola battery backup battery backup deteriorates upgrading android oreo noticed next day charge two time day upgrading waiting next update hope fixed next update final verdict camera freak expecting great shots phone give average quality better think options available market average user budget restrictions go said experiences phone overall rating phone 35,2018-11-09,3.0
6,customer_review-R3T27RY2UY2SWI,Amazon Customer,Disappoint,bought phone may 18 starting battery backup issue battery hardly run afternoon fully charged morning phone totally dead went take motorola service center kota said check give us time said phone dead repairable warranty support said mother board faulty poor service giving motorola service center explain mother board faulty six months n warranty raising complaint consumer forum,2018-11-14,1.0
7,customer_review-RGPU8VW36W33K,Aman Sharma,It's a horrible phone with plethora of issues,one worst handsets bought motorlloa service really pathetic say least gifted handset father issue speaker right bat sent service centre determined water physical damage said get fixed still testing refused fix someinternal ic issue something cannot fix horrible service would really ask everyone stay away motorola get escalation email great,2018-08-21,1.0
8,customer_review-R2EAG3MQRJC5R3,manu,Not so good. Just okay.,using four months good dual camera doesnt take good pics night low lighting even daylight pics great processing become slow three months google maps take time load whether wifi 4g network needless say phone feels quite bulkyheavy battery last 12 hours original build slippery definitely needs cover better grip handle otherwise slips falls often screen size good viewing experience good,2018-05-03,3.0
9,customer_review-R1MRTP39BGCF8U,Partha S,Pathetic phone - please don't buy it,please dont buy phone even though motorola describes splash proof got wet rain phone pocket became completely unusable took service center informed even change display touch wont work always fan motorola pathetic product please dont buy,2018-07-11,1.0
10,customer_review-R33QTGHT1X7823,VN,Moto 5s plus - Good but not great,ordered phone one day launch got next day thank amazon superfast delivery coming phone ordered primary phone recently started using secondary phone per performance satisfactory tell technical details yes write things observed cause trouble 1 phone camera lags badly depth mode hoping software update motorola 2 sometime apps crashes using 3 phone call quality good speaker volume less 4 battery works pretty fine heavy usage get phone working full day 5 photos taken camera crisp record 4k video well camera bump back good idea 6 phone feels slippery without cover 7 fingerprint sensor amazingly fast 8 phone heats charging could due turbi charging sure 9 screen quality pretty impressive rest apart phone good great price expect,2017-10-02,4.0
11,customer_review-R9D1SUSX5NTF6,Vikash Bhattar,Better phones for this price range,first moto phone im hugely disappointed review 8 months usage xiomi phones batteries camera quality much much better build phone good rigid also got android pie update kinda late smart tv cant cast phone screen heard casting works chromecast learnt buying camera quality really bad picture takes couple seconds click processing annoying cant play big games pubg runs lowest quality motorola got something different beat xiomi phones portrait mode horrible edge detection bad sorry moto last moto phone,2018-11-17,2.0
12,customer_review-R316AEFHQR3M8F,Manish Verma,Software and Security Updates,per suggestion dont buy product product lenovo motorola companys focus sell providing important update like mi company providing every month regularly purchased moto g5s plus last year november receiving update per commitment time sell last year,2018-08-15,1.0
13,customer_review-R3PL3C1VDABLN8,Shweta Mahindrakar,IMPORTANT: Phone does not switch on,mobile phone purchased stopped working 15 days even switch taken authorized service center said problem charged us rs 450 gave phone back worked another 2 weeks switch disappointing purchased lot mobiles amazon bad experience request amazon team either help us get serviced face issue future exchange product,2018-09-29,1.0
14,customer_review-R2TTK84CXX0NRJ,Dinesh,"Poor camera, poor Battery, slim design, out dated screen ratio",mobile good old fashioned design since 169 scrren camera quality average front camera quality poor video shooting dj sound gives noise bass sound captured video recording cant use youtube videos battery life poor normal use internet give backup upto 6 7 hrs basic sensors like ir blaster magnetic sensor compass app available camera notch impressive looks good much raised body cause damage lens also comfortable pocket fast charging impressive tge battery capacity 3000 mah low charging storage fills fast charger cant make impression charging phone 4000 mah battery overall mobile good price rs 10000 got 10000 1 year acko subscription,2018-10-31,4.0
15,customer_review-RCUDO4Q32ZR6V,Soumyajit,"""Moto"" the synonym of harassment(dust problem in back camera)",worthless phone well moto service know harass customer huge manufacturing defect phone back catches dust inside glass protects camera back camera goes uesless visited service center several times clean gets covered dust cycle goes didnt mentioned changing back case phone warranty period saying need change back cover cost 6k pure case harassment thinking going consumer court plz dont stuff amazon plz stop selling moto products impact companys reputation thats,2018-11-03,1.0
16,customer_review-R2W8SC37QZPJ79,Shefali,"Most disappointed. specs were so good, but in real use phone very disappointing",sound quality soft speaker sound soft receive calls call quality poor pick jio signal well battery life average clarity screen disappointing like fog screen cannot clean specs good disappointed phone buying motorola even android updates slow,2018-10-30,1.0
17,customer_review-R10JDDF4XN4FLD,Rupali,Pathetic customer service from Amazon,product faulty follow customer service team shown worst quality amazon india team abilities first mr abhishek mr ajit another mr abhishek made false committment misguided whole process technician visit scheduled time fixed 3 days advance investigation complaint handling may eye opened amazon india result net time lost 2 hours stay without mobile 8 days mental agony,2018-10-17,1.0
18,customer_review-R3006LJHXT9HTM,Surya,Chota pack bada dhamaka!,bought phone exchange card payment got phone 11k photographer liked depth field effect phone dont expect much low light conditions day time get best shots camera processing quite slow worth waiting overall processing fast heating issue found far lag thats sd 625 4gb ram concerns phone covers camera coming body finding suitable cover hard manage kickstand covers attaching test photos,2017-10-23,4.0
19,customer_review-R1QSP2FQL4Y6B8,Hriata Macubex,Not happy at all,6 months usage got issues like hang constant overheating simple tasks servicing really bad get updates really late updates always useless hoping would fix hotspot problem updates guess didnt care highly regret buying xiomi note 5 popout camera useful need constantly careful scratch since back camera popped good thing camera,2019-02-27,1.0
20,customer_review-RK9QQOVTE31DU,SHIVANI✔️,Nice product,moto phone best,2019-02-07,4.0
21,customer_review-R1I5NVVPNF1DDL,Swabhagya Ranjan Kar,A good mid budget smartphone under 15K,purchased mobile amazon 19th march 2017 picture quality really good 2nd best camera phone redmi note 5 pro budget 15k sound quality display overall performance mobile really good good mobile heavy game users con battery life poor con major problem moto g5s plus comes turbocharger charges phone 0100 within 1½ hrs highly recommended budget 15k youre looking mobile good brand name,2018-08-06,4.0
22,customer_review-R1ZWRTXWJNDKUC,S.Ramdas,Moto G5sPlus - Satisfied with the delivery & Performance,purchase process amazon delivery went smoothly within committed time cashback visa purchase took time followup amazon try streamline unecessary irritant product moto g5splus per specs reviews studied online largely fulfills expectations camera good certainly par compared specs hype loud speaker sound quality also disappointing moto software relatively bare compared redmi note 4 also ordered time flipkart may also cause relatively shorter battery endurance redmi note 4 though moto g5s plus battery also 25 higher mah rating moto priced 60 premium redmi note4 rs 16000 vs rs 10000 find bit much almost identical specs also bought chevron hard backcase moto gives moto solid look feel,2017-10-25,4.0
23,customer_review-R3B6PW3I2W1YT5,Amazon Customer,Mediocre phone..,first things first 1 mobile great dual camera different features like depth enable text scanner time lapse etc 2 amazing featuring apps 3 turbo charging makes easy quick charge moto turbo charger 4 photo quality amazing video quality damn lit 1080 hd 60fps really amazing cons 1 poor body quality although says gorilla glass dropped 3ft original glass shattered like normal glass 2 put back cover 23 weeks back polish case grey started peel nwrv seen mobile really dman irritated seeing 3 first update mobile battery life dropped like anything earlier used last long 4 sound quality drops maximum time less battery 5 usual moto apos stopped working 2 months update well 6 front body durable motto phones used seen maybe might suggest motorola check quality glass using body peeling cover would recommend yes storage capacity doesnt made operate less slow runs bought first day,2018-11-19,2.0
24,customer_review-R1BHVWXBQEKM1,Alexander John,Battery failed within in 7 months.,purchased 23rd march 2018 end october battery started draining fast night charge 100 keep morning would 1520 without using day charge phone twothree times first bad experience amazon platform battery warranty 6 months ensured crossed six months warranty period dakshita electronics anything say,2018-11-14,1.0
25,customer_review-R1K585NJL6DFS2,praveen,Very good mobile phone at a very best price during amazon sale.,searching mobile 4 gb ram 9k vow came amazon sale october got product 8k lot discounts added thanks amazons lightning deal offers tell phone simply superb actually fan motorola kindly adjust may give slightly biased review oktrue reviewfollows using past 2 months 1found camera good dual camera portrait option available coming good professional photographer seen camera good battery talk time good always keep mobile data tracking travel time locations fitness apps also use keep gps 24hrs battery lasts ie full charge 10 charge lasts 18hrs stream youtube google news whatsapp one interesting thing found use airtel sim phone battery backup good sometimes use bsnl sim week 4g mode battery lasts 12hrs actually drains rapidly dont know reason behind iti noticed many times apart thisthe phone definetly needs outer case slim chances slipping hands high till didnt face small niggling issues phone reliable turbo charger good 10 65 40 mins average used phone rains issues faced dropped phone 10 times issues till external cover drop phone else thats go ahead buyif interested happy companies like mi oppo r like use throw phones previous mobiles motorola l7i first phone used 2007 2010 motorola droidwhich goodthen moto g 1st gen 4 yearsthis google phone extremely good moto g5 thanks,2018-11-19,5.0
26,customer_review-RDQ0YGGIZTR1Z,Mystee Auraa,Good one for this price.,phone great choice price got discounted price sound quality good clear loud earphones come phone aint good enough yeah u always get another high quality earphones u set go camera dont expect lot fine ok type battery great takes like hour charge 0 100 dont take much charging normal browsing impressed dont take much charge compared phones playing games overall good phone finger print feature makes fast n easy unlocking,2018-10-17,5.0
