,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-RPCZ9VMBPSC1S,Bhushan,Good Phone but... PUBG,planning buy mobile read decide bought samsung m20 first sale using last 2 weeks samsung launched mobile first time competitive price expected many things edit using m20 almost 6 months got ota updates updating difference noticeable performance got improved compared also autobrightness issue faced earlier solved pros 1 samsung branding expect better sale support service centerincase need visit 2 tft full hd display though amoled still looks good outdoor bright enough notch display 3 5000 mah battery moderate usage last day 78 hours screen time 4 widevine l1 support stream hd content netflix amazon prime video 5 wide angle camera works well 6 type c support 7 dolby atmos cam2api support 8 13mp5mp rear camera clicks great pics natural light conditions 9 dedicated slot memory card extend storage capacity 10 otg support 11 fingerprint sensor responsive fast cons 1 pubg works medium settings 20 minutes mobile starts heating case asphalt 9 solved update 2 though supports fast charging still takes 2 half hours charge fully still understandable huge 5000 mah battery 3 processor exynos 7904 less powerful snapdragon 636 however performance optimized software reduced preloaded apps 4 notification led 5 lags multitasking takes seconds load app issue resolved update 6 auto brightness doesnt work properly update working properly 7 eis electronic image stabilization front camera video recording actually hardly phones segment feature samsung include feature future phones make stand 8 plastic glossy finish attracts fingerprints easily get good back cover solve final words someone looking buy mobile parents daily usage good choice overall 6 months satisfied device would recommend phone allround device gave issues beginning later resolved via software updates need edit review using days,2019-02-16,4.0
1,customer_review-R2XD3WSZDM7TLS,Charandeep singh,Very bad experience.,defective product received cell phone hanging againi recently visited samsung care center checked phone said phone sort manufacturer default,2019-02-19,1.0
2,customer_review-R3U3C7692CP5LC,KCT,Poor Battery Overheating and Bad camera,pros cheap screen size weight audio clarity headset smooth os 4 gb model cons 1 lot junk samsung pre installed apps option uninstall 2 even though phone 5000 mah battery hardly get getting 1 day backup 6 hours sot 8 apps installed pre installed like whatsapp outlook facebook myjio jio tv 3 bank apps 3 camera quality poor painting effect photos zoom 4 phone gets overheated watch youtube memory movies 40 50 mins disabling 6 samsung apps phone backup increased getting 15 days battery around 2 gb free ram os smooth 3 days disabled samsung inbuild apps facebook 37 hours full charging 7 hour screen time around 28 battery left jio bsnl sims,2019-02-16,4.0
3,customer_review-R2SXCBSRVEKFP1,Amazon Customer,Beast on paper,pros 1 big battery almost 1 half day moderate use 2 camera good 3 notch screen beautiful cons 1 far facing ancient disease samsung mid range phone ie hang issue sometimes apps open automatically overall purchased item want big battery phone glad mark ps con wrote maybe received faulty product hope may help guys make decision,2019-02-16,4.0
4,customer_review-RBHJPG9G0YSKO,Nilay Bardhan,Better options are available in this price.,friends feeling good options available price 1 display durability poor quality great 2 camera quality satisfying specially front camera 3 low light image quality poor,2019-02-16,3.0
5,customer_review-R2OKIIB78QDYFF,Manas Patil,Best one🔥,firstly look phone amazing amazing notch display looks attractive phone battery awesome 5000 mah although huge battery still light weight thats great good hand feeling feels easy hold octacore processor faster phones range back camera dual camera quiet good 135 mp good portraits even good low light photos led flash panorama hdr even good vidoes 1080p 30fps 8mp front camera 1080p30fps video recording thats something amazing display 63 inches 1080 x 2340 pixels aspect ratio 1959 phone worth buying price range available two variants 332 gb 464 gb also two colours charcoal black ocean blue finger print sensor fast face unlock price range renowned brand people gonna run thats sure gonna tough fight mobiles one,2019-02-16,5.0
6,customer_review-R2U6MCCG00PBJK,Techking,Underrated! (Detailed review inside),well bit sceptical buying m20 bought phone second sale placed order base variant ie 3gb32gb 10989 detailed review device pros cons ratings camera samples also attached review pros 1 lightweight 2 looks beautiful grabs attention 3 nice crisp display 4 infinity v display looks great 5 ultra wide dual rear camera 6 dedicated micro sd card slot 7 performance phone great 8 heating issues 9 face unlock fingerprint scanner works smoothly 10 supports 3x fast charging box also get fast charger also cons 1 rear camera struggles bit low light photography 2 back panel phone nice glass finishing prone scratches fingerprint magnet ratings design 9510 display 910 battery 910 back camera 8510 front camera 710 processor 8510 call quality 9510 face unlock fingerprint 8510 speakers 710 pricing 9510 lets come detailed review box contents box get handset charging adapter usb cable sim ejector tool user manual design design m20 great bought black variant looks beautiful hand said earlier attention grabber build quality fully made plastic back side phone plastic finishing polycarbonate prone scratches suggest use provided back cover display 16cm 63 fhd dewdrop full view display broad 908 screentobody ratio 1959 aspect ratio 25d gorilla glass gives screen premium look bezels less bottom chin thin makes viewing best viewing experience great sunlight screen visible battery loaded 5000 mah battery moderate user give battery backup around 2 days gamer playing highend games give backup whole day phone juice left charge fast charger charged phone 20 100 time taken 2 hours 10 minutes audio speaker phone crisp clear audio earphones wow also get opinion equalizer phone settings performance m20 runs 18 ghz exynos 7904 octacore processor highend games like pubg asphalt 9 unkilled runs smoothly get winner chicken dinner phone easily pubg works great medium settings use gfx tools experiencing lags camera selfie8 mp front camera rear camera 13 mp5 mp ultra wide dual camera front camera works best lighting conditions rear camera struggles bit low light conditions attached camera samples normal wideangle photo security face unlock fingerprint scanner work quick accurate face unlock fast fingerprint scanner works great connectivity supports 4g lte connectivity wifi supports 24ghz routers 5ghz router phone support router attached screenshot pricing pricing m20 starts 10989 ie base variant 3gb 32gb variant ie 4gb 64 gb priced 12989 looking budget smartphone 12000 recommend go 464 variant samsung galaxy m20 summary tight budget 11000 definitely recommend buy 332 gb variant samsung galaxy m20 price point offers great performance good build looks crisp clear screen loud crisp speakers good dual rear camera decent front camera want good phone gaming budget price range go phone phone gives nice completion many phones market like asus zenfone max pro m2 redmi note 6 pro moto one power confused colour really love black colour looks awesome grabs lot attention thank reading review attached camera shots taken phone image 1 unboxing image 2 fast charger image 3 finger print location phones back image 4 sim ejection tool sim traysupports 2 sims memory card image 5 2ghz network doesnt support 5ghz image 6 selfie quality image 7 normal photo image 8 wide angle hope review helpful,2019-03-09,4.0
7,customer_review-R25Z9OJ4FCZD0Z,PB,Stay away from mediocre phone with pathetic cameras,dont waste money buying phone camera colors face artificial even regular pics various modes ive tried average image quality sharpness much inferior even compared reviews say didnt expect wonders phone price range seriously samsung really let hype brilliant marketing m20 worst customer care wouldnt replace return phone even umpteen phone calls customer care complaining quality hit miss facial recognition pathetic camera pics low lights id wanting write review since day got delivered started testing amazon wouldnt let put review even 5 days delivery honest reviews like mine would impact upcoming flash sales,,1.0
8,customer_review-R351HWWGTC4HB5,Saurabh,"Disgusting security system, it unlocking with out requiring password and with non registered face o",display quality good camara quality bad samsung brand 5000 mah battery named performance mi 4000 mah better samsung 5000 man security system band device unlocking requiring password also unlocking non registered face id make bad experience samsung fast charging good,,2.0
9,customer_review-R1RW00MBQY907E,Tushar Valani,AMAZING MOBILE,excellent mobilebetter oppvivo buy opp vivo phone worth rupees 17000 vs samsung m20 13000 better excellent camerabattery superb screen resolution excellent little bit network problem overy fantastic mobile group first purchase 5 mobile ordered friend,2019-02-16,5.0
10,customer_review-R86WLVL6C7KEX,Genuine Reviewer,Genuine Review,sound quality unbeatable best sound battery feel like 5000mah many draining inbuilt apps camera better redmi display good feels like tft lcd overall better redmi,2019-03-01,4.0
11,customer_review-R1TGA00YPMSCCT,Hardik apte,Phone hangs,phone hangs even apps,,1.0
12,customer_review-R22X65X0I9KMLO,Kapil Rathor,Not recommend,dont buy samsung galaxy m20 camera quality phone low even decent audio video quality fine volume cant mark screen quality also pleasant one buying m20 think make second thought paying 11k bucks device overpriced according specifications,2019-02-16,1.0
13,customer_review-R6CWR37NWRUOW,Manjunath B,Worst phone,doesnt work update returned phone took 10 days return process take place need wait another week refund front camera looks like 2 megapixel heavy phone nothing great price,2019-02-16,1.0
14,customer_review-R3F7JHOY0BTKAN,Dipankar Dutta,Beast of a phone.,nowadays type phone get 10k normal 2gb ram 16gb memory wont suffice nowadays people need fast sleek looking phone hands samsung fulfilled launch m20 one first users phone really love recommend people want reliable phone tight budget m20 dual rear camera 13mp 5mp equally good front camera 8mp click ultrawide photos using dual rear camera water drop notch bezelless display makes really stunning eye catchy powerhouse charged 5000mah battery helps continue stay long capability fast charging helps every people daily rush much lighter hands comfy use great phone less amount none pioneer brand samsung really great using since day 1 due fast processor never lags stops working recommend phone everyone side thumbsup,2019-02-16,5.0
15,customer_review-R9NN55A4E0TML,Jeetu kumar,Guys dont buy this phone,dont purchase phone network frequency poor many time networks gone hanging prob prosser poor,2019-02-16,1.0
16,customer_review-RPIY2AIKZHFKU,Phani,brainless design....,purchased phone day sale reviews available made big mistake trusting brand samsung blindly phone might pros nothing special many smaller brands also provide features one particular flaw annoyed made write harsh review lack notification led light may sound simple means phones battery low wont notice warning charging phone dont know charging led light missed call led notification text notification know turn screen turn phone scree regularly check heck design product like many annoying things phone one simple feature missing totally pissed top rub salt woundsamazon cant refunds phones revelation jumped bought phone first week regret trusting samsung already posted olx cant keep suggestion dont rush buy,,2.0
