,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3NGQY3IMUOZIY,Pratyush,"Disappointing speed, but good product if that does not matter to you!",lot people mentioned build quality device dont disagree plastic usbc connecter made two pieces see vertical joint connector unlike highquality charging cable connectors might gotten phone laptop usb drive really compact might mean different things depending preference easy lose also take space think disappointing thing speeds flash drive really underwhelming although think supposed usb 30 standard speeds lower even usb 20 attached screenshot speed benchmarks going would recommend using flash drive transfer small files documents phone pc kind media better connecting phone pc using provided cable,2018-11-13,3.0
1,customer_review-R30JXNUFEV27P8,santosh,Waste of money,full waste money please dont buy totally cheating working properly,2019-02-18,1.0
2,customer_review-R2IZ8V758ZA5S6,TA,"Fine speed, but quality can be better at this price",works perfectly oneplus 5t speed fine great though plastic usb end flimsy used cruizer blade sandisk would know tears pretty fast bit skeptical life flash drive price point expect better build quality,2018-06-13,3.0
3,customer_review-R11XH7BEIQF47D,Siddharth K.,"Nice finish, good speeds, tiny footprint",excellent build quality speed pretty good used pixel 2 xl phone speeds around 1012 mbs pc speeds range 3040 mbs lanyard hole really helps since tiny get lost easily must transferring files type c phone pc mac,2018-01-25,5.0
4,customer_review-R1XCKR8U4AODB3,Amazon Customer,Type c port not working,working one plus 6,2018-07-17,1.0
5,customer_review-R2XV68EX5IO1RB,Shamasis,Beware: USB 2.0 speeds!,day age completely misleading highlight fact speeds usb 20 port typec products title matter yes usb type c device phone laptop likely usb 30 speedwise everything else works high speed would stand speed irrelevant good product,2019-07-24,4.0
6,customer_review-RRNEAFN05NMD1,Subhashis Ghose,Bad Experience.,bought device today reading review strontium typec pen drive review httpswwwamazoninstrontiumnitrotypecflashdrivedpb073pt85pyrefsr14keywordsstrontiumpendrivetypecqid1569974224smida14czowi0vehlgsr84 turns one also outside cover got separated see image carefully cover drive also locking mechanism seems ineffective happened first day tested transfer speeds poco f1 15gb transfer usbc took 25 mins pc 30 gb transfer took 1 hour 20 mins drive heat much overall price point wasnt expecting much,2019-10-02,1.0
7,customer_review-R1BCVPK5Y34I54,Bhima dhanaraju,You can but it if you have a typce c port,yeah product good use type c mobiles pendrivesit plastic much strong,2019-02-01,3.0
8,customer_review-R2FI8QMAGW85T6,shashank m.,Horrible Transfer Speeds,era sandisk think release usb 20 pendrive usb c type connector doesnt even gives transfer speed 8 mbps would take lifetime fill 32 gb storeage drive dissapointed product looking pendrive go sandisk ultra dont waste money one,2019-03-31,1.0
9,customer_review-RIKJJ3NE78GFH,Juliua A. Biswas,Quick solution for Mobile C type port data transfer,excellent product working expected c type port moto g6 need installing software tip plug usb drive mobile c type port go usb storage menu either notification settings storage copy files mobile phone internalexternal click copy go back back open usb storage icon create folder paste done mobile mediafiles came usb wanna transfer another mobile laptopcomputerpad insert transfercopy usb storage simple fast super fast reliable totally happy product caution store secure place small misplacelose anytime thanks,2018-12-26,5.0
