,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R26D12TG6X2EOT,A.Abhilash,Best Under 2k.,using band since 9 days review pros 1looks beautiful looks feels much better mi band 2 fastrack reflex 2 2 touchscreen oled display 2k 3 features like find device step tracker silentphone notifications lot 4 battery life lasts 20 30 days without automatic heart rate detection notifications turned 5 xiaomi keeps pushing frequent updates solve issues cons 1 heart rate sensor isnt accurate shows 75 bpm tested 2 3 seconds shows 95 bpm senses heart rate table also obviously doesnt heart 2 battery life automatic heart rate detection turned lasts 35 days orelse battery life great 3screen biggest issue scratches easily may plastic screen fingerprint magnet really hard see screen direct sunlight 4 charging taking capsule main body wrist band tough task feels like capsule going break everytime try take takes around 2 hrs charge fully conclusion probably best band 2k even fair numbers issues ignored considering price,2018-10-19,4.0
1,customer_review-R1LO5NSEAXVIHR,Simerdeep Singh,Not as i have expected,heard way much mi band 3 kind fooling people 1 battery backup great claimed 2 counts steps type laptop 3 sometimes heartrate sensor shows cross even band held properly wrist 4 worst noticed today removed band yesterday 850 wore back 1145 today morning checked sleep amazed see slept 9pm deep sleep 930 1020 slept 12 worst part returnable,2018-10-24,1.0
2,customer_review-RO39QOEJS9BGP,subhashish mishra,"""Mi band3"" Best fitness band.",starting pls download mi fit appand sync band mi fit app pros 075 oled screen best battery life idle 30 days use 2025 days easily locate devicemi capsule weather forecastexercise goalsteps countercalories burntdistance travelledheart rate sensorwater resistant upto 50msleep monitorgood sleep timestop watchalarmexercise goal remindercall message notification cons screen outdoor visibility sun light average band moved bit checking heart beat make go heartless remember change settings mi fit app else drivingriding may count steps put mi band3 motion walk calculates steps calories burnt driving note people say take pictures using bandso say possible dont know app using gives dobut havent found anything like yet thank,2018-10-23,5.0
3,customer_review-R1W0FRW6Z7N7JZ,Mohan,Good looking average product,using mi band two weeks review 1 battery set automatic heart rate detection turned set heart rate measurement improve sleep accuracy settings battery lasts week day wouldnt mind recharging band week 2 look feel looks good hand blue strap cooler looks decent elegant touch screen band looks rigid durable text bad lift wristshow time working lag 3 accuracy heart rate heartbeat accuracy seems good steps steps counted driving 3 hour travel bus step count increased 3000steps way stop really satisfied step counts every day take bikemotorcycle 70mins driving step counts get increased 1000 driving even use behavior tagging say driving step count still increases assuming common issue across fitness bands however option delete activity accuracy good step count walking normally sleep idea accuracy sleep tracking every day seeing different deep sleep light sleep intervals shows time went sleep woke less 10mins difference remove band sometimes band thinks slept tries measure heartrate since set improve sleep accuracy mifit app little annoying drains battery little 4 mi fit app option delete wrong step count activities app easy use first instance eventually got used could simplify ui little verdict 2000 bucks really good option buy dont mind drivingstep count mess look wise good easy use looks durable buy strap alone use different colored straps match style,2018-10-14,3.0
4,customer_review-R8MVDOKFXO418,JD,Amazing product at an affordable price,using around 50 days would definitely say one best fitness bands available market range contrary popular opinion find battery life band amazing 17 days since last charged still 20battery remaining people crib short battery life usually ones turn everything time bluettooth notifications etc however keep connected need usually connected phone 23 hours daily good battery life apart durable used shower swimming etc completely waterproof would definitely suggest go best available brand price segment ps dont need keep every function band results battery drainage,2018-11-22,5.0
5,customer_review-R3F9RKUJORNLQG,naveen,I suggest not to buy the mi band,bad experience one first day charged full battery end day says 5 kind accuracy,2018-10-09,1.0
6,customer_review-R13T14FYET2B4,Udaydeep,Battery drained with in 5 hours,fully charged battery drained 5 hours product packaging already teared used product step count feed,2018-10-09,1.0
7,customer_review-R5E4MZS5EBJ9Y,Rron,Read this before you buy it,despite various positive review youtube recommend anyone looking band bit weight love evening walk day one track evening walk motivational second day found step tracker inaccurate planning wear day day include travelling vehicle pissed travelling bus day get bus steps 11446 get 16549 heart rate tracker inaccurate surprise chinese company trick possible way experience connect band phone track walkingjogging via mi fit appusing gps heart rate reading 100bpm connect app routine reading 100bpm clearly trick fool us battery life close 20 days advice charge band 100 right unboxing turn screen direct sunlight visibility terrible built quality work harsh environment device survive cannot expect built like tank strap rigid last longer band final thought waste money id say cannot rely thought planning use reading notification go 2k okay okay expect anything band hold temptation buy something worth buying,2018-11-01,1.0
8,customer_review-RLZPITG47ZIKX,Pravin Chopde,Buy a power bank along.,1213 days since purchase find battery drains like anything initially used keep bluetooth assuming last last 1012 companys claim 1820 days last 1 day switched bluetooth minimal time transfer daily band data phone still bands battery lasts 2 days modest think charge often phone disappointing,2018-10-16,1.0
9,customer_review-R1DHZ79BUBH9D5,brian dsouza,Excellent product !!,excellent product money spent facing problems battery first week disabled heart rate detection per mi customer support completely discharged recharged band faced battery issues since 20 days charge sounds like dream use features barely last 2 3 days hope review helps customers,2018-10-11,4.0
10,customer_review-RNMYYAWF1G83A,Ankit Guglani,Superb Band in this range,anyone looking fitness band comes product using last week totally value money price range dont get much quality features accuracy everything normal fitness tracker best thing notifications get 3 page notifications good phone nearby,2018-10-08,5.0
