,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-RM4HORP4ZHSGF,Amazon Customer,Amazon service is superb,got 19000 every thing fine,2018-10-13,5.0
1,customer_review-R3EAKEUA92T3V3,Laganjeet,Go paperless even in your classroom!!!,life become hassle free organized due unique device gone 60paperless jotting extremely easy userfriendlyif student want stay organized going paperless suggest kitty drawback find lack unpaid apps fact wont able pay rupay app store,2018-09-15,4.0
2,customer_review-R1A89I3TAWFV9N,Soumya Prem Kumar,Great!,got 21k sale period awesome product,2018-08-19,5.0
3,customer_review-R1OSD3ZN4QBAU9,Gowtham,Go for it.,best playing pubg,2018-12-14,4.0
4,customer_review-R2V7OCGQFD7OSO,TechGoku,Read this before you go for an Android tablet,one students looking gadget watch lectures movies exactly need frustrated first coming android little customization ios lets transfering media takes hours learning curve fine specs top line considering get price android ecosystem amazed fluid machine manages handle everything throw never lag speakers quite good dealbreaker paying apple brand name assurance get constant updates long time something cant say android tabelts ips lcd display fine color beautiful want take notes also comes apple pencil support paper like digital device get battery life something worry battery optimization ios great easily last 2 days also play pubg fortnight without issues also plus point overall tablet fluid issues someone wants watch videos bit streaming internet along taking notes go save money instead breaking bank,2019-03-04,4.0
5,customer_review-R2OYMBB066PRJQ,biswadeep mandal,Buy it...But only if you know what you'd use it for..,really need tablet committed get apple ecosystem cant interact windows android based devices ease ready spend good amount money accessoriesif yes go itit never replace computertransferring files hasslei bought strictly entertainment purpose occasional cloud based office work holding finekeep use mind buying,2019-03-18,5.0
6,customer_review-R32NKYRRNS6GTZ,Soubhagya Ranjan,"Go for it, it's best value for money",ipad brand new considerably bigger previous ipad mini 2 functions buttery smooth main purpose gaming easily met installed asphalt 9 pubg playing without lag hours problem faced left corner screen shows yellow tint read internet glue sticks screen together fade away time mine started getting faded bought great indian festive sale effective price 18990 opinion best deal ipad specifications,2018-10-15,5.0
7,customer_review-R3V8IVQWL28YEX,Mudang Tajang,Amazing Device.,bought discount diwali festival offer first ios device still exploring thought 2 gb ram speed multitasking would issue amazed smoothness fluidity holding get feel premium product display amazing nothing compare android device came across sound battery life good complaints thing apple ecosystem costly android app cost rs 30 play store cost around rs 600 apple app store,2018-11-11,5.0
8,customer_review-RK78RPUGM8NRZ,Your Conscience,Price,bought higher price 27k 23k bought portrait painting cause would cheapest ever display tablet considering price apple pencil besides screen looks good battery good times 8000mah btw heating whatsoever speakers good headphone jack bad thing worst camera apple product really good buy newbie digital great start,2018-10-10,3.0
9,customer_review-R3165P2PY3D4GG,Amazon Customer,Another Good product by Apple,awesome product must students even professionals job smoothly,2018-08-05,5.0
10,customer_review-R8MS39JI596DI,Amit Hazari,A great tablet with the best operating system,verdict ipad 6th generation 2018 nice tablet great hardware software us perhaps best choice tablet real competitor tablet ipad 105 better hardware much expensive following detailed review ipad 6th generation 2018 hardware surprises apple always makes great devices build quality good touchscreen excellent front back cameras good exceptional sound quality decent could better battery backup good touch id works fine improved cpu gpu enhance overall responsiceness apps especially games software ios simply outstanding software primary reason purchase apple devices device already ios 113 installed box things noticed ios 11 1 dock bottom screen looks similar dock macos 2 control center design improved 3 app store revamped personally liked simplicity old app store better 4 software keyboard design changed whats included box two accessories included box 10w charger lightening usb cable even provided earphones apple pencil included box want one need purchase separately cost inr 75k purchase apple pencil didnt want spend much money pencil dont think would used much even purchased one variant choose 32 gb wifi space grey 32 gb sufficient requirements store lots data consider 128gb variant wifi limited use case 4g model didnt want spend extra 10k 4g model space grey like black bezels find white bezels little bit distracting accessories purchased accessory purchased spigen tough armor case case good somewhat heavy shipping packaging purchased device seller appario retail private ltd ordered device morning received evening superfast packaging great alternatives ipad hardly choice want buy tablet think closest competitor particular model 105 ipad pro costly compared purchase already 4th generation ipad purchased 2013 experience ipad great apple provided software updates device till last year 2017 amazing purchase new one old ipad still works fine doesnt get software updates anymore opinion best move away device get security updates use ipad use ipad primarily content consumption conent creation example dont compose long emails edit videos ipad also dont use camera ipad much use ipad watching videos netflix hotstar youtube amazon prime videos web surfing use safari chrome like reader view mode safari games buy new ipad opinion already ipad getting software updates perhaps buy new one want one already one consider except much expensive ipad pro 105 best tablet currently available let know queries edit july 2019 wonderful device using everyday still recommend wholeheartedly,2018-04-22,5.0
11,customer_review-R1C4P7I45DTP3D,Nisha,"If you're a person who has to do a lot of online reading and note making, then this is for you..",apple products always worth bought ipad sale costs 20k real good deal im absolutely love ive always android user didnt took anytime getting use mainly use reading purpose making notes id suggest buy along pencil extra cash good jotting notes make go absolutely paper less ecofriendly right,2018-10-26,5.0
12,customer_review-R10XSGHK6TRQ9O,Love Stuff,"Great, buying another one soon...",perfect new screen better pen use old one dont know certainly feels way 32gb plus cloud storage account wifi phones hotspot perfect save money,2018-09-14,5.0
13,customer_review-R1IX1UQIS6HW1Q,Ravi Sharma,Worth of money,week writing review placing order order within 24 hours got ipad amazon fast delivery one day delivery sim option even cant use whatsapp still numerous work tablet ipad provides every feature normal tablet provides features also computer provides tablet lover looking portable medium access edit files big screen,2018-11-04,5.0
14,customer_review-RGHOGN3KG31NQ,TheSoulSurfer,But I got a dead pixel in lcd screen.🧜🏼‍♀️,safari browser browser save pdf generated websites properly firefox saves blank pdf chrome save pdf microsoft edge browser save pdf replaces pdf file original name website name poor 3rd party app support proper file manager apple gaming 3d graphics heavy games temp goes even 30 mins using augmented reality ar camera measurement 3d objects temp shoots immediately around 21gb free 32gb enough also 5gb icloud storage free,2019-03-27,3.0
15,customer_review-R21D9P95JI5JY6,Doblue K.,"Do not buy this , better go for pro. Freezes to frequently",seller good ipad felt like china replica device freezing frequently,2018-10-07,1.0
