,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-RI9ME0LEY8N3B,Photo Guruji,"Good Multimedia tablet for price, but has its own negative points too.",first tablet hoping best bought along free gift offer leather case cover huawei earphone free tablet deal would say fantastic pricing default gives 22gb free space 32gb micro sd card slot take 256gb card customized tablet dark themes theme support make look premium seen screen shots installing 90 apps left 16gb free space pros 1 great looks huawei leather case 2 dual speaker sound quality awesome playing audio mp3 files however youtube videos bit low volume audio output good good bass bt headset huawei am61 wired earphone got free offer 3 battery life good got 6 hrs sot 11 hrs actual usage first use hoping get 78 hrs sot settle tablet 4 youtube jio tv netflix hotstar apps offer tons content full hd cons 1 doesnt support adding multi users android supports v44 huawei removed sadly 2 people family want share way create separate user accounts known would bought kids use 2 bloatware apps preinstalled removed users thus freeing space 3 fast charging update 0100 battery charging time later 4 palm rejection mode using stylus difficult tablet apps offer palm rejection mode havent tested yet 5 huawei india yet updated tablet pie 90 rom global version already running 90 6 google security update 5th april hope huawei india updates soon note update 1 week usage relevant data,2019-07-17,4.0
1,customer_review-R2L56U10WHU3W8,Chewbacca,Serves the purpose and that's all that matters,first tab purpose buying 1 watch movies copied internal ram otg pen drive 2 hotstar netflix streams wifi 3 browsing online shopping 4 use occasionally car gps navigation 5 use lightweight replacement laptop travelling vacation 6 watch documentaries listen songs bluetooth headphones workout elliptical machine 7 use spare phone wifi hotspot needed 8 occasional video calls using skype whatsapp writing review 4 days usage tried observations 1 emui 80 os android oreo support usb otg install feem app transfer files pc tab wifi also installed another media player supported subtitles 2 netflix preinstalled install hotstar work fine display quality awesome 60 brightness enough binge watched serials bluetooth headset battery lasted 78 hours eyecomfort feature makes display warmwhite thus easier eyes also less damage eyes filtering blue light also 1610 aspect ratio screen gives vertical space thus fingers grasping edges dont accidentally trigger something screen 3 browsing wifi mobile internet using airtel 4g nanosim works fine jio 4g sim also works internet cannot make voice calls using jio sim volte feature missing india specific version tab using chrome request desktop version website used comfortably 1610 aspect ratio screen gives vertical space comes handy using whatsapp web clone whatapp another mobile tab 4 used car gps navigation bluetooth paired car stereo worked fine bundled flip case allows hook tab sunvisor car block vision kept dashboard 5 traveled yet tab sure replace bulky laptop reduce cabin luggage weight word excel powerpoint app comes bundled good go 6 flip case allows rest tab elliptical machine workout without fear falling 7 8 havent tried wifi hotspot yet work front camera meager 2mp enough video calls selfies cons 458 grams weight flip case rather heavy hands also volume power buttons gets pressed accidentally using portrait mode adaptive brightness feature missing voice calls supported jio sim huawei may provide upgrade path emui 80 android oreo usgoogle continues block huaweis future access android updates,2019-08-07,5.0
2,customer_review-R3I5EFN4FWNXEI,Johncy Abraham,Nice,didnt receive customized protective leather case 1 x customized protective film reasonably priced yet battery longlasting wellrounded tablet looking,2019-07-17,5.0
3,customer_review-R1VKM9JXXGPGTW,saurabhk,3GB RAM MODEL,first tablet preferred samsung galaxy tab 101 lte model regret average tablet following cons 1though use watching movies listening music starts lagging 2 download youtube videos 1080p 3 volume power button placed wrongly many apps saavn screen upright vertical rotate 4 customer support poor called many times every time tell transferring call technical expert hang call eventually 5 amazon taking back,2019-08-04,1.0
4,customer_review-R124ZPZDLNIQ3G,P. G. Kulkarni,Best tablet in the market. Great specs and worth the money,bought 6 months browsing various sites huawei brand trustworthy brand specs perfect replace decent computer regular office work live havent tried camera priority great huawei go ahead buy best line tablet market,2019-07-26,5.0
5,customer_review-R3BU4YWK0QRP7D,Saptesh Panderkar,Great tab...,pleasure eye reading looks also great slim black fast accurate,2019-07-14,4.0
6,customer_review-RI1CUH8S8XYPQ,Raj Kumar Sharma,Smash like if helped :),like one first tablet decide easily buy buy seeing review 3gb ram sufficient approx 15gb stays use system pros 1 cost wise best tab indian market 2 display great colorful feels good eyes 3 like os themes offer many useful tweaks 4 speed good browsing playing normal games watching netflix youtube 5 observed lags till apps open 6 good battery life need really push extreme load empty 7 design feels premium 8 free accessories provided earphone flipcover good quality 9 jio works net need install jio4gvoice calling 10 2g3g also available 11 update days use cons 1 volte support till yet news whether update 2 fast charging approx 5hrs charge 2 100 3 double tap wakelock inconvenient go power button 4 screen guard provided even plain plastic film screen 5 body design good real fingerprint magnet 6 gets heavy attaching filpcover provided 7 many bloatware preloaded removed easily except huawei music video apps,2019-07-26,4.0
7,customer_review-R1581O00HJVS80,Aditya,Its a GOOD Tab !!,received today packing nice screen screen bright nice resolution pixilation speed 23 ghz processor quite speedy sound good kind ok camera front facing good video chat rear worst weight really light weight battery need check overall good go tablet good reading pdfs netsurfing etc games sure,2019-07-16,4.0
8,customer_review-R33XIUXHNIQWYT,R. S.,Accessories Missing,first delivery arrived original huawei leather flip cover screen guard missing asked replacement replacement arrived accessories missing flip cover sold rs999 seperately satisfactory explanation given,2019-07-20,5.0
9,customer_review-RXZE7G6FUJ1RM,Michael Sundersingh,Good Tab,good delivery good performance free items came another delivery man satisfied,2019-07-18,5.0
10,customer_review-RZ7RJQ6SQR1MT,sivananthamw3,Worth buying,overall good selling price could lower around 12k spec pros 1 battery life goodvideo play back comes close 8 hours 2 decent performance lag normal usage wont play games 3 display good videos good reading cons 1 ram memory less price huawei sell 4gb64 gb 17k price 2 battery capacity could increased 3 outdated os multi user support 4 even completly lowering display brightness still bright reading low light,2019-08-22,5.0
11,customer_review-R35KB3E64RTHXL,Sri Harsha,Jio SIM Problem.,good one jio sim card working calls need update volte india version,2019-07-17,4.0
12,customer_review-R2HTGJJJ34EW4I,Abhijeet Singh,ashutosh's feedback,im giving feedback using 20 days approximately best tablet market price range value money got 13990 3gb ram 32gb storage amazon great indian sale huawei trustworthy brand ill suggest get tab cons fast charging proximity sensor unavailable ambient light sensor unavailable,2019-10-19,5.0
13,customer_review-R2N4Q67LK3I3J1,Amazon Customer,Bluetooth and wifi Connectivity issue Slow touch response. Please don't buy,using 1 month writing review lot software issues please find list 1 using bluetooth headset devise connected wifi internet speed reduced means bluetooth wifi cant used together ideally good streaming videos 2 lag watching videosvideos sd card 3 supported kind books 4 battery week play 3 full movies row 5 hanging playing wireless audi 6 software update available till rest world latest update 7it bad touch response 8its worst tab ever falling situations good buy else dont think,2019-11-09,1.0
14,customer_review-R1SY7NOP75GRZ1,Vivekanand Arumanda,Good tablet in the price range,brought amazon great festival sale purchased 13999 3gb variate steal deal pros metalic body super finishing robust looks premium 3 gb ram 32 gb oreo os could pie issue 101 inch screen really big vibrant display really good adaptive brightness might consume lot battery 5100mah battery giving decent back moderate user dont play games watch movies either use blogging purpose performance butter smooth dint notice lag till cons light weight mind took one full day get used weight tablet like feather like mentioned video charging time nearly 4hrs charge 100 percent taking almost 4hrs fast charging support cameras name sake video calls big screen dont buy tab sake cameras get dispoppointed display good could better sound quality okay dont expect loud really good deal since use mainly entertainment blogging purpose steal deal specifications brand name nothing value money go final words price invested good deal tight budget need moderate usage go tab else always ipad 6gen invest thousands buy ipad sales day,2019-10-10,4.0
15,customer_review-R23RLUXQP3OYMW,nidhan,"Poor OS, expensive",amazon denied sending free partner offers flipcase headphones support multiple user tab free space 20gb returns available,2019-07-22,1.0
16,customer_review-R2L5LWMP6BZSIQ,DEVENDRA tk,Got replacement and still defective,1bought educational purposes great service amazon customer support till dead pixels screen uneven illumination screen white patches tested amazon technician declare faulty 2got replacement display problem plus defective loose sim charger socket inspected amazon technician returned waiting refund pros good battery fast processor cons earpiece call detective assembly manufacturing line defects like huawei honor products whole lot tab defective think still waiting refund,2019-11-22,1.0
17,customer_review-R185KS5QKVGTDI,Jainil,Buy if you want to use tablet for 5 hrs a day and charge whole night cumpolsarily .,using phone plugged socket battery drains instead charging even took 6 hours fully charge 0 100 means tablet cant 247 even plugged always battery drains fast due huge screen,2019-10-25,1.0
18,customer_review-R1OQICBXXKRL2P,thelight,Great,good value moneybought prime deal freebies fits bill large display tab internetother option ipad 4g way pricier bought studying booksnice displayno lags hangupsno heating great battery life,2019-07-24,5.0
19,customer_review-R3C79XBS0K7DC7,Dilip singh,Not bad,external memory card assistance 4 g support,2019-07-14,4.0
20,customer_review-RLNVE54RKZBIN,yogeesha p,promised leather case and protective film is not provided as mentioned while booking the product,received product couple days ago would fair give positive negative review definitely say promised leather case protective film provided mentioned booking product hope promised things provided mentioned,2019-09-21,3.0
21,customer_review-R1UVQXJFEOCXAS,Abraham JOSEPH,A Great one!!,finally found reasonably priced solid android tablet functions semidedicated smart house monitorcontrol panel occasionally double gameeducation device cousins ipads expensive purpose initially got cheap fire tablet 7 way unresponsive sluggish top fire os restrictive liking second android tablet nvidia shield tablet great mobile device games unfortunately battery life sucked good alwayson device functions control pad finally got one huawei t5 mediapad first built latest octacore chipset responsive regardless kind applications throw netflix youtube aaa title games quick pairing echoalexa app able voice control smart devices around house lighting temperature pull security camera feeds like ironman another thing thing battery awesome today left security cam live stream view 4 hours also called youtube running shows background worked without charging barely used less 13 battery fantastic rarely devices battery truly holds advertise one actually reasonably priced yet battery longlasting wellrounded tablet looking two thumbs hope review useful,2019-07-14,4.0
22,customer_review-R3AF7JJ7ZP4OCO,s s.,TRY TO BEST SATISFY CUSTOMERS,description leather case screen film provided box shows compliment box upset,2019-07-24,4.0
23,customer_review-R1FVDN9JLWKZG4,sagar,"Best Value for the price , My vote for tab of the year",1this one tab dont want buy ipad 2good screen resolution sound 3battery gets 4 stars tab still beats competition except ipad 4charger ok 5got leather cover earphones,2019-07-27,5.0
24,customer_review-RT94KDHAP2F03,Mahesh Kumar Vedi,Not received pramotion scheme.,received pramotion scheme delavery huawei tab disappointed,2019-07-21,1.0
25,customer_review-R3QTMYQISQRZ1D,dev brat mishra,All well .. Except not getting the . flip coveer and tempered . if gt thnn too costly,product good duo calling perfect one thing bad flip cover scrren guard costly bhnchod ittny mai reliance jio kai 2 phone aa jai abby 400 ka tempred hai 999 ka flip cover aessa kya lga rkha hai tablet mst hai game vgrr khela nii bta nii skta pr bkki performance bhut mst hai value money,2019-10-12,4.0
26,customer_review-RAW0PHVLJDL9S,Rajat Gupta,Great deal,price along free cover earphones great deal also get simlte microsd upto 252gb slot issue huawei os preloaded apps,2019-07-19,4.0
27,customer_review-R3IOJZMA8WI4B,Bande K.,Did not received Lether cover and screen Guard,received lether cover screen guard,2019-09-14,3.0
28,customer_review-RI1MT0CXCKUXH,User,Great budget tablet,pretty much good aspects screen lovely great netflix hd decent battery life around 4 5 hours budget tablet surfing movies etc,2019-08-12,5.0
29,customer_review-R2LL0P4OCO5LF7,Kesavan B R,No leather cover and thin protection flim in pack,leather cover thin protection flim pack,2019-07-19,2.0
30,customer_review-R36KJFOP5WSX2O,RAJESH R.,Huwaei Mediapad T5 10.1inch 32GB performance,good product battery performance sound improved good picture clarirty one backward button could add value,2019-08-19,4.0
31,customer_review-R19BY8F5JVY2NN,Ravikumar,Good tablet,good product buy battery life excellent lasts day less lagging even playing heavy games like pubg graphics sound great improved overall wish buy tablet medium heavy use one good choice would rated 5 starts graphics sound best,2019-11-03,4.0
32,customer_review-R91Z0GF4WOD0R,varun,ol,ok product battery life lower side buy tab sim option mandatory budget restricted 17k wifi enough samsung tab better option watching media awesome screen sound quality nice,2019-10-09,4.0
33,customer_review-RNZB90W2MHMMT,Nitin saxena,Overall GOOD,every thing fine volte software direct calling jio work download jio voice,2019-10-18,5.0
34,customer_review-RZWZYR8V5EVAU,D.Mukherjee,Good tablet at a resonable price.,ordered tablet also got replacement since first set minor scratch screen replacement service amazon appario excellent good tablet price paygo,2019-10-31,5.0
